mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
psdas,1,eMBB,78.073,0.575,2.777
psdas,2,URLLC,19.559,0.34,0.598
psdas,3,eMBB,50.637,25.441,1.414
psdas,4,eMBB,77.08,0.547,2.767
psdas,5,eMBB,66.344,5.699,2.212
psdas,6,URLLC,20.065,0.667,0.533
psdas,7,eMBB,77.023,0.046,2.621
psdas,8,URLLC,11.919,3.151,0.221
psdas,9,URLLC,17.556,0.053,0.507
psdas,10,mMTC,163.732,0.386,3.258
psdas,11,URLLC,21.929,0.172,0.617
psdas,12,mMTC,189.086,0.052,4.054
psdas,13,eMBB,68.306,0.493,2.201
psdas,14,URLLC,15.06,6.087,0.214
psdas,15,mMTC,189.23,0.54,4.028
psdas,16,eMBB,67.005,3.488,2.257
psdas,17,mMTC,189.777,12.074,4.056
psdas,18,eMBB,66.946,17.973,2.127
psdas,19,mMTC,192.158,0.537,3.93
psdas,20,mMTC,190.124,0.379,4.022
psdas,21,URLLC,19.268,13.563,0.487
psdas,22,eMBB,66.54,17.123,2.21
psdas,23,URLLC,20.247,0.057,0.653
psdas,24,URLLC,15.125,4.53,0.383
psdas,25,URLLC,19.554,0.35,0.582
psdas,26,eMBB,65.805,17.012,2.179
psdas,27,mMTC,189.181,0.684,3.986
psdas,28,eMBB,77.216,0.213,2.754
psdas,29,URLLC,11.956,0.764,0.365
psdas,30,eMBB,76.428,24.002,2.766
psdas,31,URLLC,20.809,0.4,0.654
psdas,32,mMTC,191.203,0.646,3.901
psdas,33,mMTC,189.981,0.388,4.002
psdas,34,mMTC,190.917,0.263,3.906
psdas,35,eMBB,68.873,18.586,2.256
psdas,36,URLLC,21.503,0.154,0.462
psdas,37,eMBB,77.727,23.738,2.696
psdas,38,mMTC,192.114,0.607,4.026
psdas,39,mMTC,163.758,0.053,3.107
psdas,40,mMTC,164.806,11.367,3.223
psdas,41,mMTC,163.958,0.086,3.243
psdas,42,eMBB,67.774,0.146,2.189
psdas,43,URLLC,16.233,14.708,0.437
psdas,44,mMTC,189.371,0.296,3.882
psdas,45,eMBB,76.3,0.106,2.774
psdas,46,mMTC,188.955,0.182,4.012
psdas,47,URLLC,14.045,6.154,0.22
psdas,48,mMTC,164.725,0.498,3.244
psdas,49,eMBB,68.831,20.057,2.25
psdas,50,URLLC,12.337,6.075,0.337
psdas,51,URLLC,19.648,0.446,0.582
psdas,52,eMBB,77.544,0.25,2.777
psdas,53,mMTC,188.701,0.227,4.047
psdas,54,mMTC,166.234,12.758,3.071
psdas,55,URLLC,14.406,5.331,0.298
psdas,56,URLLC,19.154,0.038,0.648
psdas,57,URLLC,19.348,0.573,0.475
psdas,58,eMBB,78.753,0.149,2.743
psdas,59,URLLC,13.182,5.044,0.218
psdas,60,eMBB,67.781,0.282,2.174
psdas,61,URLLC,18.276,14.569,0.455
psdas,62,mMTC,166.807,13.184,3.167
psdas,63,eMBB,51.918,27.664,1.447
psdas,64,URLLC,19.285,0.226,0.609
psdas,65,mMTC,164.072,13.887,3.143
psdas,66,eMBB,78.2,25.564,2.632
psdas,67,URLLC,17.905,16.39,0.492
psdas,68,mMTC,189.863,7.828,3.956
psdas,69,mMTC,188.58,0.529,3.892
psdas,70,mMTC,164.03,13.786,3.188
psdas,71,eMBB,75.817,18.218,2.649
psdas,72,URLLC,16.778,0.382,0.523
psdas,73,mMTC,191.574,0.088,3.871
