mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
dynamic,1,mMTC,185.333,0.599,3.859
dynamic,2,mMTC,184.199,0.367,3.841
dynamic,3,URLLC,15.383,20.696,0.365
dynamic,4,mMTC,184.34,0.57,3.849
dynamic,5,mMTC,159.614,5.919,3.077
dynamic,6,mMTC,184.704,0.715,3.777
dynamic,7,mMTC,184.283,0.048,3.704
dynamic,8,URLLC,14.524,2.625,0.296
dynamic,9,mMTC,160.721,0.057,3.101
dynamic,10,mMTC,158.924,0.395,3.129
dynamic,11,mMTC,186.568,0.186,3.86
dynamic,12,mMTC,183.556,0.053,3.893
dynamic,13,eMBB,97.262,16.717,3.657
dynamic,14,URLLC,17.665,1.207,0.289
dynamic,15,eMBB,82.702,18.373,2.978
dynamic,16,URLLC,15.502,4.246,0.453
dynamic,17,eMBB,83.25,19.912,3.007
dynamic,18,eMBB,95.902,5.297,3.583
dynamic,19,mMTC,186.628,0.143,3.768
dynamic,20,eMBB,83.597,15.748,2.972
dynamic,21,eMBB,85.543,18.462,2.948
dynamic,22,mMTC,159.809,0.058,3.076
dynamic,23,eMBB,83.889,21.156,3.008
dynamic,24,mMTC,186.732,0.385,3.883
dynamic,25,eMBB,83.196,14.214,2.937
dynamic,26,eMBB,82.185,20.458,2.912
dynamic,27,mMTC,183.652,0.42,3.824
dynamic,28,mMTC,184.476,0.566,3.836
dynamic,29,URLLC,19.551,4.51,0.629
dynamic,30,eMBB,82.69,13.981,2.96
dynamic,31,URLLC,16.512,3.743,0.473
dynamic,32,URLLC,21.833,14.132,0.504
dynamic,33,eMBB,83.453,16.744,2.952
dynamic,34,mMTC,161.279,0.197,2.989
dynamic,35,eMBB,97.828,18.197,3.711
dynamic,36,URLLC,22.302,1.988,0.47
dynamic,37,URLLC,16.074,6.447,0.354
dynamic,38,mMTC,162.476,0.578,3.109
dynamic,39,mMTC,158.949,0.495,2.978
dynamic,40,mMTC,184.106,0.141,3.85
dynamic,41,mMTC,183.259,0.221,3.869
dynamic,42,mMTC,185.152,0.253,3.811
dynamic,43,mMTC,183.506,0.287,3.787
dynamic,44,mMTC,183.841,0.108,3.721
dynamic,45,eMBB,95.137,8.285,3.69
dynamic,46,mMTC,159.316,0.053,3.095
dynamic,47,mMTC,161.485,9.732,2.965
dynamic,48,URLLC,23.334,7.666,0.771
dynamic,49,URLLC,22.369,8.063,0.636
dynamic,50,mMTC,159.684,14.15,3.081
dynamic,51,mMTC,184.287,0.695,3.825
dynamic,52,mMTC,160.695,0.645,3.104
dynamic,53,URLLC,14.353,4.426,0.461
dynamic,54,mMTC,185.534,0.043,3.698
dynamic,55,mMTC,185.974,0.585,3.797
dynamic,56,eMBB,95.371,7.054,3.725
dynamic,57,eMBB,82.99,14.409,2.829
dynamic,58,mMTC,186.013,0.508,3.825
dynamic,59,mMTC,184.684,0.105,3.718
dynamic,60,mMTC,161.051,0.401,3.04
dynamic,61,URLLC,16.608,5.17,0.38
dynamic,62,mMTC,186.107,0.27,3.793
dynamic,63,URLLC,16.664,2.467,0.399
dynamic,64,eMBB,82.927,18.432,2.964
dynamic,65,URLLC,14.543,4.331,0.345
dynamic,66,URLLC,16.523,1.782,0.289
dynamic,67,mMTC,185.178,0.153,3.842
dynamic,68,mMTC,184.333,0.576,3.795
dynamic,69,URLLC,14.238,2.47,0.306
dynamic,70,mMTC,183.33,0.603,3.814
dynamic,71,URLLC,14.263,5.069,0.306
dynamic,72,URLLC,15.188,6.486,0.448
dynamic,73,mMTC,186.044,0.655,3.709
dynamic,74,URLLC,14.988,2.365,0.38
dynamic,75,URLLC,14.693,2.474,0.455
dynamic,76,mMTC,160.707,0.092,3.001
dynamic,77,URLLC,20.207,3.518,0.512
dynamic,78,mMTC,183.234,0.214,3.745
dynamic,79,URLLC,17.03,0.631,0.465
dynamic,80,mMTC,183.725,0.11,3.817
dynamic,81,mMTC,183.49,0.208,3.851
dynamic,82,mMTC,160.949,0.113,3.083
dynamic,83,mMTC,161.689,0.547,3.01
dynamic,84,URLLC,21.278,2.584,0.642
dynamic,85,URLLC,14.571,2.096,0.294
dynamic,86,mMTC,182.937,0.103,3.746
dynamic,87,mMTC,183.484,0.044,3.863
dynamic,88,mMTC,185.55,0.422,3.782
dynamic,89,mMTC,183.958,0.083,3.727
dynamic,90,URLLC,14.696,5.634,0.279
dynamic,91,mMTC,186.638,0.442,3.828
dynamic,92,eMBB,85.024,16.95,2.935
dynamic,93,eMBB,84.681,10.662,2.902
dynamic,94,mMTC,183.455,0.693,3.802
dynamic,95,eMBB,82.95,16.616,2.908
dynamic,96,mMTC,162.378,0.26,2.996
dynamic,97,URLLC,15.406,5.366,0.373
dynamic,98,mMTC,184.883,0.404,3.727
dynamic,99,URLLC,14.701,8.802,0.414
dynamic,100,mMTC,185.978,0.088,3.843
dynamic,101,mMTC,185.846,0.085,3.722
dynamic,102,mMTC,185.331,0.599,3.701
dynamic,103,URLLC,14.518,1.394,0.463
dynamic,104,URLLC,20.787,0.94,0.484
dynamic,105,mMTC,185.452,0.536,3.792
dynamic,106,URLLC,15.508,2.229,0.378
dynamic,107,mMTC,186.136,26.926,3.773
dynamic,108,mMTC,159.532,0.664,3.083
dynamic,109,mMTC,185.153,0.678,3.721
dynamic,110,URLLC,15.154,4.717,0.455
dynamic,111,eMBB,81.945,7.901,2.889
dynamic,112,eMBB,81.92,16.604,2.949
dynamic,113,URLLC,16.397,4.545,0.356
dynamic,114,eMBB,83.783,18.671,2.811
dynamic,115,mMTC,159.934,0.215,3.052
dynamic,116,mMTC,158.94,15.115,3.06
dynamic,117,mMTC,160.251,0.136,3.044
dynamic,118,mMTC,184.302,0.628,3.824
dynamic,119,mMTC,160.749,0.463,3.091
dynamic,120,mMTC,185.878,0.382,3.759
dynamic,121,eMBB,85.745,12.783,2.995
dynamic,122,mMTC,184.962,0.365,3.882
dynamic,123,mMTC,185.676,0.32,3.895
dynamic,124,URLLC,17.162,5.439,0.319
dynamic,125,URLLC,17.341,5.939,0.447
dynamic,126,eMBB,96.077,18.717,3.591
dynamic,127,URLLC,14.091,2.37,0.362
dynamic,128,URLLC,16.715,2.47,0.431
dynamic,129,URLLC,25.181,14.509,0.788
dynamic,130,URLLC,14.428,3.745,0.416
dynamic,131,mMTC,184.123,0.188,3.824
dynamic,132,eMBB,84.107,5.247,2.996
dynamic,133,mMTC,162.299,0.385,2.982
dynamic,134,URLLC,22.592,4.945,0.793
dynamic,135,mMTC,184.137,11.232,3.754
dynamic,136,mMTC,183.681,0.578,3.754
dynamic,137,mMTC,182.969,21.195,3.889
dynamic,138,URLLC,21.121,2.389,0.565
dynamic,139,mMTC,159.868,0.149,3.098
dynamic,140,mMTC,185.709,0.635,3.772
dynamic,141,mMTC,184.273,0.425,3.791
dynamic,142,mMTC,160.955,0.233,2.964
dynamic,143,URLLC,20.738,4.639,0.66
dynamic,144,mMTC,183.839,0.475,3.817
dynamic,145,URLLC,14.472,1.728,0.327
dynamic,146,mMTC,162.381,11.89,3.116
dynamic,147,eMBB,95.882,17.805,3.719
dynamic,148,eMBB,96.608,13.156,3.667
dynamic,149,eMBB,84.499,11.776,2.936
dynamic,150,URLLC,15.244,1.223,0.408
dynamic,151,eMBB,94.654,20.208,3.671
dynamic,152,mMTC,184.304,0.38,3.772
dynamic,153,mMTC,186.139,0.386,3.698
dynamic,154,eMBB,85.761,4.323,2.933
dynamic,155,mMTC,184.075,0.319,3.871
dynamic,156,eMBB,83.516,13.676,2.815
dynamic,157,mMTC,161.159,0.035,3.067
dynamic,158,eMBB,84.117,19.935,2.95
dynamic,159,URLLC,21.127,3.104,0.595
dynamic,160,mMTC,184.159,0.573,3.754
dynamic,161,mMTC,182.94,0.145,3.86
dynamic,162,URLLC,17.574,10.886,0.337
dynamic,163,mMTC,186.057,0.328,3.869
dynamic,164,URLLC,16.905,3.488,0.276
dynamic,165,URLLC,14.534,4.562,0.43
dynamic,166,eMBB,83.373,15.892,2.852
dynamic,167,mMTC,185.433,0.458,3.845
dynamic,168,URLLC,22.714,4.702,0.562
dynamic,169,eMBB,84.655,18.136,2.866
dynamic,170,mMTC,183.844,0.493,3.798
dynamic,171,mMTC,159.318,9.614,3.111
dynamic,172,mMTC,183.166,0.063,3.819
dynamic,173,eMBB,85.258,12.132,2.936
dynamic,174,mMTC,184.279,0.379,3.846
dynamic,175,URLLC,20.961,11.099,0.591
dynamic,176,mMTC,183.853,0.176,3.785
dynamic,177,mMTC,185.113,0.084,3.785
dynamic,178,mMTC,160.846,15.258,3.056
dynamic,179,mMTC,183.286,0.487,3.823
dynamic,180,URLLC,15.098,1.974,0.331
