mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
psdas,1,mMTC,227.993,0.488,5.104
psdas,2,eMBB,88.998,0.306,3.346
psdas,3,eMBB,58.593,22.429,1.719
psdas,4,URLLC,24.475,0.406,0.78
psdas,5,mMTC,196.71,4.884,4.073
psdas,6,eMBB,89.503,0.603,3.281
psdas,7,eMBB,89.082,0.04,3.208
psdas,8,URLLC,15.069,2.515,0.312
psdas,9,mMTC,197.817,0.046,4.097
psdas,10,URLLC,19.911,0.293,0.674
psdas,11,eMBB,91.367,0.155,3.364
psdas,12,mMTC,226.216,0.044,5.138
psdas,13,eMBB,90.483,18.171,3.327
psdas,14,URLLC,18.21,1.156,0.305
psdas,15,eMBB,76.808,19.94,2.714
psdas,16,URLLC,16.047,4.071,0.469
psdas,17,eMBB,77.356,21.758,2.743
psdas,18,URLLC,24.459,5.06,0.68
psdas,19,mMTC,229.288,0.116,5.014
psdas,20,eMBB,77.702,17.254,2.708
psdas,21,eMBB,79.649,20.139,2.685
psdas,22,mMTC,196.905,0.047,4.072
psdas,23,eMBB,77.994,23.166,2.744
psdas,24,URLLC,26.867,0.281,0.814
psdas,25,mMTC,197.181,15.242,4.066
psdas,26,eMBB,76.291,22.418,2.648
psdas,27,mMTC,226.312,0.347,5.07
psdas,28,URLLC,24.611,0.412,0.767
psdas,29,URLLC,20.269,4.32,0.654
psdas,30,URLLC,20.566,13.306,0.638
psdas,31,URLLC,17.057,3.591,0.488
psdas,32,mMTC,198.661,15.116,3.98
psdas,33,eMBB,77.559,18.167,2.688
psdas,34,mMTC,198.374,0.162,3.985
psdas,35,eMBB,91.05,20.008,3.382
psdas,36,mMTC,199.129,2.126,3.946
psdas,37,URLLC,16.619,6.183,0.369
psdas,38,mMTC,199.572,0.479,4.106
psdas,39,eMBB,76.166,0.419,2.581
psdas,40,mMTC,226.766,0.116,5.095
psdas,41,eMBB,88.058,0.184,3.374
psdas,42,mMTC,227.813,0.207,5.056
psdas,43,eMBB,88.305,0.238,3.292
psdas,44,eMBB,88.64,0.091,3.225
psdas,45,eMBB,88.359,9.033,3.36
psdas,46,eMBB,76.533,0.045,2.698
psdas,47,eMBB,78.701,8.183,2.568
psdas,48,URLLC,24.16,7.292,0.801
psdas,49,mMTC,199.196,8.697,4.112
psdas,50,mMTC,196.78,11.806,4.077
psdas,51,mMTC,226.948,0.571,5.07
psdas,52,mMTC,197.791,0.534,4.1
psdas,53,URLLC,14.898,4.235,0.477
psdas,54,eMBB,90.333,0.036,3.202
psdas,55,eMBB,90.773,0.487,3.302
psdas,56,mMTC,226.454,7.603,5.136
psdas,57,mMTC,196.975,15.397,3.958
psdas,58,eMBB,90.812,0.426,3.33
psdas,59,mMTC,227.344,0.086,4.963
psdas,60,mMTC,198.147,0.334,4.036
psdas,61,URLLC,17.153,4.944,0.396
psdas,62,URLLC,26.242,0.2,0.724
psdas,63,URLLC,17.209,2.367,0.414
psdas,64,eMBB,77.032,20.205,2.7
psdas,65,URLLC,15.088,4.153,0.36
psdas,66,URLLC,17.068,1.705,0.305
psdas,67,URLLC,25.314,0.112,0.773
psdas,68,mMTC,226.994,0.477,5.04
psdas,69,URLLC,14.783,2.363,0.322
psdas,70,URLLC,23.465,0.434,0.745
psdas,71,URLLC,14.808,4.846,0.322
psdas,72,URLLC,15.733,6.204,0.464
psdas,73,eMBB,90.843,0.552,3.214
