mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
dynamic,1,mMTC,296.079,0.312,7.092
dynamic,2,mMTC,294.945,0.194,7.074
dynamic,3,URLLC,23.002,9.159,0.584
dynamic,4,mMTC,295.087,0.29,7.082
dynamic,5,eMBB,120.07,2.018,4.616
dynamic,6,mMTC,295.451,0.399,7.009
dynamic,7,mMTC,295.03,0.025,6.936
dynamic,8,eMBB,90.542,1.201,2.908
dynamic,9,mMTC,257.023,0.03,5.687
dynamic,10,mMTC,255.225,0.222,5.715
dynamic,11,mMTC,297.315,0.099,7.092
dynamic,12,mMTC,294.303,0.029,7.125
dynamic,13,URLLC,36.54,7.138,1.145
dynamic,14,eMBB,123.011,2.967,4.497
dynamic,15,eMBB,138.224,9.666,5.79
dynamic,16,eMBB,138.907,4.428,5.801
dynamic,17,mMTC,256.441,9.317,5.725
dynamic,18,mMTC,295.071,0.339,6.981
dynamic,19,mMTC,297.375,0.198,7.001
dynamic,20,URLLC,30.795,4.997,0.963
dynamic,21,eMBB,122.888,6.168,4.62
dynamic,22,mMTC,294.665,0.033,7.064
dynamic,23,URLLC,23.598,1.585,0.69
dynamic,24,mMTC,297.479,0.208,7.115
dynamic,25,eMBB,120.54,6.317,4.608
dynamic,26,mMTC,293.929,0.33,7.033
dynamic,27,mMTC,294.398,0.125,7.057
dynamic,28,eMBB,91.608,0.277,3.023
dynamic,29,eMBB,137.915,9.09,5.788
dynamic,30,mMTC,294.434,0.206,7.081
dynamic,31,mMTC,296.195,0.359,7.13
dynamic,32,mMTC,296.42,0.222,6.972
dynamic,33,mMTC,295.198,0.158,7.073
dynamic,34,eMBB,121.734,6.9,4.528
dynamic,35,mMTC,296.998,0.077,7.11
dynamic,36,eMBB,140.666,8.75,5.628
dynamic,37,mMTC,295.733,0.342,7.011
dynamic,38,mMTC,258.778,0.029,5.695
dynamic,39,eMBB,119.405,4.5,4.516
dynamic,40,mMTC,256.299,0.047,5.68
dynamic,41,mMTC,255.452,0.084,5.699
dynamic,42,eMBB,121.499,5.638,4.594
dynamic,43,mMTC,294.253,0.147,7.02
dynamic,44,mMTC,294.588,0.058,6.953
dynamic,45,mMTC,294.307,0.1,7.088
dynamic,46,eMBB,90.611,2.53,3.037
dynamic,47,mMTC,257.787,0.298,5.551
dynamic,48,eMBB,120.372,7.425,4.653
dynamic,49,URLLC,24.853,2.045,0.665
dynamic,50,mMTC,294.54,0.282,7.069
dynamic,51,mMTC,256.48,7.386,5.655
dynamic,52,mMTC,295.551,0.377,7.092
dynamic,53,mMTC,255.364,0.342,5.716
dynamic,54,URLLC,24.212,1.923,0.492
dynamic,55,mMTC,296.721,0.022,7.03
dynamic,56,mMTC,294.541,0.298,7.123
dynamic,57,eMBB,138.511,3.383,5.641
dynamic,58,eMBB,122.36,6.414,4.608
dynamic,59,mMTC,295.431,0.252,6.95
dynamic,60,mMTC,295.906,0.063,7.028
dynamic,61,mMTC,257.742,0.2,5.635
dynamic,62,URLLC,24.756,10.085,0.587
dynamic,63,mMTC,296.355,0.146,7.056
dynamic,64,URLLC,30.125,4.713,0.954
dynamic,65,eMBB,137.896,9.457,5.693
dynamic,66,eMBB,121.807,5.875,4.497
dynamic,67,mMTC,295.925,4.241,7.075
dynamic,68,mMTC,295.08,0.319,7.027
dynamic,69,eMBB,119.397,4.945,4.514
dynamic,70,eMBB,137.854,6.832,5.738
dynamic,71,mMTC,255.269,0.217,5.562
dynamic,72,mMTC,294.798,0.044,7.106
dynamic,73,eMBB,122.391,9.705,4.492
dynamic,74,mMTC,256.034,8.005,5.636
dynamic,75,mMTC,294.277,0.108,7.112
dynamic,76,eMBB,121.163,9.4,4.54
dynamic,77,URLLC,22.802,8.673,0.541
dynamic,78,URLLC,34.09,2.732,1.067
dynamic,79,mMTC,296.741,0.102,7.122
