mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
static,1,mMTC,106.746,0.796,1.794
static,2,mMTC,105.576,0.487,1.776
static,3,eMBB,149.661,8.31,5.791
static,4,mMTC,105.723,0.763,1.784
static,5,eMBB,186.673,2.018,8.947
static,6,mMTC,106.098,0.934,1.711
static,7,mMTC,105.664,0.064,1.638
static,8,URLLC,5.947,4.197,0.057
static,9,mMTC,92.371,0.074,1.449
static,10,mMTC,90.518,0.504,1.477
static,11,mMTC,108.019,0.245,1.795
static,12,mMTC,104.914,0.069,1.828
static,13,eMBB,216.868,7.138,11.159
static,14,eMBB,189.705,2.967,8.828
static,15,eMBB,214.822,9.492,11.203
static,16,eMBB,215.526,4.428,11.215
static,17,eMBB,187.214,6.043,9.008
static,18,mMTC,105.706,0.794,1.683
static,19,mMTC,108.081,0.519,1.703
static,20,eMBB,187.572,4.997,8.974
static,21,eMBB,189.579,6.168,8.95
static,22,mMTC,105.287,0.084,1.766
static,23,URLLC,7.529,5.768,0.232
static,24,mMTC,108.188,0.507,1.817
static,25,eMBB,187.158,6.317,8.939
static,26,mMTC,104.529,0.865,1.735
static,27,mMTC,105.013,0.3,1.759
static,28,URLLC,7.106,0.988,0.172
static,29,eMBB,214.504,9.09,11.201
static,30,mMTC,105.05,0.532,1.783
static,31,mMTC,106.864,0.854,1.832
static,32,mMTC,107.097,0.52,1.674
static,33,mMTC,105.837,0.372,1.775
static,34,eMBB,188.389,6.9,8.858
static,35,mMTC,107.692,0.2,1.812
static,36,eMBB,217.34,8.387,11.042
static,37,mMTC,106.389,0.82,1.713
static,38,mMTC,94.18,0.067,1.457
static,39,eMBB,185.988,3.998,8.847
static,40,mMTC,91.625,0.112,1.442
static,41,mMTC,90.751,0.198,1.461
static,42,eMBB,188.147,5.638,8.924
static,43,mMTC,104.862,0.384,1.722
static,44,mMTC,105.208,0.143,1.655
static,45,mMTC,104.918,0.241,1.791
static,46,eMBB,148.803,2.167,5.852
static,47,mMTC,93.158,0.694,1.312
static,48,eMBB,186.985,7.425,8.984
static,49,URLLC,8.893,7.422,0.207
static,50,mMTC,105.158,0.659,1.771
static,51,eMBB,187.255,4.57,8.939
static,52,mMTC,106.2,0.923,1.794
static,53,mMTC,90.661,0.814,1.478
static,54,URLLC,8.197,7.214,0.034
static,55,mMTC,107.407,0.056,1.732
static,56,mMTC,105.159,0.765,1.826
