mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
dynamic,1,mMTC,205.783,0.546,4.456
dynamic,2,mMTC,204.649,0.335,4.438
dynamic,3,URLLC,16.097,19.615,0.385
dynamic,4,mMTC,204.791,0.518,4.446
dynamic,5,eMBB,85.459,4.366,3.067
dynamic,6,mMTC,205.154,0.657,4.373
dynamic,7,mMTC,204.733,0.044,4.3
dynamic,8,URLLC,15.238,2.481,0.317
dynamic,9,mMTC,178.504,0.052,3.579
dynamic,10,mMTC,176.707,0.363,3.607
dynamic,11,mMTC,207.019,0.17,4.457
dynamic,12,mMTC,204.006,0.048,4.49
dynamic,13,mMTC,179.358,0.471,3.545
dynamic,14,URLLC,18.379,4.765,0.31
dynamic,15,mMTC,204.15,0.507,4.463
dynamic,16,URLLC,21.484,2.647,0.675
dynamic,17,eMBB,98.97,8.958,3.882
dynamic,18,eMBB,86.061,13.98,2.983
dynamic,19,mMTC,207.078,0.501,4.365
dynamic,20,mMTC,205.045,0.353,4.457
dynamic,21,mMTC,180.215,13.362,3.559
dynamic,22,URLLC,21.019,12.799,0.628
dynamic,23,mMTC,205.337,0.056,4.493
dynamic,24,URLLC,18.444,3.571,0.478
dynamic,25,mMTC,204.644,0.344,4.422
dynamic,26,eMBB,84.92,12.837,3.034
dynamic,27,mMTC,204.102,0.642,4.421
dynamic,28,mMTC,204.926,0.203,4.433
dynamic,29,URLLC,15.275,0.605,0.46
dynamic,30,eMBB,98.41,17.996,3.836
dynamic,31,mMTC,205.898,0.394,4.494
dynamic,32,mMTC,206.124,0.607,4.336
dynamic,33,mMTC,204.901,0.364,4.437
dynamic,34,mMTC,205.837,0.246,4.341
dynamic,35,eMBB,87.988,14.027,3.112
dynamic,36,mMTC,206.592,0.152,4.302
dynamic,37,eMBB,99.709,18.196,3.766
dynamic,38,mMTC,207.035,0.569,4.462
dynamic,39,mMTC,176.732,0.05,3.455
dynamic,40,eMBB,85.843,8.554,3.084
dynamic,41,mMTC,176.933,0.08,3.591
dynamic,42,mMTC,178.826,0.139,3.533
dynamic,43,eMBB,85.243,11.525,3.022
dynamic,44,mMTC,204.291,0.277,4.317
dynamic,45,mMTC,204.01,0.101,4.453
dynamic,46,mMTC,203.875,0.17,4.447
dynamic,47,URLLC,17.364,4.843,0.316
dynamic,48,mMTC,177.699,0.465,3.592
dynamic,49,eMBB,87.946,15.151,3.105
dynamic,50,URLLC,15.656,4.838,0.432
dynamic,51,mMTC,204.737,0.439,4.422
dynamic,52,mMTC,205.254,0.238,4.456
dynamic,53,mMTC,203.622,0.213,4.483
dynamic,54,mMTC,179.208,11.96,3.42
dynamic,55,URLLC,17.725,4.169,0.393
dynamic,56,mMTC,204.244,0.038,4.488
dynamic,57,mMTC,204.438,0.565,4.315
dynamic,58,mMTC,206.463,0.142,4.422
