mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
psdas,1,mMTC,238.575,0.461,5.413
psdas,2,URLLC,25.49,0.248,0.815
psdas,3,eMBB,61.397,21.368,1.826
psdas,4,URLLC,25.632,0.377,0.822
psdas,5,eMBB,80.525,4.71,2.846
psdas,6,mMTC,237.946,0.563,5.331
psdas,7,mMTC,237.525,0.037,5.258
psdas,8,URLLC,15.832,2.361,0.334
psdas,9,eMBB,81.632,0.045,2.87
psdas,10,eMBB,79.835,0.317,2.898
psdas,11,URLLC,27.86,0.126,0.833
psdas,12,URLLC,24.847,0.037,0.866
psdas,13,eMBB,82.487,0.412,2.836
psdas,14,URLLC,18.973,4.529,0.327
psdas,15,mMTC,236.942,0.434,5.42
psdas,16,mMTC,206.572,2.851,4.366
psdas,17,URLLC,25.539,8.3,0.868
psdas,18,mMTC,206.513,14.766,4.236
psdas,19,eMBB,95.676,0.429,3.48
psdas,20,eMBB,93.642,0.303,3.571
psdas,21,eMBB,83.344,11.594,2.85
psdas,22,eMBB,80.72,14.1,2.845
psdas,23,eMBB,93.934,0.048,3.607
psdas,24,URLLC,19.038,3.4,0.495
psdas,25,eMBB,93.241,0.298,3.536
psdas,26,URLLC,21.066,11.899,0.623
psdas,27,URLLC,24.943,0.482,0.798
psdas,28,eMBB,93.524,0.175,3.547
psdas,29,URLLC,15.869,0.577,0.477
psdas,30,eMBB,92.735,19.547,3.56
psdas,31,mMTC,238.69,0.337,5.452
psdas,32,URLLC,26.965,0.459,0.712
psdas,33,mMTC,237.693,0.312,5.394
psdas,34,URLLC,26.679,0.182,0.718
psdas,35,eMBB,83.053,15.204,2.891
psdas,36,mMTC,239.384,0.13,5.259
psdas,37,eMBB,94.034,19.627,3.49
psdas,38,mMTC,239.827,0.485,5.419
psdas,39,mMTC,205.247,0.043,4.221
psdas,40,eMBB,80.908,9.236,2.863
psdas,41,URLLC,21.142,0.06,0.692
psdas,42,eMBB,81.955,0.12,2.824
psdas,43,eMBB,80.308,12.487,2.801
psdas,44,eMBB,92.889,0.24,3.432
psdas,45,eMBB,92.608,0.087,3.567
psdas,46,mMTC,236.667,0.146,5.404
psdas,47,URLLC,17.958,4.609,0.333
psdas,48,eMBB,80.828,0.401,2.884
psdas,49,eMBB,83.012,16.417,2.884
psdas,50,URLLC,16.25,4.617,0.449
psdas,51,mMTC,237.529,0.373,5.379
psdas,52,eMBB,93.852,0.206,3.57
psdas,53,mMTC,236.413,0.18,5.44
psdas,54,URLLC,23.418,8.966,0.521
psdas,55,URLLC,18.319,3.96,0.41
psdas,56,eMBB,92.842,0.033,3.602
psdas,57,mMTC,237.229,0.483,5.272
psdas,58,eMBB,95.061,0.123,3.536
psdas,59,URLLC,17.095,3.735,0.33
psdas,60,eMBB,81.962,0.236,2.809
psdas,61,mMTC,207.738,12.196,4.292
psdas,62,mMTC,208.296,10.679,4.281
psdas,63,eMBB,62.677,23.156,1.86
psdas,64,mMTC,237.166,0.187,5.406
psdas,65,eMBB,80.175,11.375,2.783
psdas,66,URLLC,26.751,17.91,0.687
psdas,67,URLLC,23.062,12.201,0.665
psdas,68,mMTC,237.575,6.292,5.349
psdas,69,mMTC,236.292,0.418,5.285
psdas,70,mMTC,205.518,10.95,4.302
psdas,71,mMTC,236.318,14.592,5.285
psdas,72,mMTC,206.24,0.32,4.361
psdas,73,mMTC,239.286,0.071,5.263
psdas,74,eMBB,80.644,20.058,2.819
psdas,75,mMTC,205.719,11.1,4.367
psdas,76,mMTC,238.058,0.159,5.311
psdas,77,eMBB,93.095,0.538,3.458
psdas,78,mMTC,236.476,0.425,5.299
psdas,79,mMTC,208.182,0.386,4.377
psdas,80,mMTC,205.914,0.488,4.304
psdas,81,eMBB,92.538,0.588,3.562
psdas,82,mMTC,207.246,0.114,4.327
psdas,83,URLLC,23.682,5.532,0.589
psdas,84,URLLC,17.507,5.028,0.49
psdas,85,eMBB,80.204,0.287,2.732
psdas,86,eMBB,60.143,5.324,1.782
psdas,87,URLLC,15.957,1.971,0.475
psdas,88,URLLC,23.434,0.165,0.605
psdas,89,URLLC,21.842,5.266,0.55
psdas,90,URLLC,24.824,0.12,0.678
psdas,91,URLLC,18.949,2.949,0.441
psdas,92,URLLC,23.905,8.208,0.646
psdas,93,mMTC,207.867,0.079,4.278
psdas,94,URLLC,15.93,2.6,0.415
psdas,95,URLLC,21.832,19.828,0.619
psdas,96,URLLC,27.778,0.165,0.725
psdas,97,URLLC,16.714,1.992,0.411
psdas,98,URLLC,26.174,0.288,0.701
psdas,99,eMBB,80.341,0.039,2.852
psdas,100,eMBB,82.78,0.345,2.856
psdas,101,eMBB,82.648,0.374,2.736
psdas,102,mMTC,207.52,14.474,4.189
psdas,103,eMBB,80.148,0.473,2.901
psdas,104,URLLC,17.041,1.322,0.332
psdas,105,URLLC,17.824,4.098,0.404
psdas,106,mMTC,237.632,0.294,5.357
psdas,107,mMTC,208.325,0.522,4.261
psdas,108,URLLC,16.106,0.671,0.452
psdas,109,URLLC,23.036,4.404,0.545
psdas,110,eMBB,80.818,17.554,2.893
psdas,111,eMBB,91.99,0.115,3.489
psdas,112,eMBB,60.126,9.718,1.873
psdas,113,URLLC,17.705,4.053,0.393
psdas,114,eMBB,93.829,0.455,3.411
psdas,115,mMTC,206.231,0.206,4.295
psdas,116,URLLC,24.34,0.303,0.789
psdas,117,URLLC,25.651,0.056,0.773
psdas,118,eMBB,81.104,0.105,2.837
psdas,119,URLLC,22.741,10.473,0.67
psdas,120,mMTC,239.12,0.032,5.313
psdas,121,eMBB,95.791,0.388,3.595
psdas,122,eMBB,81.764,17.99,2.895
psdas,123,eMBB,94.724,0.15,3.606
psdas,124,URLLC,27.425,0.444,0.717
psdas,125,mMTC,208.511,0.404,4.359
psdas,126,URLLC,25.791,0.247,0.73
psdas,127,eMBB,91.944,0.47,3.498
psdas,128,eMBB,94.71,0.39,3.567
psdas,129,URLLC,27.164,0.344,0.86
psdas,130,mMTC,236.493,20.533,5.395
psdas,131,mMTC,206.312,0.128,4.312
psdas,132,eMBB,94.153,0.32,3.595
psdas,133,mMTC,239.65,0.373,5.291
psdas,134,URLLC,21.167,0.266,0.715
psdas,135,eMBB,93.185,4.914,3.465
psdas,136,eMBB,92.729,9.626,3.466
psdas,137,URLLC,24.26,0.369,0.862
psdas,138,eMBB,94.009,16.371,3.51
psdas,139,URLLC,21.86,2.127,0.676
psdas,140,URLLC,23.593,0.103,0.595
psdas,141,mMTC,237.515,0.478,5.345
psdas,142,mMTC,238.306,0.327,5.274
psdas,143,eMBB,81.381,0.195,2.908
psdas,144,mMTC,206.028,4.802,4.305
psdas,145,eMBB,92.345,0.38,3.463
psdas,146,mMTC,208.678,8.039,4.359
psdas,147,URLLC,22.188,0.301,0.707
psdas,148,URLLC,26.322,16.459,0.806
psdas,149,eMBB,94.544,0.302,3.535
psdas,150,URLLC,21.995,13.498,0.656
