mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
static,1,mMTC,100.192,0.82,1.604
static,2,mMTC,99.023,0.501,1.586
static,3,eMBB,104.485,8.31,3.848
static,4,mMTC,99.169,0.786,1.594
static,5,eMBB,130.202,2.018,5.957
static,6,mMTC,99.544,0.95,1.521
static,7,mMTC,99.11,0.066,1.448
static,8,URLLC,5.578,4.297,0.047
static,9,mMTC,86.672,0.076,1.297
static,10,mMTC,84.819,0.518,1.325
static,11,mMTC,101.466,0.253,1.605
static,12,mMTC,98.36,0.07,1.638
static,13,mMTC,87.553,0.66,1.263
static,14,URLLC,8.991,8.348,0.04
static,15,mMTC,98.509,0.74,1.611
static,16,URLLC,8.417,4.711,0.26
static,17,eMBB,150.446,4.428,7.494
static,18,eMBB,130.823,6.043,5.873
static,19,mMTC,101.528,0.76,1.513
static,20,mMTC,99.431,0.535,1.605
static,21,eMBB,133.108,4.997,5.961
static,22,eMBB,130.404,6.168,5.956
static,23,mMTC,99.732,0.085,1.64
static,24,URLLC,9.062,6.17,0.208
static,25,mMTC,99.017,0.514,1.57
static,26,eMBB,129.646,6.317,5.924
static,27,mMTC,98.459,0.945,1.569
static,28,mMTC,99.309,0.302,1.581
static,29,URLLC,5.618,1.036,0.19
static,30,eMBB,149.868,9.09,7.448
static,31,mMTC,100.311,0.579,1.642
static,32,mMTC,100.543,0.88,1.484
static,33,mMTC,99.283,0.53,1.585
static,34,mMTC,100.248,0.367,1.489
static,35,eMBB,132.809,6.9,6.001
static,36,mMTC,101.026,0.22,1.45
static,37,eMBB,151.207,8.387,7.378
static,38,mMTC,101.483,0.84,1.61
static,39,mMTC,84.846,0.07,1.173
static,40,eMBB,130.598,3.998,5.974
static,41,mMTC,85.052,0.116,1.309
static,42,mMTC,87.005,0.202,1.251
static,43,eMBB,129.979,5.638,5.912
static,44,mMTC,98.654,0.411,1.465
static,45,mMTC,98.364,0.149,1.601
static,46,mMTC,98.225,0.25,1.595
static,47,eMBB,105.862,2.167,3.779
static,48,mMTC,85.843,0.684,1.311
static,49,eMBB,132.766,7.425,5.995
static,50,URLLC,6.032,8.18,0.162
static,51,mMTC,99.114,0.653,1.57
static,52,mMTC,99.647,0.353,1.604
static,53,mMTC,97.964,0.318,1.631
static,54,eMBB,132.07,4.45,5.822
static,55,URLLC,8.281,7.321,0.123
static,56,mMTC,98.606,0.057,1.636
static,57,mMTC,98.805,0.83,1.462
static,58,mMTC,100.893,0.209,1.57
static,59,URLLC,6.95,6.943,0.044
static,60,mMTC,87.012,0.38,1.236
static,61,eMBB,132.086,5.463,5.929
static,62,eMBB,132.661,4.367,5.917
static,63,eMBB,105.877,9.197,3.882
static,64,mMTC,98.74,0.337,1.597
static,65,eMBB,129.841,4.713,5.894
static,66,eMBB,151.695,9.457,7.313
static,67,eMBB,131.703,5.875,5.966
static,68,eMBB,150.534,2.678,7.395
static,69,mMTC,97.839,0.74,1.476
static,70,eMBB,129.797,4.945,5.938
static,71,eMBB,149.238,6.832,7.331
static,72,mMTC,85.87,0.547,1.313
static,73,mMTC,100.925,0.12,1.454
static,74,eMBB,130.325,8.627,5.929
static,75,eMBB,130.004,5.025,6.004
static,76,mMTC,99.659,0.284,1.502
static,77,mMTC,98.867,0.917,1.491
static,78,mMTC,98.028,0.759,1.49
static,79,mMTC,87.872,0.66,1.33
static,80,mMTC,85.534,0.842,1.257
static,81,mMTC,98.293,0.99,1.596
static,82,mMTC,86.907,0.198,1.279
static,83,eMBB,132.342,2.822,5.89
static,84,URLLC,7.398,9.04,0.203
static,85,mMTC,85.2,0.481,1.159
static,86,eMBB,103.123,2.317,3.804
static,87,URLLC,5.713,3.57,0.188
static,88,mMTC,87.415,0.328,1.222
static,89,URLLC,7.979,9.712,0.109
static,90,mMTC,98.337,0.242,1.449
static,91,URLLC,8.966,5.522,0.154
static,92,eMBB,132.572,4.072,5.947
static,93,mMTC,87.547,0.13,1.231
static,94,URLLC,5.684,4.798,0.128
static,95,eMBB,130.435,9.525,5.92
static,96,mMTC,101.382,0.336,1.496
static,97,URLLC,6.537,3.622,0.124
static,98,mMTC,99.728,0.58,1.472
static,99,mMTC,85.341,0.066,1.279
static,100,mMTC,87.856,0.566,1.283
static,101,mMTC,87.719,0.626,1.163
static,102,eMBB,131.861,5.945,5.826
static,103,mMTC,85.142,0.787,1.328
static,104,URLLC,6.892,2.441,0.045
static,105,URLLC,7.743,7.764,0.117
static,106,mMTC,99.22,0.52,1.548
static,107,mMTC,88.019,0.88,1.214
static,108,URLLC,5.875,1.235,0.165
static,109,URLLC,9.21,8.165,0.103
static,110,eMBB,130.505,7.97,6.004
static,111,mMTC,97.728,0.197,1.522
static,112,eMBB,103.104,4.02,3.895
static,113,URLLC,7.614,7.667,0.106
static,114,mMTC,99.623,0.805,1.444
static,115,mMTC,85.86,0.354,1.247
static,116,mMTC,97.837,0.625,1.56
static,117,mMTC,99.189,0.109,1.545
static,118,mMTC,86.128,0.17,1.264
static,119,eMBB,131.373,5.183,5.971
static,120,mMTC,100.754,0.057,1.503
static,121,mMTC,101.646,0.661,1.628
static,122,eMBB,131.48,7.853,6.006
static,123,mMTC,100.546,0.256,1.64
static,124,mMTC,101.018,0.887,1.488
static,125,mMTC,88.211,0.66,1.312
static,126,mMTC,99.333,0.511,1.501
static,127,mMTC,97.68,0.78,1.532
static,128,mMTC,100.531,0.679,1.6
static,129,mMTC,100.749,0.695,1.631
static,130,eMBB,149.418,8.85,7.441
static,131,mMTC,85.944,0.216,1.264
static,132,mMTC,99.957,0.56,1.629
static,133,mMTC,101.301,0.665,1.482
static,134,mMTC,85.077,0.518,1.332
static,135,eMBB,150.331,2.325,7.353
static,136,eMBB,149.861,4.14,7.354
static,137,mMTC,97.755,0.754,1.634
static,138,eMBB,151.181,7.603,7.399
static,139,URLLC,7.998,4.156,0.235
static,140,mMTC,87.578,0.201,1.212
static,141,mMTC,99.099,0.858,1.536
static,142,mMTC,99.915,0.586,1.465
static,143,mMTC,86.413,0.323,1.335
static,144,eMBB,130.323,2.033,5.941
static,145,mMTC,98.094,0.645,1.496
static,146,eMBB,133.055,3.652,5.996
static,147,mMTC,86.131,0.586,1.325
static,148,eMBB,151.253,8.328,7.433
static,149,mMTC,100.361,0.514,1.569
static,150,eMBB,130.603,6.565,5.957
static,151,mMTC,84.864,0.776,1.277
static,152,eMBB,150.504,6.362,7.372
static,153,URLLC,8.451,2.176,0.024
static,154,mMTC,101.663,0.331,1.566
static,155,mMTC,85.894,0.55,1.311
static,156,mMTC,86.347,0.472,1.143
static,157,mMTC,100.125,0.745,1.568
static,158,mMTC,99.968,0.641,1.583
static,159,mMTC,86.814,0.05,1.27
static,160,eMBB,130.652,9.053,5.879
static,161,URLLC,6.929,4.833,0.242
static,162,mMTC,101.466,0.719,1.506
static,163,mMTC,100.939,0.207,1.614
static,164,mMTC,87.737,0.369,1.141
static,165,mMTC,98.16,0.44,1.6
static,166,eMBB,150.573,6.675,7.339
static,167,eMBB,131.965,5.942,5.969
static,168,eMBB,133.122,7.037,5.921
static,169,eMBB,151.894,9.498,7.354
static,170,eMBB,130.327,8.523,5.922
static,171,mMTC,98.227,0.709,1.611
static,172,mMTC,97.958,0.183,1.564
static,173,mMTC,88.142,0.475,1.264
static,174,mMTC,99.105,0.739,1.591
static,175,mMTC,86.642,0.63,1.266
static,176,mMTC,98.666,0.914,1.53
static,177,mMTC,99.966,0.672,1.53
static,178,mMTC,99.802,0.25,1.557
static,179,mMTC,98.082,0.118,1.568
