scenario,algorithm,seed,num_devices,overall_sla_violation_count,overall_sla_violation_rate_pct,fairness_index,utility_score,mmtc_avg_latency_ms,mmtc_p95_latency_ms,mmtc_p99_latency_ms,mmtc_avg_throughput_mbps,mmtc_avg_packet_loss_pct,mmtc_sla_violation_rate_pct,mmtc_load_ratio,embb_avg_latency_ms,embb_p95_latency_ms,embb_p99_latency_ms,embb_avg_throughput_mbps,embb_avg_packet_loss_pct,embb_sla_violation_rate_pct,embb_load_ratio,urllc_avg_latency_ms,urllc_p95_latency_ms,urllc_p99_latency_ms,urllc_avg_throughput_mbps,urllc_avg_packet_loss_pct,urllc_sla_violation_rate_pct,urllc_load_ratio
balanced,static,1,180,147,81.667,0.609,0.2427,88.616,94.104,94.394,0.503,1.437,86.916,0.678,112.629,127.199,128.093,7.387,4.995,100.0,2.064,6.523,8.348,8.399,5.891,0.14,0.0,0.682
balanced,dynamic,1,180,180,100.0,0.8102,0.2665,152.088,159.938,160.239,1.412,2.86,100.0,1.277,72.504,81.654,82.475,16.233,2.427,100.0,1.51,15.049,18.834,19.298,8.176,0.382,100.0,1.52
balanced,psdas,1,180,178,98.889,0.8278,0.2813,180.453,192.074,192.13,2.747,3.659,100.0,1.445,70.094,78.103,78.449,9.443,2.35,96.429,1.464,17.438,21.499,21.745,4.563,0.465,100.0,1.506
video_heavy,static,1,180,143,79.444,0.5368,0.1845,85.306,90.218,90.345,0.502,1.445,75.0,0.598,200.061,230.925,231.314,5.869,9.572,100.0,3.38,6.769,8.783,9.593,6.646,0.14,0.0,0.767
video_heavy,dynamic,1,180,180,100.0,0.894,0.1813,271.114,286.023,286.15,1.909,6.236,100.0,1.94,124.364,140.837,141.068,6.258,4.805,100.0,2.284,26.945,35.355,37.199,3.853,0.76,100.0,2.313
video_heavy,psdas,1,180,180,100.0,0.8311,0.1915,309.417,330.444,330.534,2.455,7.304,100.0,2.174,119.505,135.268,135.648,5.023,4.586,100.0,2.208,29.664,36.929,37.353,2.8,0.879,100.0,2.32
emergency_burst,static,1,180,133,73.889,0.6968,0.2421,87.392,91.831,92.367,0.464,1.45,78.571,0.637,123.662,140.743,141.231,5.894,5.585,100.0,2.229,8.867,11.449,12.615,4.781,0.192,23.684,1.088
emergency_burst,dynamic,1,180,180,100.0,0.8107,0.2542,177.481,186.137,186.645,1.802,3.579,100.0,1.416,86.928,96.804,97.636,14.818,3.119,100.0,1.712,17.36,22.653,24.258,4.785,0.446,100.0,1.714
emergency_burst,psdas,1,180,180,100.0,0.8092,0.2668,214.067,228.588,229.043,3.434,4.6,100.0,1.641,82.314,90.935,91.395,8.591,2.909,100.0,1.623,19.827,25.748,26.448,3.506,0.551,100.0,1.758
high_congestion,static,1,220,196,89.091,0.5636,0.1888,101.784,108.019,108.19,0.464,1.64,100.0,0.942,189.709,216.848,217.422,6.265,9.057,100.0,3.203,7.924,9.515,9.773,4.688,0.156,0.0,0.965
high_congestion,dynamic,1,220,220,100.0,0.857,0.1524,281.796,297.309,297.48,1.006,6.551,100.0,2.0,118.952,139.493,140.83,5.768,4.483,100.0,2.278,27.958,35.355,36.532,4.201,0.793,100.0,2.323
high_congestion,psdas,1,220,220,100.0,0.8002,0.173,314.663,334.238,334.726,1.643,7.469,100.0,2.196,121.33,135.495,135.955,4.028,4.698,100.0,2.21,30.829,37.366,37.799,2.092,0.915,100.0,2.339
noisy_channel,static,1,200,176,88.0,0.6838,0.2238,95.095,101.399,101.627,0.487,1.452,100.0,0.815,133.521,151.256,151.781,5.976,6.097,100.0,2.373,7.37,9.18,10.372,5.434,0.134,4.0,0.862
noisy_channel,dynamic,1,200,200,100.0,0.8315,0.2179,195.258,206.913,207.163,1.242,4.083,100.0,1.524,89.796,99.914,100.311,13.871,3.242,100.0,1.754,18.573,24.134,25.145,6.391,0.477,100.0,1.771
noisy_channel,psdas,1,200,200,100.0,0.8242,0.2376,223.635,239.367,239.816,2.461,4.866,100.0,1.697,85.713,94.893,95.796,6.743,3.086,100.0,1.679,22.167,27.199,27.808,3.757,0.613,100.0,1.819
