mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
psdas,1,mMTC,329.129,0.227,8.056
psdas,2,URLLC,34.992,0.13,1.161
psdas,3,eMBB,87.863,11.348,2.841
psdas,4,mMTC,328.137,0.21,8.046
psdas,5,URLLC,29.869,2.018,0.933
psdas,6,mMTC,328.501,0.305,7.974
psdas,7,eMBB,133.443,0.018,5.366
psdas,8,URLLC,22.101,1.107,0.514
psdas,9,eMBB,116.513,2.301,4.431
psdas,10,URLLC,29.179,3.865,0.985
psdas,11,URLLC,25.152,4.317,0.653
psdas,12,eMBB,115.239,8.321,4.467
psdas,13,URLLC,24.313,2.44,0.616
psdas,14,mMTC,330.46,0.204,7.911
psdas,15,URLLC,29.846,1.204,0.967
psdas,16,eMBB,133.543,5.007,5.54
psdas,17,eMBB,115.931,6.454,4.469
psdas,18,mMTC,328.121,0.258,7.946
psdas,19,mMTC,330.425,0.142,7.966
psdas,20,eMBB,116.277,4.997,4.435
psdas,21,eMBB,118.224,6.873,4.411
psdas,22,mMTC,327.714,0.024,8.029
psdas,23,URLLC,23.557,1.585,0.689
psdas,24,mMTC,330.529,0.156,8.08
psdas,25,URLLC,30.34,6.317,0.925
psdas,26,eMBB,114.866,9.62,4.375
psdas,27,eMBB,132.812,0.163,5.487
psdas,28,mMTC,328.273,0.224,8.033
psdas,29,eMBB,115.074,9.75,4.439
psdas,30,eMBB,87.321,5.973,2.9
psdas,31,mMTC,286.38,8.619,6.5
psdas,32,eMBB,117.356,6.207,4.314
psdas,33,eMBB,116.134,8.739,4.415
psdas,34,mMTC,329.184,0.061,7.942
psdas,35,URLLC,37.044,8.387,1.197
psdas,36,eMBB,135.302,0.256,5.368
psdas,37,URLLC,31.133,0.018,0.879
psdas,38,eMBB,118.268,4.785,4.439
psdas,39,mMTC,283.99,0.041,6.335
psdas,40,mMTC,285.038,3.951,6.452
psdas,41,eMBB,114.942,5.138,4.443
psdas,42,URLLC,31.298,5.367,0.911
psdas,43,mMTC,284.438,6.601,6.39
psdas,44,URLLC,22.565,2.167,0.514
psdas,45,URLLC,29.706,0.182,0.956
psdas,46,eMBB,115.108,9.27,4.425
psdas,47,URLLC,24.227,2.045,0.513
psdas,48,mMTC,327.822,0.168,8.067
psdas,49,mMTC,287.141,4.944,6.473
psdas,50,URLLC,34.586,0.242,1.156
psdas,51,mMTC,285.219,0.265,6.427
psdas,52,URLLC,23.478,1.923,0.652
psdas,53,mMTC,326.968,0.016,8.083
psdas,54,URLLC,36.327,0.207,1.018
psdas,55,eMBB,135.134,3.418,5.46
psdas,56,URLLC,29.94,6.07,0.991
psdas,57,URLLC,34.78,0.172,1.038
psdas,58,eMBB,135.173,0.043,5.488
psdas,59,eMBB,116.367,0.139,4.292
psdas,60,eMBB,88.718,12.475,2.847
psdas,61,URLLC,36.342,0.09,1.125
psdas,62,URLLC,32.254,4.826,0.894
psdas,63,eMBB,134.769,10.894,5.486
psdas,64,URLLC,30.071,5.875,0.953
psdas,65,URLLC,34.165,2.678,1.089
psdas,66,mMTC,329.256,0.209,7.911
psdas,67,URLLC,31.325,4.945,0.943
psdas,68,eMBB,133.494,8.096,5.457
psdas,69,eMBB,114.733,0.155,4.305
psdas,70,URLLC,34.123,0.03,1.134
psdas,71,eMBB,114.759,9.063,4.306
psdas,72,mMTC,284.983,5.825,6.475
psdas,73,eMBB,135.204,0.09,5.372
psdas,74,URLLC,29.988,9.4,0.906
psdas,75,eMBB,87.172,9.69,2.931
psdas,76,eMBB,133.976,2.732,5.419
psdas,77,mMTC,327.844,0.083,7.943
psdas,78,URLLC,29.38,2.925,0.845
psdas,79,eMBB,117.677,3.021,4.464
psdas,80,URLLC,22.455,2.295,0.61
psdas,81,URLLC,29.636,0.125,0.951
psdas,82,URLLC,23.719,2.317,0.632
psdas,83,URLLC,24.421,0.915,0.559
psdas,84,URLLC,23.776,4.724,0.67
psdas,85,URLLC,29.548,2.433,0.819
psdas,86,mMTC,326.733,0.063,7.943
psdas,87,URLLC,22.226,1.489,0.656
psdas,88,eMBB,117.233,4.072,4.356
psdas,89,eMBB,115.641,0.042,4.302
psdas,90,URLLC,22.273,1.258,0.497
psdas,91,eMBB,118.321,9.867,4.403
psdas,92,mMTC,329.818,0.098,8.02
psdas,93,eMBB,117.361,5.583,4.365
psdas,94,eMBB,115.138,7.453,4.376
psdas,95,mMTC,327.744,0.036,7.993
