mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
static,1,mMTC,88.95,0.842,1.581
static,2,mMTC,87.781,0.514,1.564
static,3,eMBB,159.27,8.31,6.205
static,4,mMTC,87.927,0.808,1.571
static,5,eMBB,198.683,2.018,9.582
static,6,mMTC,88.302,0.95,1.499
static,7,mMTC,87.868,0.068,1.426
static,8,URLLC,5.233,4.391,0.041
static,9,eMBB,199.825,2.232,9.606
static,10,eMBB,197.972,3.865,9.634
static,11,eMBB,161.652,4.317,6.275
static,12,eMBB,198.512,6.452,9.643
static,13,URLLC,7.637,8.74,0.142
static,14,mMTC,90.322,0.733,1.436
static,15,URLLC,7.281,4.8,0.238
static,16,eMBB,229.339,4.428,12.009
static,17,eMBB,199.225,6.043,9.644
static,18,mMTC,87.91,0.81,1.471
static,19,mMTC,90.285,0.549,1.491
static,20,eMBB,199.582,4.997,9.61
static,21,eMBB,201.589,6.168,9.586
static,22,mMTC,87.491,0.089,1.554
static,23,URLLC,6.814,6.045,0.215
static,24,mMTC,90.393,0.53,1.605
static,25,eMBB,199.169,6.317,9.575
static,26,eMBB,198.127,9.62,9.55
static,27,mMTC,87.217,0.57,1.547
static,28,mMTC,88.067,0.789,1.558
static,29,eMBB,198.342,7.925,9.614
static,30,eMBB,158.682,5.407,6.263
static,31,eMBB,200.462,6.56,9.647
static,32,eMBB,200.695,4.855,9.489
static,33,eMBB,199.435,6.9,9.59
static,34,mMTC,89.006,0.218,1.467
static,35,eMBB,231.264,8.387,12.009
static,36,mMTC,89.784,0.85,1.427
static,37,mMTC,77.058,0.07,1.201
static,38,eMBB,201.634,3.998,9.615
static,39,mMTC,75.07,0.12,1.155
static,40,eMBB,199.079,3.345,9.599
static,41,eMBB,198.205,4.575,9.619
static,42,eMBB,200.157,5.367,9.56
static,43,eMBB,198.46,6.08,9.537
static,44,eMBB,158.84,2.167,6.136
static,45,mMTC,75.587,0.73,1.278
static,46,eMBB,198.377,7.425,9.6
static,47,URLLC,7.543,8.095,0.04
static,48,mMTC,87.602,0.645,1.593
static,49,eMBB,201.247,4.57,9.621
static,50,mMTC,87.362,0.97,1.559
static,51,mMTC,76.337,0.87,1.247
static,52,URLLC,6.729,7.615,0.179
static,53,mMTC,86.722,0.059,1.608
static,54,mMTC,89.157,0.827,1.42
static,55,eMBB,230.979,3.373,11.929
static,56,eMBB,198.757,6.07,9.641
static,57,mMTC,87.563,0.69,1.44
static,58,mMTC,89.651,0.15,1.547
static,59,mMTC,76.746,0.51,1.14
static,60,eMBB,160.199,9.197,6.211
static,61,mMTC,89.173,0.353,1.527
static,62,eMBB,201.142,4.713,9.543
static,63,eMBB,230.602,9.457,11.955
static,64,eMBB,198.892,5.875,9.602
static,65,eMBB,228.297,2.678,11.901
static,66,mMTC,89.081,0.759,1.436
static,67,eMBB,200.184,4.945,9.592
static,68,eMBB,229.287,6.832,11.926
static,69,mMTC,75.062,0.562,1.153
static,70,mMTC,86.885,0.117,1.537
static,71,eMBB,198.017,8.627,9.481
static,72,eMBB,199.023,5.025,9.623
static,73,mMTC,89.683,0.3,1.431
static,74,eMBB,198.806,9.4,9.555
static,75,eMBB,158.52,8.623,6.295
static,76,eMBB,229.785,2.732,11.888
static,77,mMTC,87.625,0.28,1.469
static,78,eMBB,198.18,2.925,9.495
static,79,eMBB,201.025,2.822,9.639
static,80,URLLC,5.617,8.786,0.137
static,81,mMTC,75.515,0.5,1.273
static,82,eMBB,160.094,2.317,6.254
static,83,URLLC,7.754,3.543,0.086
static,84,eMBB,160.157,4.505,6.292
static,85,URLLC,6.973,9.465,0.091
static,86,mMTC,86.48,0.242,1.468
static,87,URLLC,5.368,5.869,0.182
static,88,eMBB,200.568,4.072,9.532
static,89,mMTC,75.998,0.13,1.15
static,90,URLLC,5.419,4.917,0.024
static,91,eMBB,201.689,9.525,9.578
static,92,mMTC,89.66,0.349,1.545
static,93,eMBB,200.7,4.423,9.54
static,94,eMBB,198.408,6.768,9.552
static,95,mMTC,87.522,0.12,1.519
static,96,mMTC,90.14,0.118,1.474
static,97,mMTC,87.867,0.8,1.52
static,98,eMBB,229.854,3.232,11.859
static,99,mMTC,75.565,0.92,1.261
static,100,eMBB,201.008,9.88,9.592
static,101,mMTC,89.478,0.534,1.445
static,102,mMTC,77.413,0.9,1.124
static,103,URLLC,5.226,1.267,0.207
static,104,URLLC,8.237,8.02,0.091
static,105,eMBB,200.466,7.97,9.541
static,106,eMBB,199.371,3.263,9.552
static,107,mMTC,89.778,0.11,1.496
static,108,eMBB,228.573,6.395,11.971
static,109,eMBB,200.158,5.165,9.471
static,110,mMTC,87.592,0.636,1.602
static,111,eMBB,197.879,2.498,9.527
static,112,mMTC,86.461,0.299,1.559
static,113,eMBB,200.337,5.207,9.53
static,114,mMTC,88.381,0.529,1.422
static,115,eMBB,199.013,5.508,9.557
static,116,mMTC,86.595,0.505,1.538
static,117,mMTC,87.947,0.44,1.522
static,118,URLLC,6.212,9.26,0.144
static,119,eMBB,159.888,2.385,6.262
static,120,eMBB,230.88,9.02,11.89
static,121,eMBB,231.772,4.495,12.015
static,122,eMBB,199.961,7.61,9.631
static,123,eMBB,200.697,9.172,9.645
static,124,mMTC,78.241,0.29,1.166
static,125,eMBB,161.398,8.062,6.286
static,126,eMBB,199.484,7.737,9.506
static,127,mMTC,74.903,0.74,1.209
static,128,URLLC,7.614,8.001,0.175
static,129,mMTC,89.506,0.911,1.609
static,130,mMTC,86.804,0.79,1.563
static,131,eMBB,229.071,7.603,11.955
static,132,URLLC,8.73,4.262,0.257
static,133,eMBB,201.452,3.317,9.487
static,134,URLLC,5.161,9.343,0.212
static,135,eMBB,199.11,5.265,9.503
static,136,mMTC,75.712,0.76,1.177
static,137,mMTC,74.978,0.461,1.311
static,138,eMBB,199.96,6.845,9.549
static,139,mMTC,76.017,0.554,1.276
static,140,eMBB,230.705,4.008,11.903
static,141,eMBB,199.251,9.79,9.541
static,142,eMBB,200.066,8.152,9.47
static,143,mMTC,88.172,0.15,1.617
static,144,mMTC,87.41,0.76,1.539
static,145,URLLC,6.866,7.85,0.124
static,146,mMTC,90.142,0.516,1.594
static,147,mMTC,87.89,0.523,1.607
static,148,eMBB,200.032,2.007,9.583
static,149,mMTC,89.119,0.43,1.546
static,150,eMBB,199.084,5.938,9.583
static,151,mMTC,75.089,0.049,1.259
static,152,eMBB,199.283,9.053,9.522
static,153,URLLC,9.795,5.133,0.071
static,154,eMBB,201.814,7.957,9.571
static,155,mMTC,87.653,0.64,1.593
static,156,eMBB,199.499,2.027,9.452
static,157,eMBB,200.276,8.89,9.572
static,158,eMBB,200.119,7.99,9.588
static,159,eMBB,199.966,7.19,9.579
static,160,eMBB,229.108,7.07,11.886
static,161,eMBB,197.876,8.14,9.61
static,162,mMTC,90.223,0.291,1.484
static,163,eMBB,231.064,6.355,12.0
static,164,eMBB,160.924,5.737,6.116
static,165,eMBB,198.312,7.957,9.605
static,166,eMBB,229.326,2.158,11.871
static,167,eMBB,200.447,5.215,9.595
