mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
psdas_fixed_weights,1,URLLC,20.658,0.555,0.615
psdas_fixed_weights,2,URLLC,19.524,0.341,0.597
psdas_fixed_weights,3,eMBB,50.369,25.542,1.403
psdas_fixed_weights,4,mMTC,193.617,0.547,4.12
psdas_fixed_weights,5,eMBB,65.991,5.723,2.196
psdas_fixed_weights,6,eMBB,77.039,0.692,2.675
psdas_fixed_weights,7,eMBB,76.617,0.046,2.602
psdas_fixed_weights,8,URLLC,11.895,3.156,0.22
psdas_fixed_weights,9,mMTC,168.788,0.054,3.318
psdas_fixed_weights,10,mMTC,166.991,0.38,3.346
psdas_fixed_weights,11,mMTC,195.845,0.178,4.131
psdas_fixed_weights,12,URLLC,18.881,0.049,0.649
psdas_fixed_weights,13,eMBB,67.953,0.495,2.186
psdas_fixed_weights,14,URLLC,15.036,6.096,0.214
psdas_fixed_weights,15,eMBB,76.034,0.534,2.764
psdas_fixed_weights,16,URLLC,17.078,3.378,0.527
psdas_fixed_weights,17,eMBB,76.582,11.938,2.793
psdas_fixed_weights,18,eMBB,66.593,18.046,2.111
psdas_fixed_weights,19,URLLC,21.953,0.51,0.524
psdas_fixed_weights,20,mMTC,193.871,0.372,4.131
psdas_fixed_weights,21,mMTC,170.499,14.033,3.298
psdas_fixed_weights,22,eMBB,66.187,17.198,2.194
psdas_fixed_weights,23,mMTC,194.163,0.059,4.166
psdas_fixed_weights,24,URLLC,15.101,4.537,0.382
psdas_fixed_weights,25,eMBB,76.528,0.364,2.723
psdas_fixed_weights,26,eMBB,65.452,17.089,2.163
psdas_fixed_weights,27,mMTC,192.929,0.674,4.095
psdas_fixed_weights,28,URLLC,19.801,0.206,0.591
psdas_fixed_weights,29,URLLC,11.932,0.765,0.364
psdas_fixed_weights,30,mMTC,192.964,23.983,4.119
psdas_fixed_weights,31,URLLC,20.773,0.4,0.653
psdas_fixed_weights,32,mMTC,194.95,0.636,4.01
psdas_fixed_weights,33,mMTC,193.728,0.382,4.111
psdas_fixed_weights,34,URLLC,20.712,0.25,0.5
psdas_fixed_weights,35,eMBB,68.52,18.671,2.24
psdas_fixed_weights,36,mMTC,195.419,0.159,3.976
psdas_fixed_weights,37,eMBB,77.321,23.841,2.677
psdas_fixed_weights,38,URLLC,21.909,0.578,0.621
psdas_fixed_weights,39,eMBB,65.327,0.052,2.096
psdas_fixed_weights,40,mMTC,168.064,11.187,3.311
psdas_fixed_weights,41,mMTC,167.217,0.085,3.33
psdas_fixed_weights,42,mMTC,169.11,0.146,3.272
psdas_fixed_weights,43,URLLC,16.202,14.732,0.436
psdas_fixed_weights,44,URLLC,19.166,0.282,0.476
psdas_fixed_weights,45,mMTC,192.837,0.106,4.127
psdas_fixed_weights,46,eMBB,75.759,0.18,2.748
psdas_fixed_weights,47,URLLC,14.021,6.163,0.22
psdas_fixed_weights,48,mMTC,167.984,0.49,3.331
psdas_fixed_weights,49,eMBB,68.478,20.147,2.234
psdas_fixed_weights,50,URLLC,12.313,6.084,0.336
psdas_fixed_weights,51,URLLC,19.612,0.447,0.581
psdas_fixed_weights,52,mMTC,194.081,0.25,4.13
psdas_fixed_weights,53,mMTC,192.448,0.224,4.157
psdas_fixed_weights,54,mMTC,169.492,12.557,3.159
psdas_fixed_weights,55,URLLC,14.382,5.34,0.297
psdas_fixed_weights,56,mMTC,193.071,0.04,4.162
psdas_fixed_weights,57,mMTC,193.264,0.593,3.988
psdas_fixed_weights,58,eMBB,78.347,0.149,2.723
psdas_fixed_weights,59,URLLC,13.158,5.052,0.217
