mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
psdas_fixed_weights,1,mMTC,229.078,0.486,5.136
psdas_fixed_weights,2,URLLC,24.21,0.268,0.768
psdas_fixed_weights,3,eMBB,58.646,22.409,1.721
psdas_fixed_weights,4,URLLC,24.352,0.409,0.776
psdas_fixed_weights,5,mMTC,197.653,4.858,4.099
psdas_fixed_weights,6,eMBB,89.584,0.603,3.285
psdas_fixed_weights,7,URLLC,24.295,0.035,0.63
psdas_fixed_weights,8,URLLC,14.988,2.532,0.309
psdas_fixed_weights,9,URLLC,21.601,0.041,0.642
psdas_fixed_weights,10,mMTC,196.963,0.326,4.151
psdas_fixed_weights,11,mMTC,230.313,0.152,5.137
psdas_fixed_weights,12,eMBB,88.436,0.044,3.401
psdas_fixed_weights,13,URLLC,25.696,16.08,0.749
psdas_fixed_weights,14,URLLC,18.128,1.163,0.302
psdas_fixed_weights,15,eMBB,76.878,19.921,2.717
psdas_fixed_weights,16,URLLC,15.965,4.097,0.466
psdas_fixed_weights,17,eMBB,77.426,21.736,2.746
psdas_fixed_weights,18,URLLC,24.336,5.094,0.675
psdas_fixed_weights,19,eMBB,91.508,0.118,3.277
psdas_fixed_weights,20,eMBB,77.772,17.236,2.711
psdas_fixed_weights,21,eMBB,79.719,20.119,2.688
psdas_fixed_weights,22,eMBB,77.096,0.048,2.683
psdas_fixed_weights,23,eMBB,78.064,23.142,2.747
psdas_fixed_weights,24,URLLC,26.744,0.283,0.809
psdas_fixed_weights,25,mMTC,198.124,15.159,4.091
psdas_fixed_weights,26,eMBB,76.361,22.394,2.651
psdas_fixed_weights,27,mMTC,227.397,0.345,5.101
psdas_fixed_weights,28,URLLC,24.488,0.415,0.762
psdas_fixed_weights,29,URLLC,20.162,4.349,0.65
psdas_fixed_weights,30,eMBB,76.865,15.288,2.7
psdas_fixed_weights,31,URLLC,16.976,3.613,0.486
psdas_fixed_weights,32,mMTC,199.604,15.04,4.005
psdas_fixed_weights,33,URLLC,21.222,16.12,0.626
psdas_fixed_weights,34,mMTC,199.318,0.161,4.01
psdas_fixed_weights,35,URLLC,26.262,17.404,0.804
psdas_fixed_weights,36,eMBB,79.32,2.158,2.556
psdas_fixed_weights,37,URLLC,16.538,6.222,0.367
psdas_fixed_weights,38,mMTC,200.515,0.477,4.131
psdas_fixed_weights,39,mMTC,196.989,0.411,3.999
psdas_fixed_weights,40,mMTC,227.851,0.115,5.127
psdas_fixed_weights,41,URLLC,23.27,0.161,0.796
psdas_fixed_weights,42,eMBB,90.032,0.21,3.319
psdas_fixed_weights,43,mMTC,227.251,0.232,5.064
psdas_fixed_weights,44,URLLC,23.853,0.08,0.647
