mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
psdas_fixed_weights,1,URLLC,36.421,0.215,1.19
psdas_fixed_weights,2,URLLC,35.287,0.13,1.172
psdas_fixed_weights,3,eMBB,87.894,11.336,2.842
psdas_fixed_weights,4,mMTC,334.364,0.21,8.228
psdas_fixed_weights,5,eMBB,115.447,2.274,4.409
psdas_fixed_weights,6,mMTC,334.728,0.287,8.155
psdas_fixed_weights,7,mMTC,334.307,0.018,8.082
psdas_fixed_weights,8,URLLC,22.296,1.107,0.519
psdas_fixed_weights,9,eMBB,116.554,0.021,4.433
psdas_fixed_weights,10,mMTC,289.379,0.16,6.632
psdas_fixed_weights,11,URLLC,37.657,0.065,1.191
psdas_fixed_weights,12,URLLC,34.645,0.018,1.224
psdas_fixed_weights,13,eMBB,134.892,8.644,5.487
psdas_fixed_weights,14,eMBB,118.388,3.278,4.29
psdas_fixed_weights,15,eMBB,132.908,11.183,5.531
psdas_fixed_weights,16,URLLC,35.471,4.428,1.209
psdas_fixed_weights,17,URLLC,30.651,6.043,1.004
psdas_fixed_weights,18,eMBB,133.532,0.242,5.413
psdas_fixed_weights,19,URLLC,37.717,0.142,1.099
psdas_fixed_weights,20,eMBB,116.319,4.997,4.437
psdas_fixed_weights,21,URLLC,32.944,6.168,0.946
psdas_fixed_weights,22,eMBB,133.126,0.022,5.496
psdas_fixed_weights,23,URLLC,23.751,1.585,0.694
psdas_fixed_weights,24,eMBB,135.94,0.145,5.547
psdas_fixed_weights,25,eMBB,115.917,7.068,4.401
psdas_fixed_weights,26,eMBB,132.39,0.237,5.465
psdas_fixed_weights,27,mMTC,333.676,0.089,8.203
psdas_fixed_weights,28,URLLC,23.362,0.263,0.635
psdas_fixed_weights,29,eMBB,132.599,10.444,5.529
psdas_fixed_weights,30,mMTC,333.712,0.145,8.227
psdas_fixed_weights,31,mMTC,335.472,0.255,8.276
psdas_fixed_weights,32,mMTC,335.698,0.159,8.118
psdas_fixed_weights,33,URLLC,35.54,0.095,1.171
psdas_fixed_weights,34,URLLC,31.79,6.9,0.854
psdas_fixed_weights,35,eMBB,135.459,0.055,5.542
psdas_fixed_weights,36,eMBB,135.35,10.091,5.37
psdas_fixed_weights,37,eMBB,134.194,0.241,5.443
psdas_fixed_weights,38,mMTC,292.932,0.021,6.612
psdas_fixed_weights,39,eMBB,114.782,5.138,4.309
psdas_fixed_weights,40,mMTC,290.453,0.033,6.597
psdas_fixed_weights,41,mMTC,289.606,0.059,6.617
psdas_fixed_weights,42,URLLC,31.555,5.638,0.92
psdas_fixed_weights,43,eMBB,132.714,0.105,5.452
psdas_fixed_weights,44,eMBB,133.049,0.04,5.385
psdas_fixed_weights,45,URLLC,34.648,0.062,1.187
psdas_fixed_weights,46,URLLC,22.365,2.248,0.649
psdas_fixed_weights,47,eMBB,117.318,0.211,4.296
psdas_fixed_weights,48,eMBB,115.749,7.425,4.447
psdas_fixed_weights,49,URLLC,25.006,2.045,0.67
psdas_fixed_weights,50,URLLC,34.881,0.168,1.167
psdas_fixed_weights,51,URLLC,30.69,4.57,0.934
psdas_fixed_weights,52,mMTC,334.828,0.263,8.238
psdas_fixed_weights,53,mMTC,289.518,0.239,6.633
psdas_fixed_weights,54,URLLC,24.365,1.923,0.496
psdas_fixed_weights,55,eMBB,135.182,0.015,5.462
psdas_fixed_weights,56,URLLC,34.882,0.207,1.222
psdas_fixed_weights,57,mMTC,334.011,3.931,8.097
psdas_fixed_weights,58,mMTC,292.36,7.402,6.573
psdas_fixed_weights,59,eMBB,133.891,0.172,5.382
psdas_fixed_weights,60,mMTC,335.184,0.045,8.174
psdas_fixed_weights,61,URLLC,31.952,0.13,0.914
psdas_fixed_weights,62,eMBB,89.648,12.495,2.846
psdas_fixed_weights,63,eMBB,134.816,0.104,5.488
psdas_fixed_weights,64,mMTC,290.272,4.713,6.6
psdas_fixed_weights,65,URLLC,34.461,9.457,1.1
psdas_fixed_weights,66,URLLC,31.863,5.875,0.823
