mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
psdas_fixed_weights,1,mMTC,241.245,0.454,5.491
psdas_fixed_weights,2,URLLC,25.502,0.248,0.815
psdas_fixed_weights,3,eMBB,61.163,21.456,1.817
psdas_fixed_weights,4,URLLC,25.644,0.377,0.823
psdas_fixed_weights,5,eMBB,80.216,4.731,2.832
psdas_fixed_weights,6,mMTC,240.616,0.556,5.409
psdas_fixed_weights,7,URLLC,25.586,0.032,0.677
psdas_fixed_weights,8,URLLC,15.84,2.36,0.334
psdas_fixed_weights,9,eMBB,81.324,0.045,2.856
psdas_fixed_weights,10,eMBB,79.526,0.318,2.884
psdas_fixed_weights,11,mMTC,242.48,0.142,5.492
psdas_fixed_weights,12,mMTC,239.468,0.041,5.525
psdas_fixed_weights,13,eMBB,82.178,0.414,2.822
psdas_fixed_weights,14,URLLC,18.981,4.525,0.327
psdas_fixed_weights,15,mMTC,239.612,0.428,5.498
psdas_fixed_weights,16,mMTC,208.893,2.813,4.428
psdas_fixed_weights,17,eMBB,92.941,9.76,3.589
psdas_fixed_weights,18,mMTC,208.835,14.572,4.299
psdas_fixed_weights,19,eMBB,95.321,0.432,3.462
psdas_fixed_weights,20,eMBB,93.288,0.304,3.554
psdas_fixed_weights,21,URLLC,24.435,9.992,0.66
psdas_fixed_weights,22,URLLC,21.812,12.123,0.655
psdas_fixed_weights,23,eMBB,93.58,0.048,3.59
psdas_fixed_weights,24,URLLC,19.046,3.397,0.496
psdas_fixed_weights,25,eMBB,92.887,0.299,3.519
psdas_fixed_weights,26,eMBB,79.677,13.982,2.8
psdas_fixed_weights,27,URLLC,24.955,0.482,0.798
psdas_fixed_weights,28,eMBB,93.169,0.176,3.53
psdas_fixed_weights,29,URLLC,15.877,0.576,0.477
psdas_fixed_weights,30,eMBB,92.381,19.644,3.542
psdas_fixed_weights,31,mMTC,241.36,0.332,5.529
psdas_fixed_weights,32,URLLC,26.977,0.458,0.713
psdas_fixed_weights,33,mMTC,240.363,0.307,5.472
psdas_fixed_weights,34,URLLC,26.691,0.182,0.718
psdas_fixed_weights,35,eMBB,82.745,15.278,2.877
psdas_fixed_weights,36,mMTC,242.054,0.129,5.337
psdas_fixed_weights,37,eMBB,93.68,19.717,3.473
psdas_fixed_weights,38,mMTC,242.497,0.478,5.497
psdas_fixed_weights,39,mMTC,207.569,0.042,4.283
psdas_fixed_weights,40,URLLC,22.0,7.954,0.673
psdas_fixed_weights,41,URLLC,21.153,0.06,0.692
psdas_fixed_weights,42,mMTC,209.663,0.116,4.361
psdas_fixed_weights,43,eMBB,80.0,12.547,2.787
psdas_fixed_weights,44,eMBB,92.534,0.241,3.414
psdas_fixed_weights,45,eMBB,92.253,0.088,3.55
psdas_fixed_weights,46,mMTC,239.337,0.144,5.482
psdas_fixed_weights,47,URLLC,17.966,4.605,0.333
psdas_fixed_weights,48,eMBB,80.519,0.403,2.87
psdas_fixed_weights,49,eMBB,82.703,16.496,2.871
psdas_fixed_weights,50,URLLC,16.258,4.614,0.449
psdas_fixed_weights,51,mMTC,240.199,0.368,5.457
psdas_fixed_weights,52,eMBB,93.497,0.207,3.553
psdas_fixed_weights,53,mMTC,239.083,0.177,5.518
psdas_fixed_weights,54,URLLC,23.428,8.959,0.521
psdas_fixed_weights,55,URLLC,18.327,3.958,0.41
psdas_fixed_weights,56,eMBB,92.487,0.033,3.585
psdas_fixed_weights,57,mMTC,239.899,0.477,5.35
psdas_fixed_weights,58,URLLC,27.316,0.106,0.799
psdas_fixed_weights,59,URLLC,17.103,3.733,0.331
psdas_fixed_weights,60,eMBB,81.654,0.237,2.795
psdas_fixed_weights,61,mMTC,210.06,12.021,4.355
psdas_fixed_weights,62,mMTC,210.618,10.539,4.343
psdas_fixed_weights,63,eMBB,62.444,23.254,1.851
psdas_fixed_weights,64,mMTC,239.837,0.184,5.484
psdas_fixed_weights,65,eMBB,79.866,11.425,2.769
psdas_fixed_weights,66,URLLC,26.763,17.897,0.688
psdas_fixed_weights,67,URLLC,23.073,12.192,0.666
psdas_fixed_weights,68,mMTC,240.245,6.206,5.427
psdas_fixed_weights,69,mMTC,238.962,0.412,5.363
psdas_fixed_weights,70,mMTC,207.84,10.791,4.364
psdas_fixed_weights,71,mMTC,238.988,14.372,5.363
psdas_fixed_weights,72,mMTC,208.562,0.316,4.423
psdas_fixed_weights,73,mMTC,241.956,0.07,5.341
psdas_fixed_weights,74,eMBB,80.335,20.15,2.805
psdas_fixed_weights,75,eMBB,80.024,11.357,2.879
psdas_fixed_weights,76,URLLC,26.119,0.138,0.731
psdas_fixed_weights,77,eMBB,92.74,0.541,3.44
psdas_fixed_weights,78,mMTC,239.146,0.418,5.377
psdas_fixed_weights,79,mMTC,210.504,0.38,4.439
psdas_fixed_weights,80,mMTC,208.236,0.481,4.367
psdas_fixed_weights,81,eMBB,92.183,0.59,3.545
psdas_fixed_weights,82,eMBB,81.552,0.117,2.839
psdas_fixed_weights,83,URLLC,23.692,5.528,0.589
psdas_fixed_weights,84,URLLC,17.515,5.025,0.49
psdas_fixed_weights,85,eMBB,79.896,0.289,2.718
psdas_fixed_weights,86,eMBB,59.91,5.349,1.773
psdas_fixed_weights,87,URLLC,15.965,1.969,0.476
psdas_fixed_weights,88,URLLC,23.444,0.165,0.605
psdas_fixed_weights,89,URLLC,21.852,5.262,0.551
psdas_fixed_weights,90,URLLC,24.836,0.12,0.678
psdas_fixed_weights,91,URLLC,18.957,2.946,0.441
psdas_fixed_weights,92,eMBB,82.516,9.551,2.822
psdas_fixed_weights,93,mMTC,210.189,0.078,4.34
psdas_fixed_weights,94,URLLC,15.938,2.599,0.415
psdas_fixed_weights,95,URLLC,21.842,19.815,0.62
psdas_fixed_weights,96,URLLC,27.79,0.165,0.725
psdas_fixed_weights,97,URLLC,16.722,1.991,0.411
psdas_fixed_weights,98,URLLC,26.186,0.288,0.701
psdas_fixed_weights,99,mMTC,208.049,0.038,4.389
psdas_fixed_weights,100,eMBB,82.472,0.347,2.842
psdas_fixed_weights,101,eMBB,82.34,0.376,2.722
psdas_fixed_weights,102,mMTC,209.841,14.283,4.251
psdas_fixed_weights,103,mMTC,207.856,0.458,4.437
psdas_fixed_weights,104,URLLC,17.049,1.321,0.332
psdas_fixed_weights,105,URLLC,17.832,4.095,0.405
psdas_fixed_weights,106,mMTC,240.302,0.29,5.435
psdas_fixed_weights,107,mMTC,210.646,0.514,4.323
psdas_fixed_weights,108,URLLC,16.114,0.67,0.452
psdas_fixed_weights,109,URLLC,23.047,4.401,0.545
psdas_fixed_weights,110,eMBB,80.51,17.639,2.879
psdas_fixed_weights,111,eMBB,91.635,0.116,3.471
psdas_fixed_weights,112,eMBB,59.892,9.761,1.864
psdas_fixed_weights,113,URLLC,17.713,4.05,0.394
psdas_fixed_weights,114,eMBB,93.474,0.457,3.393
psdas_fixed_weights,115,mMTC,208.553,0.203,4.357
psdas_fixed_weights,116,URLLC,24.352,0.303,0.789
psdas_fixed_weights,117,eMBB,93.053,0.065,3.494
psdas_fixed_weights,118,eMBB,80.796,0.105,2.824
psdas_fixed_weights,119,mMTC,209.368,11.751,4.397
psdas_fixed_weights,120,mMTC,241.79,0.032,5.391
psdas_fixed_weights,121,eMBB,95.436,0.39,3.577
psdas_fixed_weights,122,eMBB,81.456,18.074,2.881
psdas_fixed_weights,123,eMBB,94.369,0.151,3.589
psdas_fixed_weights,124,URLLC,27.437,0.444,0.717
psdas_fixed_weights,125,mMTC,210.833,0.399,4.421
psdas_fixed_weights,126,URLLC,25.803,0.247,0.73
psdas_fixed_weights,127,eMBB,91.589,0.472,3.481
psdas_fixed_weights,128,eMBB,94.355,0.392,3.549
psdas_fixed_weights,129,URLLC,27.176,0.343,0.86
psdas_fixed_weights,130,mMTC,239.163,20.249,5.473
psdas_fixed_weights,131,mMTC,208.634,0.127,4.374
psdas_fixed_weights,132,eMBB,93.798,0.321,3.578
psdas_fixed_weights,133,mMTC,242.32,0.367,5.369
psdas_fixed_weights,134,URLLC,21.177,0.266,0.715
psdas_fixed_weights,135,eMBB,92.83,4.939,3.447
psdas_fixed_weights,136,URLLC,24.984,8.299,0.728
psdas_fixed_weights,137,URLLC,24.272,0.369,0.863
psdas_fixed_weights,138,eMBB,93.654,16.452,3.493
psdas_fixed_weights,139,eMBB,80.471,2.493,2.853
psdas_fixed_weights,140,URLLC,23.603,0.102,0.595
psdas_fixed_weights,141,mMTC,240.185,0.471,5.423
psdas_fixed_weights,142,mMTC,240.976,0.322,5.352
psdas_fixed_weights,143,eMBB,81.072,0.196,2.894
psdas_fixed_weights,144,eMBB,80.333,4.906,2.816
psdas_fixed_weights,145,eMBB,91.99,0.382,3.445
psdas_fixed_weights,146,mMTC,211.0,7.922,4.422
psdas_fixed_weights,147,URLLC,22.199,0.301,0.708
psdas_fixed_weights,148,URLLC,26.334,16.447,0.807
psdas_fixed_weights,149,eMBB,94.19,0.303,3.518
psdas_fixed_weights,150,URLLC,22.006,13.489,0.657
psdas_fixed_weights,151,eMBB,79.57,0.46,2.836
psdas_fixed_weights,152,URLLC,25.608,12.389,0.746
psdas_fixed_weights,153,URLLC,18.483,1.2,0.311
psdas_fixed_weights,154,eMBB,95.452,0.189,3.516
psdas_fixed_weights,155,mMTC,208.585,0.327,4.421
psdas_fixed_weights,156,URLLC,22.408,0.247,0.526
psdas_fixed_weights,157,mMTC,241.18,0.409,5.455
psdas_fixed_weights,158,mMTC,241.027,0.356,5.47
psdas_fixed_weights,159,eMBB,81.461,0.031,2.829
psdas_fixed_weights,160,URLLC,22.053,19.686,0.578
psdas_fixed_weights,161,eMBB,79.434,2.904,2.86
psdas_fixed_weights,162,mMTC,242.48,0.395,5.394
psdas_fixed_weights,163,eMBB,94.75,0.122,3.563
psdas_fixed_weights,164,mMTC,210.373,0.21,4.251
psdas_fixed_weights,165,mMTC,239.274,0.248,5.487
psdas_fixed_weights,166,eMBB,93.064,14.938,3.434
psdas_fixed_weights,167,mMTC,209.943,13.235,4.395
psdas_fixed_weights,168,eMBB,83.048,17.105,2.797
psdas_fixed_weights,169,eMBB,94.346,20.275,3.448
psdas_fixed_weights,170,eMBB,80.338,19.022,2.797
psdas_fixed_weights,171,mMTC,239.339,0.402,5.498
psdas_fixed_weights,172,mMTC,239.078,0.102,5.451
psdas_fixed_weights,173,mMTC,210.766,0.277,4.374
psdas_fixed_weights,174,eMBB,92.972,0.431,3.54
psdas_fixed_weights,175,URLLC,22.695,0.316,0.649
psdas_fixed_weights,176,mMTC,239.765,0.51,5.417
psdas_fixed_weights,177,URLLC,26.417,0.331,0.759
psdas_fixed_weights,178,eMBB,93.647,0.151,3.506
psdas_fixed_weights,179,URLLC,24.589,0.06,0.797
psdas_fixed_weights,180,mMTC,239.869,0.215,5.388
psdas_fixed_weights,181,eMBB,79.822,7.609,2.855
psdas_fixed_weights,182,eMBB,81.001,9.595,2.707
psdas_fixed_weights,183,mMTC,241.825,0.123,5.413
psdas_fixed_weights,184,eMBB,93.741,11.253,3.553
psdas_fixed_weights,185,eMBB,60.444,20.968,1.886
psdas_fixed_weights,186,URLLC,16.543,3.497,0.362
psdas_fixed_weights,187,URLLC,24.909,0.366,0.762
psdas_fixed_weights,188,mMTC,210.652,0.377,4.404
psdas_fixed_weights,189,URLLC,24.53,2.715,0.579
psdas_fixed_weights,190,eMBB,82.393,17.174,2.863
psdas_fixed_weights,191,URLLC,26.809,0.091,0.817
psdas_fixed_weights,192,mMTC,210.644,0.428,4.253
psdas_fixed_weights,193,eMBB,82.708,17.376,2.74
psdas_fixed_weights,194,mMTC,209.821,0.275,4.258
psdas_fixed_weights,195,mMTC,240.604,0.051,5.335
psdas_fixed_weights,196,URLLC,15.547,1.483,0.414
psdas_fixed_weights,197,eMBB,82.781,19.091,2.844
psdas_fixed_weights,198,mMTC,209.638,0.46,4.388
psdas_fixed_weights,199,mMTC,208.517,6.16,4.346
psdas_fixed_weights,200,mMTC,209.481,0.122,4.448
