mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
psdas_fixed_weights,1,mMTC,331.435,0.221,8.124
psdas_fixed_weights,2,URLLC,34.967,0.13,1.16
psdas_fixed_weights,3,eMBB,87.701,11.41,2.835
psdas_fixed_weights,4,mMTC,330.443,0.21,8.114
psdas_fixed_weights,5,eMBB,115.192,2.292,4.398
psdas_fixed_weights,6,mMTC,330.807,0.298,8.041
psdas_fixed_weights,7,eMBB,133.198,0.018,5.354
psdas_fixed_weights,8,URLLC,22.085,1.107,0.513
psdas_fixed_weights,9,eMBB,116.299,2.317,4.421
psdas_fixed_weights,10,eMBB,114.502,4.786,4.45
psdas_fixed_weights,11,URLLC,25.136,4.317,0.652
psdas_fixed_weights,12,eMBB,115.025,8.369,4.458
psdas_fixed_weights,13,URLLC,24.297,2.446,0.615
psdas_fixed_weights,14,mMTC,332.766,0.199,7.978
psdas_fixed_weights,15,mMTC,286.637,1.57,6.522
psdas_fixed_weights,16,eMBB,133.298,5.04,5.528
psdas_fixed_weights,17,eMBB,115.717,6.499,4.46
psdas_fixed_weights,18,mMTC,330.427,0.253,8.013
psdas_fixed_weights,19,mMTC,332.731,0.142,8.033
psdas_fixed_weights,20,eMBB,116.064,5.034,4.425
psdas_fixed_weights,21,mMTC,289.478,7.173,6.493
psdas_fixed_weights,22,mMTC,330.02,0.024,8.096
psdas_fixed_weights,23,URLLC,23.54,1.585,0.688
psdas_fixed_weights,24,mMTC,332.835,0.152,8.147
psdas_fixed_weights,25,URLLC,30.318,6.317,0.925
psdas_fixed_weights,26,eMBB,114.652,9.661,4.365
psdas_fixed_weights,27,eMBB,132.566,0.164,5.475
psdas_fixed_weights,28,mMTC,330.579,0.219,8.1
psdas_fixed_weights,29,eMBB,114.86,9.809,4.429
psdas_fixed_weights,30,eMBB,87.159,6.013,2.893
psdas_fixed_weights,31,mMTC,288.385,8.437,6.553
psdas_fixed_weights,32,URLLC,31.799,4.979,0.839
psdas_fixed_weights,33,eMBB,115.92,8.79,4.405
psdas_fixed_weights,34,mMTC,331.49,0.059,8.009
psdas_fixed_weights,35,URLLC,37.02,8.387,1.196
psdas_fixed_weights,36,eMBB,135.057,0.258,5.356
psdas_fixed_weights,37,URLLC,31.111,0.018,0.878
psdas_fixed_weights,38,mMTC,289.521,4.979,6.521
psdas_fixed_weights,39,mMTC,285.995,0.04,6.389
psdas_fixed_weights,40,URLLC,30.231,3.345,0.949
psdas_fixed_weights,41,mMTC,286.195,5.36,6.525
psdas_fixed_weights,42,mMTC,288.089,6.088,6.467
psdas_fixed_weights,43,eMBB,114.975,6.181,4.352
psdas_fixed_weights,44,URLLC,22.549,2.167,0.513
psdas_fixed_weights,45,URLLC,29.685,0.182,0.956
psdas_fixed_weights,46,eMBB,114.894,9.325,4.415
psdas_fixed_weights,47,URLLC,24.211,2.045,0.513
psdas_fixed_weights,48,mMTC,330.128,0.168,8.135
psdas_fixed_weights,49,eMBB,117.679,4.628,4.436
psdas_fixed_weights,50,URLLC,34.562,0.242,1.155
psdas_fixed_weights,51,mMTC,287.224,0.259,6.481
psdas_fixed_weights,52,URLLC,23.462,1.923,0.652
psdas_fixed_weights,53,mMTC,329.274,0.016,8.15
psdas_fixed_weights,54,URLLC,36.303,0.207,1.017
psdas_fixed_weights,55,eMBB,134.889,3.443,5.448
psdas_fixed_weights,56,URLLC,29.919,6.07,0.991
psdas_fixed_weights,57,URLLC,34.756,0.172,1.037
psdas_fixed_weights,58,eMBB,134.928,0.043,5.476
psdas_fixed_weights,59,URLLC,30.809,0.13,0.817
psdas_fixed_weights,60,eMBB,88.556,12.543,2.84
psdas_fixed_weights,61,URLLC,36.318,0.09,1.124
psdas_fixed_weights,62,eMBB,117.577,6.066,4.358
psdas_fixed_weights,63,eMBB,134.523,10.964,5.474
psdas_fixed_weights,64,URLLC,30.05,5.875,0.952
psdas_fixed_weights,65,URLLC,34.141,2.678,1.088
psdas_fixed_weights,66,mMTC,331.562,0.203,7.978
psdas_fixed_weights,67,URLLC,31.303,4.945,0.942
psdas_fixed_weights,68,eMBB,133.248,8.146,5.445
psdas_fixed_weights,69,eMBB,114.52,0.156,4.296
psdas_fixed_weights,70,URLLC,34.099,0.03,1.133
psdas_fixed_weights,71,eMBB,114.546,9.127,4.296
psdas_fixed_weights,72,mMTC,286.989,5.686,6.529
psdas_fixed_weights,73,eMBB,134.959,0.091,5.36
psdas_fixed_weights,74,URLLC,29.966,9.4,0.905
psdas_fixed_weights,75,eMBB,87.01,9.753,2.924
psdas_fixed_weights,76,eMBB,133.731,2.732,5.407
psdas_fixed_weights,77,mMTC,330.15,0.081,8.011
psdas_fixed_weights,78,URLLC,29.359,2.925,0.845
psdas_fixed_weights,79,eMBB,117.463,3.041,4.454
psdas_fixed_weights,80,URLLC,22.439,2.295,0.609
psdas_fixed_weights,81,eMBB,114.96,0.157,4.416
psdas_fixed_weights,82,URLLC,23.703,2.317,0.632
psdas_fixed_weights,83,URLLC,24.405,0.915,0.559
psdas_fixed_weights,84,URLLC,23.76,4.737,0.67
psdas_fixed_weights,85,URLLC,29.526,2.433,0.818
psdas_fixed_weights,86,mMTC,329.039,0.062,8.01
psdas_fixed_weights,87,URLLC,22.21,1.493,0.655
psdas_fixed_weights,88,eMBB,117.02,4.094,4.347
psdas_fixed_weights,89,eMBB,115.427,0.042,4.292
psdas_fixed_weights,90,URLLC,22.257,1.258,0.497
psdas_fixed_weights,91,eMBB,118.108,9.937,4.393
psdas_fixed_weights,92,mMTC,332.124,0.096,8.087
psdas_fixed_weights,93,URLLC,31.803,4.464,0.89
psdas_fixed_weights,94,eMBB,114.925,7.503,4.367
psdas_fixed_weights,95,mMTC,330.05,0.035,8.061
psdas_fixed_weights,96,eMBB,135.402,0.03,5.402
psdas_fixed_weights,97,eMBB,133.197,0.219,5.449
psdas_fixed_weights,98,mMTC,330.985,3.495,7.992
psdas_fixed_weights,99,mMTC,286.476,0.253,6.495
psdas_fixed_weights,100,eMBB,117.447,12.093,4.407
psdas_fixed_weights,101,URLLC,36.614,0.135,1.041
psdas_fixed_weights,102,eMBB,116.8,0.287,4.266
psdas_fixed_weights,103,URLLC,22.079,0.323,0.68
psdas_fixed_weights,104,eMBB,116.096,2.276,4.284
psdas_fixed_weights,105,mMTC,288.389,8.256,6.448
psdas_fixed_weights,106,eMBB,115.859,3.589,4.368
psdas_fixed_weights,107,URLLC,36.905,0.028,1.092
psdas_fixed_weights,108,URLLC,34.41,6.395,1.158
psdas_fixed_weights,109,eMBB,116.622,6.514,4.286
psdas_fixed_weights,110,mMTC,330.118,0.165,8.144
psdas_fixed_weights,111,mMTC,285.879,3.062,6.433
psdas_fixed_weights,112,mMTC,329.021,0.083,8.101
psdas_fixed_weights,113,URLLC,31.452,5.207,0.88
psdas_fixed_weights,114,mMTC,330.883,0.138,7.964
psdas_fixed_weights,115,eMBB,115.512,5.909,4.372
psdas_fixed_weights,116,mMTC,329.151,0.13,8.08
psdas_fixed_weights,117,eMBB,133.275,0.126,5.45
psdas_fixed_weights,118,URLLC,22.986,2.526,0.617
psdas_fixed_weights,119,URLLC,23.513,2.385,0.639
psdas_fixed_weights,120,eMBB,134.792,9.02,5.409
psdas_fixed_weights,121,mMTC,332.845,5.215,8.148
psdas_fixed_weights,122,eMBB,116.431,8.315,4.447
psdas_fixed_weights,123,URLLC,31.801,9.172,0.995
