mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
psdas_no_debt,1,mMTC,200.572,0.559,4.304
psdas_no_debt,2,mMTC,199.438,0.343,4.286
psdas_no_debt,3,eMBB,51.735,25.025,1.456
psdas_no_debt,4,mMTC,199.579,0.532,4.294
psdas_no_debt,5,mMTC,172.865,5.55,3.433
psdas_no_debt,6,mMTC,199.943,0.672,4.221
psdas_no_debt,7,mMTC,199.522,0.045,4.148
psdas_no_debt,8,URLLC,10.834,3.37,0.19
psdas_no_debt,9,mMTC,173.972,0.053,3.457
psdas_no_debt,10,mMTC,172.175,0.371,3.485
psdas_no_debt,11,URLLC,20.285,0.185,0.557
psdas_no_debt,12,mMTC,198.795,0.05,4.338
psdas_no_debt,13,mMTC,174.827,0.481,3.423
psdas_no_debt,14,URLLC,13.975,6.519,0.183
psdas_no_debt,15,mMTC,198.939,0.518,4.311
psdas_no_debt,16,URLLC,15.68,3.61,0.48
psdas_no_debt,17,eMBB,78.652,11.662,2.893
psdas_no_debt,18,eMBB,68.393,17.67,2.192
psdas_no_debt,19,mMTC,201.867,0.514,4.213
psdas_no_debt,20,mMTC,199.834,0.362,4.305
psdas_no_debt,21,URLLC,17.838,14.551,0.439
psdas_no_debt,22,eMBB,67.987,16.814,2.275
psdas_no_debt,23,URLLC,18.603,0.061,0.593
psdas_no_debt,24,URLLC,14.04,4.843,0.352
psdas_no_debt,25,mMTC,199.432,0.353,4.27
psdas_no_debt,26,eMBB,67.252,16.696,2.244
psdas_no_debt,27,mMTC,198.891,0.657,4.269
psdas_no_debt,28,URLLC,18.192,0.221,0.533
psdas_no_debt,29,URLLC,10.871,0.816,0.333
psdas_no_debt,30,mMTC,198.927,23.331,4.293
psdas_no_debt,31,mMTC,200.687,0.403,4.342
psdas_no_debt,32,mMTC,200.913,0.621,4.184
psdas_no_debt,33,mMTC,199.69,0.372,4.285
psdas_no_debt,34,mMTC,200.626,0.252,4.189
psdas_no_debt,35,eMBB,70.32,18.241,2.321
psdas_no_debt,36,URLLC,19.858,0.165,0.402
psdas_no_debt,37,eMBB,79.391,23.319,2.777
psdas_no_debt,38,mMTC,201.824,0.582,4.31
psdas_no_debt,39,mMTC,172.201,0.051,3.333
psdas_no_debt,40,mMTC,173.249,10.9,3.45
psdas_no_debt,41,mMTC,172.401,0.082,3.469
psdas_no_debt,42,mMTC,174.295,0.142,3.411
psdas_no_debt,43,URLLC,14.803,15.822,0.389
psdas_no_debt,44,mMTC,199.08,0.284,4.165
psdas_no_debt,45,mMTC,198.799,0.103,4.301
psdas_no_debt,46,URLLC,17.141,0.185,0.547
psdas_no_debt,47,eMBB,53.002,6.254,1.386
psdas_no_debt,48,mMTC,173.168,0.477,3.471
psdas_no_debt,49,eMBB,70.278,19.685,2.315
psdas_no_debt,50,URLLC,11.252,6.479,0.306
psdas_no_debt,51,mMTC,199.526,0.45,4.27
psdas_no_debt,52,URLLC,18.52,0.259,0.556
psdas_no_debt,53,mMTC,198.41,0.218,4.331
psdas_no_debt,54,URLLC,16.831,13.018,0.3
psdas_no_debt,55,URLLC,13.321,5.711,0.266
psdas_no_debt,56,mMTC,199.033,0.039,4.336
psdas_no_debt,57,mMTC,199.226,0.578,4.162
psdas_no_debt,58,mMTC,201.252,0.145,4.27
psdas_no_debt,59,URLLC,12.097,5.407,0.187
psdas_no_debt,60,mMTC,174.302,0.275,3.396
psdas_no_debt,61,URLLC,16.846,15.649,0.407
psdas_no_debt,62,eMBB,70.176,12.778,2.237
psdas_no_debt,63,eMBB,53.016,27.204,1.49
psdas_no_debt,64,mMTC,199.164,0.228,4.297
psdas_no_debt,65,URLLC,14.669,14.163,0.371
psdas_no_debt,66,eMBB,79.864,25.091,2.713
psdas_no_debt,67,eMBB,69.247,16.662,2.286
psdas_no_debt,68,URLLC,18.049,7.985,0.492
psdas_no_debt,69,mMTC,198.289,0.506,4.176
psdas_no_debt,70,URLLC,14.627,14.076,0.416
psdas_no_debt,71,URLLC,16.793,18.911,0.428
psdas_no_debt,72,mMTC,173.194,0.385,3.474
psdas_no_debt,73,URLLC,19.76,0.09,0.406
psdas_no_debt,74,eMBB,67.91,23.855,2.249
psdas_no_debt,75,URLLC,14.827,14.277,0.481
psdas_no_debt,76,mMTC,200.055,0.193,4.202
psdas_no_debt,77,mMTC,199.286,0.635,4.191
psdas_no_debt,78,mMTC,198.473,0.516,4.19
psdas_no_debt,79,mMTC,175.136,0.464,3.49
psdas_no_debt,80,mMTC,172.868,0.59,3.417
psdas_no_debt,81,mMTC,198.729,0.691,4.296
psdas_no_debt,82,mMTC,174.2,0.138,3.439
psdas_no_debt,83,mMTC,174.941,7.608,3.366
psdas_no_debt,84,URLLC,12.509,7.119,0.346
psdas_no_debt,85,mMTC,172.544,0.339,3.319
psdas_no_debt,86,eMBB,50.482,6.344,1.412
psdas_no_debt,87,URLLC,10.959,2.804,0.332
psdas_no_debt,88,mMTC,174.693,0.229,3.382
