mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
psdas_no_debt,1,mMTC,341.592,0.215,8.42
psdas_no_debt,2,mMTC,340.458,0.13,8.402
psdas_no_debt,3,eMBB,90.556,10.328,2.944
psdas_no_debt,4,mMTC,340.6,0.21,8.41
psdas_no_debt,5,eMBB,118.956,2.03,4.566
psdas_no_debt,6,mMTC,340.963,0.269,8.337
psdas_no_debt,7,mMTC,340.542,0.018,8.264
psdas_no_debt,8,URLLC,20.481,1.423,0.467
psdas_no_debt,9,mMTC,296.599,0.02,6.75
psdas_no_debt,10,mMTC,294.801,0.15,6.778
psdas_no_debt,11,mMTC,342.828,0.065,8.421
psdas_no_debt,12,mMTC,339.815,0.02,8.454
psdas_no_debt,13,eMBB,138.927,7.778,5.684
psdas_no_debt,14,eMBB,121.897,2.967,4.447
psdas_no_debt,15,eMBB,136.943,10.032,5.727
psdas_no_debt,16,URLLC,32.72,5.182,1.108
psdas_no_debt,17,mMTC,296.017,6.043,6.788
psdas_no_debt,18,mMTC,340.584,0.228,8.309
psdas_no_debt,19,mMTC,342.887,0.142,8.329
psdas_no_debt,20,URLLC,28.605,5.194,0.889
psdas_no_debt,21,eMBB,121.774,6.168,4.57
psdas_no_debt,22,mMTC,340.177,0.022,8.392
psdas_no_debt,23,URLLC,21.936,1.798,0.642
psdas_no_debt,24,mMTC,342.991,0.136,8.443
psdas_no_debt,25,URLLC,28.204,7.327,0.854
psdas_no_debt,26,mMTC,339.442,0.237,8.361
psdas_no_debt,27,mMTC,339.911,0.083,8.385
psdas_no_debt,28,URLLC,21.547,0.33,0.582
psdas_no_debt,29,URLLC,31.728,10.815,1.095
psdas_no_debt,30,mMTC,339.947,0.145,8.409
psdas_no_debt,31,mMTC,341.707,0.238,8.458
psdas_no_debt,32,mMTC,341.933,0.149,8.3
psdas_no_debt,33,mMTC,340.71,0.106,8.401
psdas_no_debt,34,eMBB,120.62,6.9,4.478
psdas_no_debt,35,mMTC,342.51,0.055,8.438
psdas_no_debt,36,mMTC,342.401,9.487,8.266
psdas_no_debt,37,mMTC,341.246,0.225,8.339
psdas_no_debt,38,mMTC,298.354,0.02,6.758
psdas_no_debt,39,URLLC,27.069,5.302,0.762
psdas_no_debt,40,mMTC,295.875,0.031,6.743
psdas_no_debt,41,mMTC,295.028,0.055,6.762
psdas_no_debt,42,eMBB,120.385,5.638,4.544
psdas_no_debt,43,mMTC,339.765,0.105,8.348
psdas_no_debt,44,mMTC,340.1,0.038,8.281
psdas_no_debt,45,mMTC,339.819,0.066,8.417
psdas_no_debt,46,eMBB,89.766,2.614,3.005
psdas_no_debt,47,mMTC,297.363,0.198,6.613
