mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
psdas_no_debt,1,mMTC,246.008,0.442,5.63
psdas_no_debt,2,URLLC,22.619,0.293,0.71
psdas_no_debt,3,eMBB,64.098,20.345,1.93
psdas_no_debt,4,mMTC,245.016,0.417,5.62
psdas_no_debt,5,mMTC,212.375,4.448,4.494
psdas_no_debt,6,mMTC,245.38,0.542,5.548
psdas_no_debt,7,mMTC,244.959,0.035,5.475
psdas_no_debt,8,URLLC,13.938,2.744,0.279
psdas_no_debt,9,mMTC,213.482,0.042,4.518
psdas_no_debt,10,mMTC,211.685,0.3,4.546
psdas_no_debt,11,mMTC,247.244,0.138,5.631
psdas_no_debt,12,mMTC,244.232,0.04,5.664
psdas_no_debt,13,mMTC,214.337,0.391,4.484
psdas_no_debt,14,URLLC,17.079,5.283,0.272
psdas_no_debt,15,mMTC,244.375,0.417,5.637
psdas_no_debt,16,URLLC,19.771,2.931,0.617
psdas_no_debt,17,eMBB,97.39,9.168,3.805
psdas_no_debt,18,eMBB,84.687,14.267,2.921
psdas_no_debt,19,mMTC,247.304,0.403,5.539
psdas_no_debt,20,mMTC,245.27,0.284,5.631
psdas_no_debt,21,URLLC,21.929,11.724,0.576
psdas_no_debt,22,URLLC,19.306,14.26,0.571
psdas_no_debt,23,mMTC,245.562,0.045,5.667
psdas_no_debt,24,URLLC,17.144,3.947,0.441
psdas_no_debt,25,URLLC,22.614,0.301,0.694
psdas_no_debt,26,eMBB,83.545,13.138,2.973
psdas_no_debt,27,mMTC,244.327,0.527,5.595
psdas_no_debt,28,mMTC,245.152,0.165,5.607
psdas_no_debt,29,URLLC,13.975,0.667,0.423
psdas_no_debt,30,eMBB,96.83,18.428,3.759
psdas_no_debt,31,mMTC,246.124,0.324,5.669
psdas_no_debt,32,mMTC,246.349,0.5,5.51
psdas_no_debt,33,mMTC,245.127,0.3,5.611
psdas_no_debt,34,URLLC,23.808,0.215,0.613
psdas_no_debt,35,URLLC,21.638,15.384,0.617
psdas_no_debt,36,mMTC,246.818,0.125,5.476
psdas_no_debt,37,URLLC,23.407,19.845,0.647
psdas_no_debt,38,mMTC,247.26,0.466,5.636
psdas_no_debt,39,mMTC,211.711,0.041,4.394
psdas_no_debt,40,URLLC,19.494,9.34,0.589
psdas_no_debt,41,mMTC,211.911,0.066,4.53
psdas_no_debt,42,mMTC,213.805,0.113,4.472
psdas_no_debt,43,mMTC,212.159,11.754,4.449
psdas_no_debt,44,URLLC,22.262,0.243,0.589
psdas_no_debt,45,mMTC,244.235,0.083,5.627
psdas_no_debt,46,mMTC,244.101,0.14,5.621
psdas_no_debt,47,eMBB,65.365,5.034,1.86
psdas_no_debt,48,mMTC,212.678,0.377,4.532
psdas_no_debt,49,eMBB,86.572,15.503,3.044
psdas_no_debt,50,URLLC,14.356,5.322,0.395
psdas_no_debt,51,mMTC,244.963,0.358,5.596
psdas_no_debt,52,mMTC,245.479,0.194,5.63
psdas_no_debt,53,URLLC,21.592,0.186,0.754
psdas_no_debt,54,mMTC,214.187,9.807,4.359
psdas_no_debt,55,URLLC,16.425,4.624,0.356
psdas_no_debt,56,URLLC,22.215,0.033,0.76
psdas_no_debt,57,mMTC,244.663,0.465,5.489
psdas_no_debt,58,URLLC,24.434,0.124,0.694
psdas_no_debt,59,URLLC,15.201,4.369,0.276
psdas_no_debt,60,mMTC,213.812,0.223,4.457
psdas_no_debt,61,mMTC,214.202,11.708,4.466
psdas_no_debt,62,URLLC,21.495,10.969,0.532
psdas_no_debt,63,eMBB,65.379,22.024,1.963
psdas_no_debt,64,URLLC,22.345,0.193,0.721
psdas_no_debt,65,eMBB,83.735,10.795,2.942
psdas_no_debt,66,eMBB,98.602,19.764,3.624
psdas_no_debt,67,mMTC,213.831,13.312,4.503
psdas_no_debt,68,mMTC,245.009,6.053,5.566
psdas_no_debt,69,mMTC,243.726,0.401,5.502
psdas_no_debt,70,eMBB,83.692,10.542,2.987
psdas_no_debt,71,eMBB,96.218,14.028,3.641
psdas_no_debt,72,mMTC,212.704,0.308,4.534
psdas_no_debt,73,URLLC,24.465,0.073,0.578
psdas_no_debt,74,eMBB,84.204,18.996,2.978
psdas_no_debt,75,eMBB,83.893,10.685,3.052
psdas_no_debt,76,URLLC,23.237,0.164,0.625
psdas_no_debt,77,mMTC,244.723,0.508,5.517
psdas_no_debt,78,mMTC,243.91,0.407,5.516
psdas_no_debt,79,mMTC,214.647,0.37,4.551
psdas_no_debt,80,mMTC,212.378,0.468,4.478
psdas_no_debt,81,mMTC,244.166,0.556,5.622
psdas_no_debt,82,mMTC,213.71,0.11,4.5
psdas_no_debt,83,URLLC,21.186,6.506,0.505
psdas_no_debt,84,URLLC,15.613,5.821,0.435
psdas_no_debt,85,mMTC,212.054,0.271,4.38
psdas_no_debt,86,eMBB,62.845,5.039,1.886
psdas_no_debt,87,URLLC,14.063,2.286,0.421
psdas_no_debt,88,mMTC,214.203,0.181,4.443
psdas_no_debt,89,URLLC,19.346,6.105,0.467
psdas_no_debt,90,URLLC,21.954,0.141,0.573
psdas_no_debt,91,URLLC,17.055,3.457,0.387
psdas_no_debt,92,eMBB,86.384,9.006,2.996
psdas_no_debt,93,mMTC,214.331,0.076,4.452
psdas_no_debt,94,URLLC,14.036,3.034,0.36
psdas_no_debt,95,eMBB,84.31,21.696,2.969
psdas_no_debt,96,mMTC,247.163,0.182,5.522
psdas_no_debt,97,URLLC,14.82,2.314,0.356
psdas_no_debt,98,mMTC,245.558,0.316,5.498
psdas_no_debt,99,mMTC,212.191,0.037,4.5
psdas_no_debt,100,mMTC,214.63,0.327,4.504
psdas_no_debt,101,mMTC,214.498,0.353,4.384
psdas_no_debt,102,mMTC,213.984,13.943,4.363
psdas_no_debt,103,mMTC,211.998,0.446,4.549
psdas_no_debt,104,URLLC,15.147,1.543,0.277
psdas_no_debt,105,URLLC,15.93,4.822,0.35
psdas_no_debt,106,mMTC,245.065,0.282,5.574
psdas_no_debt,107,mMTC,214.789,0.501,4.435
psdas_no_debt,108,URLLC,14.212,0.782,0.397
psdas_no_debt,109,URLLC,20.54,5.114,0.461
psdas_no_debt,110,eMBB,84.379,16.573,3.052
psdas_no_debt,111,URLLC,21.363,0.116,0.646
psdas_no_debt,112,eMBB,62.827,9.223,1.977
psdas_no_debt,113,URLLC,15.811,4.766,0.339
psdas_no_debt,114,mMTC,245.456,0.427,5.471
psdas_no_debt,115,mMTC,212.695,0.198,4.468
psdas_no_debt,116,mMTC,243.724,0.334,5.587
psdas_no_debt,117,URLLC,22.781,0.065,0.668
psdas_no_debt,118,mMTC,212.955,0.099,4.485
psdas_no_debt,119,mMTC,213.51,11.454,4.508
psdas_no_debt,120,mMTC,246.553,0.031,5.53
psdas_no_debt,121,mMTC,247.419,0.366,5.654
psdas_no_debt,122,eMBB,85.324,17.024,3.054
psdas_no_debt,123,URLLC,24.097,0.152,0.763
psdas_no_debt,124,mMTC,246.81,0.487,5.514
psdas_no_debt,125,mMTC,214.975,0.39,4.533
psdas_no_debt,126,URLLC,22.92,0.294,0.625
psdas_no_debt,127,mMTC,243.571,0.444,5.558
psdas_no_debt,128,mMTC,246.337,0.367,5.627
psdas_no_debt,129,mMTC,246.548,0.378,5.658
psdas_no_debt,130,eMBB,96.393,19.803,3.751
psdas_no_debt,131,mMTC,212.776,0.124,4.485
psdas_no_debt,132,mMTC,245.781,0.3,5.655
psdas_no_debt,133,mMTC,247.084,0.357,5.508
psdas_no_debt,134,mMTC,211.936,0.291,4.553
psdas_no_debt,135,eMBB,97.279,4.628,3.664
psdas_no_debt,136,URLLC,22.102,9.733,0.623
psdas_no_debt,137,mMTC,243.644,0.407,5.66
psdas_no_debt,138,mMTC,245.637,15.383,5.57
psdas_no_debt,139,URLLC,19.364,2.51,0.593
psdas_no_debt,140,mMTC,214.362,0.112,4.433
psdas_no_debt,141,mMTC,244.948,0.458,5.562
psdas_no_debt,142,mMTC,245.739,0.313,5.491
psdas_no_debt,143,mMTC,213.231,0.184,4.556
psdas_no_debt,144,eMBB,84.202,4.634,2.99
psdas_no_debt,145,mMTC,243.973,0.359,5.522
psdas_no_debt,146,mMTC,215.142,7.713,4.533
psdas_no_debt,147,mMTC,212.957,0.33,4.546
psdas_no_debt,148,eMBB,98.173,18.092,3.743
psdas_no_debt,149,mMTC,246.172,0.285,5.595
psdas_no_debt,150,URLLC,19.499,15.764,0.572
psdas_no_debt,151,mMTC,211.729,0.432,4.498
psdas_no_debt,152,eMBB,97.446,13.646,3.683
psdas_no_debt,153,URLLC,16.581,1.393,0.257
psdas_no_debt,154,URLLC,25.18,0.19,0.69
psdas_no_debt,155,mMTC,212.727,0.319,4.532
psdas_no_debt,156,mMTC,213.167,0.27,4.364
psdas_no_debt,157,mMTC,245.943,0.398,5.594
psdas_no_debt,158,mMTC,245.791,0.346,5.609
psdas_no_debt,159,mMTC,213.62,0.03,4.491
psdas_no_debt,160,eMBB,84.522,21.474,2.927
psdas_no_debt,161,URLLC,18.327,2.924,0.599
psdas_no_debt,162,mMTC,247.244,0.385,5.533
psdas_no_debt,163,mMTC,246.733,0.115,5.64
psdas_no_debt,164,mMTC,214.515,0.205,4.362
psdas_no_debt,165,URLLC,21.783,0.259,0.723
psdas_no_debt,166,URLLC,22.791,15.04,0.608
psdas_no_debt,167,mMTC,214.086,12.894,4.506
psdas_no_debt,168,URLLC,21.942,17.213,0.536
