mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
psdas_no_debt,1,mMTC,333.051,0.217,8.171
psdas_no_debt,2,mMTC,331.917,0.136,8.153
psdas_no_debt,3,eMBB,90.46,10.365,2.94
psdas_no_debt,4,mMTC,332.058,0.21,8.161
psdas_no_debt,5,mMTC,288.064,2.336,6.527
psdas_no_debt,6,mMTC,332.422,0.294,8.088
psdas_no_debt,7,mMTC,332.001,0.018,8.015
psdas_no_debt,8,URLLC,20.432,1.433,0.466
psdas_no_debt,9,eMBB,119.936,2.232,4.584
psdas_no_debt,10,eMBB,118.139,4.3,4.612
psdas_no_debt,11,eMBB,92.651,4.721,3.011
psdas_no_debt,12,eMBB,118.662,7.558,4.621
psdas_no_debt,13,URLLC,22.644,3.104,0.568
psdas_no_debt,14,mMTC,334.381,0.195,8.026
psdas_no_debt,15,URLLC,27.646,1.569,0.893
psdas_no_debt,16,eMBB,137.48,4.483,5.732
psdas_no_debt,17,eMBB,119.354,6.043,4.622
psdas_no_debt,18,mMTC,332.042,0.249,8.06
psdas_no_debt,19,mMTC,334.346,0.142,8.08
psdas_no_debt,20,mMTC,288.936,5.143,6.554
psdas_no_debt,21,URLLC,30.488,7.171,0.863
psdas_no_debt,22,mMTC,331.636,0.023,8.143
psdas_no_debt,23,URLLC,21.887,1.812,0.641
psdas_no_debt,24,mMTC,334.45,0.149,8.194
psdas_no_debt,25,eMBB,119.3,6.33,4.553
psdas_no_debt,26,eMBB,118.289,9.62,4.528
psdas_no_debt,27,mMTC,331.37,0.167,8.136
psdas_no_debt,28,mMTC,332.194,0.215,8.147
psdas_no_debt,29,eMBB,118.497,8.813,4.592
psdas_no_debt,30,eMBB,89.919,5.407,2.999
psdas_no_debt,31,URLLC,29.394,8.434,0.924
psdas_no_debt,32,URLLC,29.62,6.441,0.766
psdas_no_debt,33,eMBB,119.557,7.923,4.568
psdas_no_debt,34,mMTC,333.105,0.058,8.056
psdas_no_debt,35,eMBB,139.348,8.387,5.731
psdas_no_debt,36,mMTC,333.86,0.262,8.017
psdas_no_debt,37,mMTC,289.328,0.022,6.472
psdas_no_debt,38,mMTC,290.926,4.902,6.559
psdas_no_debt,39,mMTC,287.4,0.039,6.427
psdas_no_debt,40,URLLC,28.052,3.857,0.876
psdas_no_debt,41,mMTC,287.6,5.271,6.563
psdas_no_debt,42,mMTC,289.494,5.984,6.504
psdas_no_debt,43,eMBB,118.612,6.08,4.515
psdas_no_debt,44,eMBB,90.065,2.433,2.871
psdas_no_debt,45,mMTC,287.902,0.225,6.55
psdas_no_debt,46,mMTC,287.767,9.488,6.544
psdas_no_debt,47,URLLC,22.558,2.634,0.465
psdas_no_debt,48,mMTC,331.743,0.168,8.182
psdas_no_debt,49,eMBB,121.315,4.57,4.599
psdas_no_debt,50,mMTC,331.511,0.301,8.148
psdas_no_debt,51,mMTC,288.629,0.255,6.519
psdas_no_debt,52,URLLC,21.809,2.481,0.604
psdas_no_debt,53,mMTC,330.889,0.016,8.197
psdas_no_debt,54,mMTC,333.252,0.224,8.009
psdas_no_debt,55,eMBB,139.071,3.373,5.651
psdas_no_debt,56,mMTC,288.136,6.502,6.585
