mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
dynamic,1,mMTC,91.579,0.385,1.084
dynamic,2,eMBB,75.533,5.754,2.697
dynamic,3,mMTC,104.205,0.567,1.396
dynamic,4,mMTC,102.715,0.409,1.453
dynamic,5,mMTC,88.103,0.718,1.096
dynamic,6,mMTC,103.164,0.152,1.34
dynamic,7,URLLC,12.132,4.437,0.3
dynamic,8,mMTC,89.779,0.748,1.175
dynamic,9,mMTC,104.462,0.69,1.376
dynamic,10,mMTC,90.173,0.125,1.061
dynamic,11,mMTC,102.17,0.304,1.476
dynamic,12,mMTC,105.068,0.85,1.476
dynamic,13,mMTC,102.92,0.387,1.378
dynamic,14,mMTC,104.953,0.424,1.45
dynamic,15,mMTC,91.615,0.606,1.189
dynamic,16,mMTC,91.463,0.881,1.141
dynamic,17,mMTC,104.78,0.127,1.422
dynamic,18,mMTC,104.68,0.127,1.5
dynamic,19,URLLC,13.556,3.502,0.235
dynamic,20,eMBB,66.875,7.514,2.11
dynamic,21,URLLC,12.919,28.408,0.336
dynamic,22,mMTC,90.74,0.616,1.239
dynamic,23,mMTC,103.601,0.96,1.364
dynamic,24,mMTC,103.314,0.715,1.407
dynamic,25,mMTC,91.607,0.63,1.222
dynamic,26,mMTC,102.391,0.64,1.372
dynamic,27,eMBB,75.052,7.239,2.757
dynamic,28,mMTC,104.542,0.446,1.445
dynamic,29,URLLC,13.649,4.271,0.314
dynamic,30,eMBB,65.12,13.736,2.23
dynamic,31,mMTC,88.86,0.344,1.114
dynamic,32,mMTC,91.882,11.3,1.146
dynamic,33,eMBB,67.6,23.309,2.056
dynamic,34,mMTC,102.125,0.746,1.524
dynamic,35,mMTC,105.061,0.939,1.493
dynamic,36,mMTC,102.946,0.82,1.394
dynamic,37,URLLC,19.532,8.965,0.422
dynamic,38,mMTC,91.694,0.946,1.166
dynamic,39,URLLC,11.667,7.2,0.215
dynamic,40,mMTC,89.118,0.106,1.056
dynamic,41,mMTC,104.9,0.6,1.358
dynamic,42,mMTC,101.608,0.168,1.36
dynamic,43,mMTC,103.271,0.123,1.457
dynamic,44,URLLC,19.44,6.603,0.387
dynamic,45,eMBB,67.042,14.248,2.139
dynamic,46,eMBB,67.155,23.492,2.228
dynamic,47,mMTC,102.579,0.093,1.435
dynamic,48,mMTC,89.903,0.627,1.131
dynamic,49,URLLC,12.838,11.195,0.3
dynamic,50,mMTC,102.77,0.475,1.39
dynamic,51,mMTC,102.373,0.202,1.531
dynamic,52,URLLC,18.382,4.097,0.37
dynamic,53,mMTC,103.567,0.916,1.493
dynamic,54,mMTC,104.855,0.515,1.418
dynamic,55,URLLC,13.096,1.079,0.287
dynamic,56,mMTC,101.925,0.32,1.357
dynamic,57,eMBB,67.472,8.111,2.206
dynamic,58,mMTC,88.123,0.64,1.202
dynamic,59,eMBB,66.507,13.771,2.089
dynamic,60,eMBB,78.295,22.533,2.659
dynamic,61,mMTC,103.66,0.577,1.451
dynamic,62,URLLC,15.065,14.105,0.307
dynamic,63,mMTC,91.307,0.629,1.135
dynamic,64,mMTC,104.183,0.386,1.43
dynamic,65,mMTC,102.489,0.07,1.533
dynamic,66,mMTC,91.116,0.79,1.165
dynamic,67,URLLC,18.185,4.426,0.521
dynamic,68,URLLC,15.087,5.848,0.273
dynamic,69,mMTC,105.203,0.259,1.528
dynamic,70,mMTC,90.908,0.253,1.061
dynamic,71,mMTC,103.444,0.908,1.377
dynamic,72,mMTC,105.362,0.716,1.336
dynamic,73,mMTC,105.22,0.396,1.391
dynamic,74,mMTC,104.743,0.277,1.489
dynamic,75,mMTC,103.662,0.467,1.461
dynamic,76,mMTC,101.853,0.149,1.517
dynamic,77,mMTC,101.982,0.27,1.438
dynamic,78,URLLC,12.569,11.113,0.233
dynamic,79,mMTC,101.748,0.338,1.386
dynamic,80,URLLC,18.041,5.722,0.531
