mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
static,1,mMTC,80.877,0.96,1.14
static,2,eMBB,130.823,2.806,6.292
static,3,mMTC,91.733,0.66,1.533
static,4,mMTC,81.158,0.514,1.234
static,5,eMBB,115.74,3.096,5.089
static,6,mMTC,94.072,0.434,1.564
static,7,mMTC,78.89,0.16,1.273
static,8,URLLC,4.047,1.57,0.061
static,9,mMTC,81.407,0.68,1.229
static,10,eMBB,130.562,6.611,6.299
static,11,mMTC,78.413,0.187,1.222
static,12,URLLC,7.448,5.219,0.036
static,13,URLLC,5.358,6.21,0.037
static,14,eMBB,132.471,5.618,6.278
static,15,mMTC,79.366,0.78,1.209
static,16,eMBB,129.882,9.932,6.208
static,17,mMTC,78.596,0.239,1.262
static,18,mMTC,81.799,0.517,1.196
static,19,URLLC,7.936,5.493,0.025
static,20,mMTC,81.835,0.28,1.26
static,21,mMTC,93.22,0.29,1.519
static,22,mMTC,90.508,0.84,1.612
static,23,mMTC,79.664,0.43,1.23
static,24,eMBB,132.869,11.144,6.21
static,25,mMTC,91.413,0.06,1.501
static,26,mMTC,91.054,0.21,1.566
static,27,mMTC,92.639,0.428,1.571
static,28,mMTC,80.902,0.589,1.152
static,29,mMTC,78.825,0.125,1.209
static,30,mMTC,90.559,0.39,1.505
static,31,mMTC,91.388,0.707,1.54
static,32,mMTC,81.202,0.069,1.218
static,33,mMTC,90.296,0.586,1.435
static,34,mMTC,78.664,0.97,1.147
static,35,eMBB,112.423,4.909,4.931
static,36,URLLC,7.256,7.529,0.087
static,37,mMTC,91.091,0.22,1.592
static,38,mMTC,91.603,0.127,1.461
static,39,mMTC,80.633,0.497,1.21
static,40,mMTC,91.6,0.6,1.456
static,41,mMTC,91.17,0.452,1.612
static,42,eMBB,114.891,7.058,4.918
static,43,mMTC,92.109,0.24,1.435
static,44,mMTC,93.65,0.716,1.482
static,45,eMBB,113.001,2.751,5.082
static,46,mMTC,90.801,0.946,1.598
static,47,mMTC,79.539,0.695,1.227
static,48,mMTC,94.002,0.532,1.582
static,49,eMBB,130.492,2.738,6.329
static,50,eMBB,114.439,11.306,5.024
static,51,mMTC,93.786,0.57,1.607
static,52,mMTC,93.93,0.94,1.612
static,53,mMTC,92.056,0.633,1.483
static,54,eMBB,114.047,4.49,5.062
static,55,mMTC,90.425,0.956,1.456
static,56,mMTC,94.086,0.319,1.563
static,57,eMBB,115.376,7.995,5.071
static,58,eMBB,114.578,7.814,5.018
static,59,mMTC,92.48,0.55,1.56
static,60,mMTC,93.834,0.118,1.539
static,61,mMTC,78.278,0.437,1.242
static,62,eMBB,132.399,5.417,6.209
static,63,mMTC,93.073,0.301,1.559
static,64,mMTC,93.773,0.39,1.444
static,65,eMBB,132.962,9.882,6.345
static,66,mMTC,93.63,0.84,1.56
static,67,eMBB,113.234,10.082,5.115
static,68,eMBB,130.784,11.718,6.239
static,69,mMTC,92.819,0.619,1.549
static,70,mMTC,92.546,0.485,1.448
static,71,URLLC,7.613,9.034,0.212
static,72,eMBB,115.959,10.063,4.996
static,73,mMTC,91.836,0.885,1.551
static,74,eMBB,130.929,5.415,6.229
static,75,eMBB,114.206,7.041,5.015
static,76,mMTC,91.73,0.354,1.607
static,77,mMTC,80.974,0.74,1.261
static,78,mMTC,94.041,0.285,1.595
static,79,mMTC,80.061,0.78,1.21
static,80,mMTC,80.163,0.33,1.224
static,81,eMBB,90.376,3.696,3.307
static,82,mMTC,91.493,0.729,1.539
static,83,mMTC,90.674,0.359,1.612
static,84,eMBB,130.723,6.88,6.324
static,85,URLLC,7.145,9.38,0.16
static,86,mMTC,80.66,0.44,1.191
static,87,eMBB,113.112,3.016,4.982
static,88,eMBB,113.303,6.219,5.066
static,89,eMBB,129.375,9.839,6.261
static,90,mMTC,93.155,0.393,1.573
static,91,mMTC,93.998,0.34,1.503
static,92,mMTC,91.579,0.17,1.569
static,93,mMTC,92.328,0.97,1.591
static,94,URLLC,4.004,3.494,0.041
static,95,mMTC,92.065,0.78,1.534
static,96,eMBB,114.913,3.708,4.95
static,97,mMTC,79.481,0.95,1.176
static,98,eMBB,115.224,8.638,5.037
static,99,mMTC,92.083,0.229,1.585
static,100,mMTC,93.034,0.97,1.452
static,101,eMBB,131.803,11.442,6.222
