mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
dynamic,1,URLLC,13.288,5.848,0.281
dynamic,2,mMTC,118.807,0.045,1.902
dynamic,3,mMTC,120.481,0.721,1.882
dynamic,4,eMBB,71.007,11.136,2.355
dynamic,5,mMTC,120.852,0.527,1.822
dynamic,6,mMTC,120.173,0.54,1.968
dynamic,7,mMTC,120.682,0.709,1.914
dynamic,8,URLLC,11.895,2.961,0.36
dynamic,9,URLLC,13.182,6.085,0.217
dynamic,10,mMTC,119.686,0.212,1.95
dynamic,11,mMTC,121.122,0.869,1.947
dynamic,12,mMTC,117.903,0.594,1.815
dynamic,13,URLLC,13.085,6.585,0.377
dynamic,14,mMTC,119.14,27.713,1.939
dynamic,15,mMTC,118.769,0.356,1.855
dynamic,16,mMTC,103.612,0.574,1.515
dynamic,17,URLLC,13.639,4.057,0.369
dynamic,18,eMBB,69.864,12.691,2.242
dynamic,19,mMTC,120.357,0.232,1.821
dynamic,20,eMBB,67.36,5.512,2.266
dynamic,21,mMTC,119.074,0.796,1.981
dynamic,22,mMTC,118.329,0.378,1.972
dynamic,23,mMTC,103.554,0.942,1.456
dynamic,24,mMTC,120.495,0.7,1.91
dynamic,25,URLLC,17.751,2.134,0.534
dynamic,26,URLLC,17.184,4.838,0.497
dynamic,27,mMTC,120.533,0.752,1.934
dynamic,28,eMBB,69.114,15.181,2.331
dynamic,29,mMTC,104.555,0.71,1.606
dynamic,30,mMTC,104.164,0.712,1.619
dynamic,31,mMTC,120.189,0.152,1.983
dynamic,32,mMTC,118.542,0.263,1.854
dynamic,33,URLLC,12.476,2.448,0.342
dynamic,34,URLLC,12.685,4.545,0.365
dynamic,35,mMTC,103.092,0.484,1.469
dynamic,36,mMTC,118.554,0.322,1.87
dynamic,37,mMTC,118.392,0.6,1.871
dynamic,38,URLLC,12.764,2.969,0.392
dynamic,39,mMTC,120.513,0.378,1.868
dynamic,40,URLLC,15.099,6.452,0.366
dynamic,41,mMTC,104.624,0.454,1.496
dynamic,42,mMTC,106.026,0.731,1.566
dynamic,43,mMTC,121.194,18.46,1.901
dynamic,44,mMTC,119.703,0.218,1.953
dynamic,45,eMBB,78.19,14.046,2.795
dynamic,46,mMTC,104.945,0.456,1.478
dynamic,47,mMTC,119.651,0.171,1.86
dynamic,48,eMBB,70.644,8.766,2.233
dynamic,49,mMTC,120.78,0.583,1.923
dynamic,50,URLLC,12.717,4.913,0.397
dynamic,51,mMTC,104.412,0.765,1.479
dynamic,52,eMBB,80.066,25.486,2.753
dynamic,53,mMTC,120.876,0.669,1.973
dynamic,54,mMTC,118.571,0.853,1.857
dynamic,55,mMTC,118.897,0.735,1.857
dynamic,56,mMTC,104.709,0.684,1.589
dynamic,57,URLLC,11.826,7.018,0.278
dynamic,58,URLLC,18.713,1.212,0.46
dynamic,59,mMTC,121.535,0.902,1.876
dynamic,60,URLLC,13.358,0.955,0.303
dynamic,61,URLLC,11.894,4.921,0.241
dynamic,62,mMTC,120.633,0.196,1.964
dynamic,63,mMTC,120.907,0.878,1.902
dynamic,64,URLLC,12.254,5.317,0.38
dynamic,65,mMTC,102.857,0.676,1.619
dynamic,66,eMBB,67.882,15.316,2.337
dynamic,67,mMTC,102.99,0.509,1.431
dynamic,68,URLLC,18.044,8.722,0.459
dynamic,69,eMBB,69.04,13.541,2.274
dynamic,70,eMBB,70.956,26.656,2.159
dynamic,71,mMTC,119.073,0.248,1.871
dynamic,72,URLLC,14.705,4.175,0.298
dynamic,73,mMTC,121.054,0.362,1.83
dynamic,74,mMTC,119.828,0.891,1.927
dynamic,75,eMBB,79.643,20.081,2.902
dynamic,76,mMTC,117.978,0.624,1.809
dynamic,77,mMTC,121.416,0.56,1.832
dynamic,78,mMTC,118.554,0.08,1.829
dynamic,79,mMTC,104.113,0.687,1.426
dynamic,80,mMTC,120.904,0.072,1.799
dynamic,81,URLLC,12.952,2.081,0.206
dynamic,82,URLLC,12.076,2.652,0.249
dynamic,83,eMBB,71.077,25.455,2.354
dynamic,84,mMTC,119.514,0.145,1.809
dynamic,85,mMTC,118.578,0.83,1.993
dynamic,86,eMBB,68.902,20.686,2.256
dynamic,87,mMTC,118.645,0.216,1.837
dynamic,88,eMBB,68.944,21.948,2.332
dynamic,89,mMTC,120.892,0.714,1.939
dynamic,90,URLLC,12.138,5.089,0.219
dynamic,91,eMBB,68.779,7.759,2.272
dynamic,92,mMTC,118.675,0.141,1.89
dynamic,93,mMTC,120.695,0.882,1.96
dynamic,94,mMTC,104.715,0.776,1.563
dynamic,95,mMTC,103.694,0.056,1.519
dynamic,96,mMTC,104.56,0.79,1.434
dynamic,97,URLLC,16.69,12.131,0.479
dynamic,98,mMTC,117.779,0.867,1.804
dynamic,99,eMBB,67.481,18.979,2.293
dynamic,100,mMTC,119.525,0.158,1.816
dynamic,101,mMTC,120.707,0.453,1.99
dynamic,102,eMBB,71.128,27.087,2.244
dynamic,103,mMTC,119.959,0.571,1.886
dynamic,104,URLLC,12.07,4.117,0.37
dynamic,105,URLLC,19.463,3.524,0.481
