mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
static,1,mMTC,85.535,0.556,1.482
static,2,eMBB,99.146,7.005,3.591
static,3,mMTC,75.685,0.818,1.127
static,4,mMTC,86.348,1.0,1.504
static,5,URLLC,8.059,5.228,0.223
static,6,mMTC,86.69,0.643,1.571
static,7,eMBB,122.349,7.93,5.492
static,8,eMBB,121.646,6.73,5.467
static,9,URLLC,8.66,4.895,0.19
static,10,URLLC,10.582,6.892,0.125
static,11,mMTC,86.232,0.806,1.598
static,12,URLLC,5.41,8.223,0.195
static,13,mMTC,86.898,0.26,1.479
static,14,mMTC,75.028,0.65,1.268
static,15,eMBB,121.894,5.088,5.393
static,16,eMBB,140.111,9.232,6.853
static,17,URLLC,8.085,9.756,0.197
static,18,mMTC,86.35,0.847,1.605
static,19,URLLC,7.073,6.069,0.148
static,20,mMTC,86.397,0.84,1.463
static,21,mMTC,87.208,0.107,1.536
static,22,URLLC,7.617,1.683,0.213
static,23,mMTC,76.821,0.19,1.204
static,24,eMBB,96.749,9.135,3.577
static,25,eMBB,122.803,2.496,5.376
static,26,URLLC,8.982,9.37,0.138
static,27,URLLC,5.309,3.677,0.198
static,28,eMBB,121.2,2.25,5.431
static,29,eMBB,98.652,3.25,3.485
static,30,URLLC,7.505,3.688,0.215
static,31,URLLC,6.782,4.37,0.129
static,32,eMBB,123.701,7.15,5.357
static,33,eMBB,123.159,9.525,5.496
static,34,eMBB,140.524,3.9,6.736
static,35,eMBB,96.976,6.388,3.481
static,36,mMTC,73.205,0.59,1.289
static,37,eMBB,97.484,7.058,3.471
static,38,eMBB,123.877,5.73,5.348
static,39,eMBB,95.591,7.905,3.458
static,40,mMTC,84.386,0.69,1.446
static,41,mMTC,85.72,0.47,1.609
static,42,mMTC,75.488,0.393,1.127
static,43,mMTC,73.453,0.62,1.188
static,44,mMTC,75.506,0.778,1.212
static,45,eMBB,121.799,7.883,5.397
static,46,URLLC,5.725,2.977,0.189
static,47,mMTC,73.603,0.693,1.248
static,48,mMTC,86.909,0.357,1.562
static,49,mMTC,74.977,0.86,1.123
static,50,mMTC,84.924,0.67,1.55
static,51,mMTC,76.419,0.256,1.315
static,52,eMBB,139.88,3.678,6.684
static,53,mMTC,86.268,0.307,1.522
static,54,eMBB,123.594,8.45,5.448
static,55,mMTC,75.451,0.8,1.295
static,56,mMTC,85.409,0.439,1.471
static,57,mMTC,75.51,0.908,1.174
static,58,mMTC,84.481,0.924,1.565
static,59,URLLC,9.302,4.718,0.178
static,60,URLLC,5.224,3.0,0.028
static,61,URLLC,5.869,6.568,0.125
static,62,mMTC,76.329,0.358,1.192
static,63,mMTC,74.724,0.586,1.271
static,64,URLLC,8.012,1.405,0.273
static,65,eMBB,141.838,9.39,6.716
static,66,eMBB,120.33,2.105,5.502
static,67,mMTC,87.125,0.68,1.466
static,68,mMTC,84.726,0.94,1.57
static,69,mMTC,86.972,0.29,1.499
static,70,mMTC,86.807,0.788,1.568
static,71,mMTC,86.211,0.56,1.608
static,72,mMTC,85.637,0.783,1.607
static,73,URLLC,8.065,8.088,0.067
static,74,eMBB,98.163,8.9,3.539
static,75,mMTC,84.621,0.31,1.458
static,76,mMTC,85.722,0.5,1.58
static,77,mMTC,75.988,0.1,1.146
static,78,mMTC,86.816,0.11,1.558
static,79,URLLC,5.157,1.718,0.067
static,80,mMTC,84.246,0.35,1.599
static,81,eMBB,121.562,7.17,5.443
static,82,mMTC,84.299,0.17,1.565
static,83,eMBB,99.262,5.043,3.493
static,84,mMTC,84.751,0.399,1.555
static,85,URLLC,7.652,4.174,0.107
static,86,eMBB,123.545,5.452,5.367
static,87,eMBB,122.598,5.365,5.364
static,88,mMTC,84.997,0.56,1.567
static,89,mMTC,87.857,0.442,1.448
static,90,URLLC,7.34,9.317,0.138
static,91,URLLC,7.187,7.665,0.201
static,92,mMTC,85.447,0.165,1.556
static,93,eMBB,120.872,9.479,5.493
static,94,eMBB,120.593,6.51,5.372
static,95,mMTC,87.227,0.19,1.533
static,96,mMTC,73.087,0.136,1.176
static,97,URLLC,8.959,2.465,0.186
static,98,URLLC,9.207,2.042,0.238
static,99,eMBB,122.066,8.69,5.4
static,100,URLLC,5.756,1.314,0.059
static,101,eMBB,123.185,7.723,5.518
static,102,URLLC,6.725,1.434,0.133
static,103,eMBB,122.551,9.259,5.345
static,104,mMTC,87.217,0.64,1.529
static,105,mMTC,87.505,0.4,1.618
static,106,mMTC,76.044,0.45,1.232
static,107,eMBB,120.408,9.785,5.504
static,108,mMTC,86.609,0.706,1.504
static,109,eMBB,121.509,6.138,5.383
static,110,URLLC,5.225,2.239,0.117
static,111,eMBB,121.232,9.82,5.33
static,112,eMBB,123.361,3.658,5.485
static,113,eMBB,121.353,4.52,5.461
static,114,URLLC,5.759,3.501,0.191
static,115,mMTC,87.705,0.86,1.527
static,116,mMTC,74.753,0.252,1.268
static,117,mMTC,73.412,0.41,1.25
static,118,mMTC,86.014,0.354,1.513
static,119,mMTC,85.67,0.99,1.425
static,120,eMBB,140.468,6.035,6.806
static,121,eMBB,140.209,5.85,6.743
static,122,mMTC,85.022,0.75,1.47
static,123,mMTC,76.629,0.269,1.178
static,124,eMBB,138.84,7.402,6.785
static,125,mMTC,75.997,0.23,1.165
static,126,mMTC,87.578,0.709,1.497
static,127,URLLC,10.645,3.226,0.199
static,128,mMTC,86.941,0.434,1.611
static,129,mMTC,86.729,0.14,1.502
static,130,mMTC,85.458,0.38,1.613
static,131,eMBB,120.683,2.055,5.459
static,132,mMTC,86.2,0.25,1.556
static,133,URLLC,6.064,4.178,0.085
static,134,mMTC,86.203,0.309,1.607
static,135,mMTC,86.027,0.89,1.432
static,136,mMTC,85.738,0.94,1.523
static,137,eMBB,123.438,8.057,5.481
static,138,eMBB,139.704,8.447,6.703
static,139,URLLC,7.943,6.763,0.116
static,140,mMTC,84.324,0.501,1.47
static,141,eMBB,122.575,7.428,5.366
static,142,eMBB,138.482,7.048,6.782
static,143,eMBB,123.096,2.985,5.512
static,144,mMTC,84.389,0.71,1.493
static,145,eMBB,120.232,7.572,5.509
static,146,mMTC,87.271,0.12,1.616
static,147,eMBB,122.653,6.345,5.498
static,148,mMTC,86.908,0.41,1.605
static,149,mMTC,73.02,0.509,1.25
static,150,eMBB,120.07,4.832,5.401
static,151,eMBB,141.358,8.172,6.814
static,152,mMTC,73.921,0.31,1.252
static,153,mMTC,86.993,0.79,1.596
static,154,mMTC,87.534,0.228,1.584
static,155,eMBB,121.353,8.525,5.398
static,156,mMTC,73.69,0.415,1.223
static,157,eMBB,123.695,6.548,5.367
static,158,URLLC,7.629,1.268,0.262
static,159,URLLC,5.889,8.798,0.027
static,160,eMBB,138.851,6.665,6.769
static,161,eMBB,122.58,4.395,5.484
static,162,eMBB,96.754,7.815,3.499
static,163,eMBB,123.159,7.295,5.501
static,164,mMTC,85.408,0.227,1.594
static,165,mMTC,84.572,0.516,1.574
static,166,mMTC,85.798,0.586,1.512
static,167,URLLC,5.212,2.111,0.117
static,168,eMBB,122.329,2.405,5.497
static,169,mMTC,85.056,0.557,1.53
static,170,mMTC,84.511,0.88,1.578
static,171,mMTC,87.833,0.857,1.533
static,172,URLLC,7.185,7.035,0.071
static,173,mMTC,84.199,0.82,1.47
static,174,URLLC,7.547,4.573,0.045
static,175,mMTC,73.876,0.144,1.267
static,176,mMTC,74.339,0.24,1.219
static,177,mMTC,84.802,0.71,1.616
static,178,mMTC,75.347,0.67,1.248
static,179,mMTC,84.67,0.77,1.6
static,180,mMTC,85.314,0.878,1.435
