scenario,algorithm,seed,num_devices,overall_sla_violation_count,overall_sla_violation_rate_pct,fairness_index,utility_score,mmtc_avg_latency_ms,mmtc_p95_latency_ms,mmtc_p99_latency_ms,mmtc_avg_throughput_mbps,mmtc_avg_packet_loss_pct,mmtc_sla_violation_rate_pct,mmtc_load_ratio,embb_avg_latency_ms,embb_p95_latency_ms,embb_p99_latency_ms,embb_avg_throughput_mbps,embb_avg_packet_loss_pct,embb_sla_violation_rate_pct,embb_load_ratio,urllc_avg_latency_ms,urllc_p95_latency_ms,urllc_p99_latency_ms,urllc_avg_throughput_mbps,urllc_avg_packet_loss_pct,urllc_sla_violation_rate_pct,urllc_load_ratio
balanced,static,1,180,147,81.667,0.609,0.2427,88.616,94.104,94.394,0.503,1.437,86.916,0.678,112.629,127.199,128.093,7.387,4.995,100.0,2.064,6.523,8.348,8.399,5.891,0.14,0.0,0.682
balanced,static,2,180,143,79.444,0.5976,0.2735,87.969,93.421,93.722,0.525,1.423,87.5,0.664,95.919,108.736,109.272,11.151,4.078,100.0,1.815,7.359,9.499,9.785,6.183,0.157,0.0,0.741
balanced,static,3,180,131,72.778,0.5556,0.2245,82.932,88.508,88.733,0.521,1.426,65.741,0.57,126.943,147.641,147.76,6.351,5.674,100.0,2.308,5.833,7.65,7.977,5.632,0.136,0.0,0.438
balanced,static,4,180,125,69.444,0.6314,0.2541,86.001,91.988,92.335,0.536,1.405,69.903,0.639,110.752,127.827,128.804,8.007,4.828,100.0,2.071,7.063,8.529,9.762,5.439,0.157,4.0,0.708
balanced,static,5,180,115,63.889,0.599,0.2538,82.679,88.77,89.002,0.541,1.403,59.259,0.574,110.868,128.599,128.956,8.447,4.836,100.0,2.071,6.061,7.726,8.908,5.375,0.122,0.0,0.564
balanced,static,6,180,147,81.667,0.5933,0.2177,87.842,94.078,94.281,0.468,1.412,85.567,0.673,140.922,160.93,161.548,6.052,6.442,100.0,2.486,6.661,8.961,8.98,5.617,0.128,0.0,0.697
balanced,static,7,180,140,77.778,0.5313,0.2629,87.301,94.1,94.205,0.51,1.401,79.508,0.672,98.611,112.774,113.85,11.338,4.188,100.0,1.877,6.013,7.618,8.155,5.24,0.125,0.0,0.547
balanced,static,8,180,150,83.333,0.5705,0.2319,88.509,94.016,94.106,0.513,1.433,85.088,0.672,118.771,132.63,132.983,7.156,5.344,100.0,2.121,6.342,8.41,8.978,5.644,0.099,0.0,0.549
balanced,static,9,180,154,85.556,0.5858,0.2679,90.397,95.669,95.86,0.511,1.426,96.364,0.704,95.027,112.561,113.456,9.988,3.928,100.0,1.876,7.001,9.038,9.801,5.279,0.126,4.348,0.726
balanced,static,10,180,160,88.889,0.6166,0.2355,89.879,95.679,95.824,0.519,1.421,98.198,0.704,117.317,134.681,136.038,6.863,5.189,100.0,2.161,6.393,8.05,8.101,5.01,0.143,0.0,0.632
