mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
dynamic,1,eMBB,134.725,8.575,5.172
dynamic,2,mMTC,313.221,0.209,7.576
dynamic,3,URLLC,34.935,4.985,0.99
dynamic,4,URLLC,35.929,7.838,1.104
dynamic,5,eMBB,156.129,3.545,6.406
dynamic,6,mMTC,314.587,0.28,7.642
dynamic,7,URLLC,26.846,4.685,0.677
dynamic,8,mMTC,271.636,12.805,6.123
dynamic,9,mMTC,272.993,0.248,5.98
dynamic,10,URLLC,25.902,1.575,0.714
dynamic,11,mMTC,315.536,6.447,7.621
dynamic,12,URLLC,37.48,7.157,1.169
dynamic,13,URLLC,25.676,0.315,0.739
dynamic,14,eMBB,134.203,4.435,5.231
dynamic,15,eMBB,133.832,6.202,5.147
dynamic,16,mMTC,313.638,0.081,7.565
dynamic,17,mMTC,314.446,0.083,7.642
dynamic,18,URLLC,34.786,2.1,0.991
dynamic,19,mMTC,314.771,0.314,7.495
dynamic,20,mMTC,312.241,0.119,7.581
dynamic,21,mMTC,272.517,0.311,6.145
dynamic,22,eMBB,153.606,7.97,6.556
dynamic,23,mMTC,313.58,0.331,7.505
dynamic,24,URLLC,40.072,9.115,1.264
dynamic,25,URLLC,34.345,6.133,1.091
dynamic,26,eMBB,134.387,2.688,5.238
dynamic,27,eMBB,135.596,8.273,5.226
dynamic,28,mMTC,313.996,0.178,7.646
dynamic,29,mMTC,314.581,0.158,7.656
dynamic,30,mMTC,314.19,0.131,7.668
dynamic,31,eMBB,135.251,4.143,5.275
dynamic,32,mMTC,271.985,0.141,6.019
dynamic,33,URLLC,38.383,4.588,1.294
dynamic,34,URLLC,25.276,1.095,0.727
dynamic,35,mMTC,313.119,0.156,7.519
dynamic,36,eMBB,133.617,9.492,5.163
dynamic,37,URLLC,24.675,2.458,0.635
dynamic,38,mMTC,272.552,3.716,6.154
dynamic,39,URLLC,26.686,2.17,0.632
dynamic,40,mMTC,315.985,0.292,7.639
dynamic,41,mMTC,273.679,11.961,6.035
dynamic,42,eMBB,136.702,2.8,5.234
dynamic,43,eMBB,136.257,6.853,5.193
dynamic,44,mMTC,314.117,0.055,7.628
dynamic,45,eMBB,133.336,9.197,5.169
dynamic,46,mMTC,274.001,0.276,6.018
dynamic,47,eMBB,154.928,9.29,6.444
dynamic,48,eMBB,136.174,7.55,5.166
dynamic,49,URLLC,26.939,2.295,0.687
dynamic,50,eMBB,134.124,5.577,5.288
dynamic,51,mMTC,314.439,0.248,7.529
dynamic,52,mMTC,273.592,0.338,5.999
