mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
static,1,mMTC,80.799,0.556,1.482
static,2,eMBB,174.045,7.005,6.813
static,3,mMTC,71.566,0.818,1.127
static,4,mMTC,81.612,1.0,1.504
static,5,eMBB,216.496,5.81,10.479
static,6,eMBB,216.155,8.945,10.432
static,7,eMBB,215.972,2.513,10.448
static,8,mMTC,81.068,0.08,1.562
static,9,eMBB,217.096,7.75,10.447
static,10,URLLC,8.731,4.395,0.114
static,11,eMBB,215.697,9.485,10.46
static,12,mMTC,79.645,0.25,1.591
static,13,eMBB,216.363,7.013,10.341
static,14,eMBB,215.726,4.808,10.43
static,15,URLLC,7.016,6.936,0.138
static,16,eMBB,215.44,9.928,10.459
static,17,eMBB,216.522,9.717,10.454
static,18,eMBB,215.815,3.69,10.467
static,19,mMTC,81.309,0.11,1.543
static,20,URLLC,7.361,1.8,0.113
static,21,eMBB,249.011,3.205,12.988
static,22,eMBB,214.267,2.353,10.413
static,23,eMBB,249.856,4.647,12.956
static,24,eMBB,214.764,9.988,10.426
static,25,eMBB,216.426,2.25,10.333
static,26,eMBB,174.302,3.25,6.768
static,27,eMBB,246.084,4.51,13.046
static,28,eMBB,214.824,5.683,10.387
static,29,eMBB,249.005,6.475,12.924
static,30,eMBB,214.155,5.45,10.415
static,31,mMTC,81.017,0.98,1.525
static,32,eMBB,217.324,2.092,10.313
static,33,mMTC,82.581,0.62,1.591
static,34,mMTC,81.652,0.631,1.48
static,35,eMBB,214.991,4.82,10.33
static,36,mMTC,79.701,0.108,1.589
static,37,URLLC,5.582,3.218,0.055
static,38,eMBB,217.5,4.56,10.304
static,39,eMBB,213.607,6.765,10.306
static,40,eMBB,213.851,2.215,10.308
static,41,mMTC,80.984,0.255,1.609
static,42,mMTC,81.985,0.226,1.427
static,43,eMBB,214.151,2.815,10.349
static,44,eMBB,216.204,5.508,10.374
static,45,mMTC,81.221,0.662,1.492
static,46,eMBB,214.162,3.8,10.446
static,47,mMTC,80.1,0.8,1.548
static,48,mMTC,82.173,0.299,1.562
static,49,eMBB,215.675,8.45,10.285
static,50,mMTC,69.573,0.8,1.25
static,51,mMTC,82.916,0.444,1.615
static,52,eMBB,215.209,9.365,10.289
static,53,URLLC,7.232,8.826,0.172
static,54,eMBB,217.217,9.602,10.405
static,55,eMBB,216.149,8.693,10.457
static,56,mMTC,70.057,0.361,1.171
static,57,mMTC,71.392,0.602,1.174
static,58,eMBB,213.946,2.36,10.426
static,59,URLLC,7.452,9.062,0.167
static,60,eMBB,213.661,2.105,10.285
static,61,mMTC,80.104,0.667,1.521
static,62,eMBB,217.027,9.512,10.354
static,63,mMTC,81.221,0.835,1.571
static,64,eMBB,214.662,4.815,10.473
static,65,eMBB,249.505,3.37,12.912
static,66,eMBB,170.836,8.588,6.832
static,67,eMBB,173.473,8.9,6.701
static,68,mMTC,79.99,0.31,1.57
static,69,eMBB,216.437,5.782,10.361
static,70,mMTC,71.456,0.17,1.268
static,71,mMTC,81.474,0.98,1.608
static,72,mMTC,70.286,0.519,1.307
static,73,mMTC,82.301,0.38,1.463
static,74,eMBB,216.178,4.888,10.388
static,75,mMTC,79.885,0.58,1.458
static,76,eMBB,215.187,2.64,10.442
static,77,eMBB,249.023,8.26,12.898
static,78,eMBB,216.281,5.452,10.419
static,79,eMBB,213.594,5.365,10.324
static,80,mMTC,79.51,0.56,1.599
static,81,mMTC,80.984,0.45,1.538
static,82,eMBB,246.101,9.492,13.017
static,83,eMBB,217.278,4.098,10.342
static,84,eMBB,246.554,7.298,13.007
static,85,eMBB,214.302,7.87,10.307
static,86,eMBB,249.506,2.04,12.914
static,87,mMTC,71.405,0.137,1.159
static,88,eMBB,171.346,3.433,6.802
static,89,eMBB,217.322,2.97,10.309
static,90,eMBB,248.114,9.62,12.985
static,91,mMTC,81.422,0.766,1.596
static,92,eMBB,247.25,2.855,13.008
static,93,mMTC,80.294,0.36,1.588
static,94,eMBB,214.216,3.938,10.328
static,95,eMBB,216.692,8.027,10.395
static,96,eMBB,213.785,4.803,10.338
static,97,eMBB,217.396,9.785,10.442
static,98,mMTC,81.656,0.71,1.577
static,99,eMBB,215.689,6.138,10.356
static,100,eMBB,171.076,3.195,6.689
static,101,eMBB,216.809,9.332,10.474
static,102,eMBB,215.162,3.49,10.39
static,103,eMBB,216.175,4.52,10.301
static,104,URLLC,6.765,3.66,0.127
static,105,eMBB,216.97,8.83,10.479
static,106,mMTC,82.541,0.07,1.532
static,107,eMBB,214.031,3.377,10.461
static,108,eMBB,216.074,3.15,10.366
static,109,eMBB,247.47,5.745,12.93
static,110,eMBB,245.999,5.85,12.964
static,111,eMBB,214.856,7.867,10.286
static,112,mMTC,82.783,0.27,1.58
static,113,eMBB,214.977,9.67,10.417
static,114,mMTC,69.379,0.298,1.286
static,115,eMBB,217.17,8.87,10.389
static,116,eMBB,215.451,4.508,10.429
static,117,mMTC,79.909,0.14,1.55
static,118,mMTC,81.278,0.384,1.513
static,119,eMBB,215.135,2.055,10.286
static,120,eMBB,248.135,3.68,13.001
static,121,eMBB,215.538,6.355,10.348
static,122,eMBB,246.824,2.9,12.922
static,123,mMTC,83.126,0.936,1.478
static,124,eMBB,214.17,8.057,10.39
static,125,eMBB,249.032,8.447,12.917
static,126,URLLC,7.126,6.955,0.095
static,127,mMTC,83.094,0.52,1.538
static,128,eMBB,216.406,7.428,10.472
static,129,eMBB,248.532,7.048,12.954
static,130,eMBB,214.923,2.985,10.475
static,131,mMTC,80.105,0.715,1.554
static,132,eMBB,215.665,7.18,10.418
static,133,mMTC,80.299,0.116,1.48
static,134,eMBB,215.668,6.345,10.468
static,135,mMTC,81.29,0.41,1.432
static,136,mMTC,70.387,0.53,1.223
static,137,eMBB,217.062,4.832,10.438
static,138,eMBB,247.371,8.172,12.898
static,139,mMTC,71.563,0.309,1.212
static,140,mMTC,79.588,0.761,1.47
static,141,mMTC,81.997,0.23,1.461
static,142,eMBB,213.811,8.525,10.387
static,143,mMTC,71.903,0.42,1.307
static,144,eMBB,213.854,6.548,10.354
static,145,eMBB,246.193,2.24,13.056
static,146,URLLC,6.818,4.45,0.213
static,147,eMBB,216.277,7.07,10.455
static,148,mMTC,82.172,0.87,1.605
static,149,eMBB,170.601,7.815,6.785
static,150,eMBB,213.693,7.295,10.357
static,151,eMBB,216.687,3.547,10.419
static,152,eMBB,214.619,7.168,10.413
static,153,URLLC,6.541,9.03,0.193
static,154,eMBB,173.883,6.985,6.819
static,155,eMBB,171.859,3.868,6.728
static,156,eMBB,246.725,9.438,12.975
static,157,eMBB,217.318,3.075,10.323
static,158,URLLC,4.362,7.44,0.199
static,159,mMTC,80.124,0.788,1.422
static,160,eMBB,214.18,5.495,10.374
static,161,mMTC,71.386,0.09,1.279
static,162,mMTC,80.568,0.198,1.486
static,163,eMBB,216.782,6.3,10.458
static,164,mMTC,80.672,0.483,1.594
static,165,eMBB,214.037,3.445,10.435
static,166,eMBB,215.263,4.968,10.373
static,167,mMTC,68.833,0.049,1.213
static,168,eMBB,215.952,3.147,10.454
static,169,mMTC,80.319,0.209,1.53
static,170,mMTC,69.16,0.08,1.278
static,171,mMTC,72.482,0.512,1.233
static,172,mMTC,81.42,0.472,1.466
static,173,eMBB,213.664,2.41,10.332
static,174,mMTC,71.168,0.937,1.14
static,175,mMTC,69.758,0.481,1.267
static,176,eMBB,215.037,4.77,10.38
static,177,eMBB,214.267,4.2,10.478
static,178,URLLC,6.128,3.7,0.146
static,179,mMTC,79.934,0.82,1.6
static,180,mMTC,80.578,0.137,1.435
