mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
dynamic,1,mMTC,150.556,0.578,2.872
dynamic,2,eMBB,70.068,9.382,2.369
dynamic,3,mMTC,130.223,0.639,2.33
dynamic,4,mMTC,132.903,0.218,2.285
dynamic,5,mMTC,152.012,0.725,2.812
dynamic,6,mMTC,133.488,0.263,2.205
dynamic,7,eMBB,78.426,21.546,2.786
dynamic,8,eMBB,68.026,25.697,2.295
dynamic,9,eMBB,69.848,16.667,2.205
dynamic,10,mMTC,153.356,0.323,2.834
dynamic,11,mMTC,151.001,0.136,2.816
dynamic,12,eMBB,70.999,25.768,2.257
dynamic,13,mMTC,130.643,10.786,2.194
dynamic,14,mMTC,153.212,0.194,2.8
dynamic,15,mMTC,153.566,0.405,2.904
dynamic,16,mMTC,152.14,0.141,2.874
dynamic,17,mMTC,130.54,0.229,2.281
dynamic,18,mMTC,151.734,0.097,2.879
dynamic,19,URLLC,13.155,3.344,0.376
dynamic,20,URLLC,13.326,1.026,0.266
dynamic,21,eMBB,69.002,24.042,2.287
dynamic,22,mMTC,151.39,0.698,2.747
dynamic,23,mMTC,131.696,12.555,2.365
dynamic,24,eMBB,70.347,8.416,2.337
dynamic,25,mMTC,133.997,12.868,2.302
dynamic,26,mMTC,151.785,0.307,2.793
dynamic,27,mMTC,130.355,0.283,2.201
dynamic,28,eMBB,68.229,8.127,2.301
dynamic,29,URLLC,18.747,17.558,0.482
dynamic,30,mMTC,132.63,0.316,2.271
dynamic,31,mMTC,131.094,0.801,2.372
dynamic,32,mMTC,152.551,0.244,2.85
dynamic,33,mMTC,153.324,0.416,2.899
dynamic,34,mMTC,133.638,6.926,2.281
dynamic,35,URLLC,11.892,3.796,0.231
dynamic,36,URLLC,12.025,12.675,0.262
dynamic,37,mMTC,150.117,0.749,2.866
dynamic,38,mMTC,151.748,0.592,2.886
dynamic,39,mMTC,151.766,0.509,2.791
dynamic,40,mMTC,130.238,0.28,2.214
dynamic,41,mMTC,150.463,0.077,2.745
dynamic,42,mMTC,153.391,0.628,2.81
dynamic,43,mMTC,131.116,0.644,2.358
dynamic,44,mMTC,133.937,0.484,2.255
dynamic,45,mMTC,131.235,0.402,2.287
dynamic,46,URLLC,18.672,8.37,0.449
dynamic,47,mMTC,132.882,0.358,2.315
dynamic,48,mMTC,153.823,0.309,2.757
dynamic,49,URLLC,11.718,26.713,0.32
dynamic,50,mMTC,152.203,0.145,2.919
dynamic,51,mMTC,150.917,0.752,2.74
dynamic,52,mMTC,130.531,0.043,2.335
dynamic,53,mMTC,133.54,10.201,2.185
dynamic,54,mMTC,132.331,0.709,2.177
dynamic,55,URLLC,15.609,19.857,0.365
dynamic,56,URLLC,12.127,3.653,0.292
dynamic,57,eMBB,69.985,22.902,2.24
dynamic,58,mMTC,151.781,0.443,2.854
dynamic,59,mMTC,152.505,0.28,2.869
dynamic,60,mMTC,133.092,0.11,2.313
dynamic,61,mMTC,130.354,0.632,2.282
dynamic,62,eMBB,80.664,23.512,2.929
dynamic,63,mMTC,150.353,0.498,2.922
dynamic,64,mMTC,132.416,14.128,2.262
dynamic,65,mMTC,152.361,0.817,2.886
dynamic,66,mMTC,152.295,0.633,2.814
dynamic,67,mMTC,130.773,0.065,2.18
dynamic,68,mMTC,133.264,0.792,2.234
dynamic,69,URLLC,21.13,22.37,0.503
dynamic,70,eMBB,69.132,16.347,2.294
dynamic,71,URLLC,14.78,4.062,0.269
dynamic,72,mMTC,131.04,0.409,2.251
dynamic,73,mMTC,150.529,0.068,2.809
dynamic,74,mMTC,151.139,0.122,2.795
dynamic,75,mMTC,153.844,0.726,2.809
dynamic,76,mMTC,130.687,0.714,2.327
dynamic,77,eMBB,79.088,20.203,2.876
dynamic,78,mMTC,131.852,0.703,2.236
dynamic,79,URLLC,13.149,9.236,0.353
dynamic,80,mMTC,131.461,0.765,2.297
dynamic,81,mMTC,130.402,0.539,2.365
dynamic,82,mMTC,153.542,0.047,2.938
dynamic,83,URLLC,18.143,13.513,0.461
dynamic,84,eMBB,70.042,14.173,2.298
dynamic,85,mMTC,152.311,0.74,2.894
dynamic,86,eMBB,69.38,24.941,2.21
dynamic,87,URLLC,16.06,19.26,0.382
dynamic,88,URLLC,13.872,18.486,0.198
dynamic,89,eMBB,80.792,19.28,2.908
dynamic,90,mMTC,132.827,16.567,2.3
dynamic,91,mMTC,152.802,0.362,2.901
dynamic,92,mMTC,130.998,0.769,2.222
dynamic,93,eMBB,70.953,26.249,2.342
dynamic,94,mMTC,152.777,0.403,2.926
dynamic,95,eMBB,69.395,24.051,2.323
dynamic,96,mMTC,152.389,0.469,2.9
dynamic,97,mMTC,133.942,0.218,2.221
dynamic,98,mMTC,152.265,0.277,2.808
dynamic,99,mMTC,131.456,0.817,2.352
dynamic,100,mMTC,132.96,0.844,2.348
dynamic,101,mMTC,134.002,0.149,2.314
dynamic,102,mMTC,132.165,0.208,2.263
dynamic,103,mMTC,132.074,0.582,2.285
dynamic,104,mMTC,152.883,0.46,2.916
dynamic,105,mMTC,153.366,25.958,2.783
dynamic,106,URLLC,14.893,8.997,0.344
dynamic,107,URLLC,21.317,16.278,0.618
dynamic,108,mMTC,152.671,0.577,2.904
dynamic,109,mMTC,133.478,0.236,2.266
dynamic,110,mMTC,151.856,0.457,2.843
dynamic,111,mMTC,132.189,0.59,2.29
dynamic,112,URLLC,20.844,8.876,0.53
dynamic,113,mMTC,131.126,0.679,2.371
dynamic,114,mMTC,153.208,0.12,2.845
dynamic,115,mMTC,153.758,0.589,2.822
dynamic,116,mMTC,132.761,0.618,2.349
dynamic,117,mMTC,133.399,0.341,2.215
dynamic,118,eMBB,80.988,6.841,2.788
dynamic,119,eMBB,68.364,15.69,2.187
dynamic,120,mMTC,132.9,0.473,2.323
dynamic,121,mMTC,130.635,0.768,2.276
dynamic,122,mMTC,151.577,0.595,2.85
dynamic,123,mMTC,152.152,0.637,2.912
dynamic,124,eMBB,70.426,27.316,2.222
dynamic,125,mMTC,152.558,18.861,2.869
dynamic,126,URLLC,13.783,13.74,0.355
dynamic,127,eMBB,68.617,12.578,2.351
dynamic,128,mMTC,153.107,0.368,2.933
dynamic,129,mMTC,153.48,0.453,2.924
dynamic,130,mMTC,152.469,0.454,2.822
dynamic,131,eMBB,68.79,22.304,2.301
dynamic,132,mMTC,132.276,0.185,2.332
dynamic,133,mMTC,152.513,0.414,2.849
dynamic,134,mMTC,152.32,0.304,2.82
dynamic,135,mMTC,131.844,0.733,2.339
dynamic,136,URLLC,17.657,15.803,0.395
dynamic,137,mMTC,150.758,0.688,2.915
dynamic,138,mMTC,131.919,0.362,2.202
dynamic,139,eMBB,71.027,15.744,2.236
dynamic,140,mMTC,133.233,0.729,2.277
dynamic,141,URLLC,17.912,1.201,0.49
dynamic,142,mMTC,152.483,0.391,2.937
dynamic,143,mMTC,132.88,0.449,2.189
