mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
static,1,URLLC,7.84,1.1,0.037
static,2,mMTC,77.291,0.987,1.175
static,3,eMBB,144.17,7.45,6.843
static,4,mMTC,85.564,0.362,1.486
static,5,mMTC,75.453,0.3,1.247
static,6,eMBB,126.285,8.998,5.497
static,7,URLLC,7.312,5.6,0.117
static,8,mMTC,76.243,0.45,1.175
static,9,mMTC,88.066,0.39,1.44
static,10,URLLC,6.187,6.81,0.02
static,11,eMBB,141.04,9.963,6.87
static,12,mMTC,74.021,0.173,1.296
static,13,URLLC,7.557,7.21,0.16
static,14,mMTC,88.013,0.52,1.568
static,15,mMTC,77.381,0.16,1.194
static,16,mMTC,87.208,0.847,1.568
static,17,mMTC,75.985,0.53,1.269
static,18,URLLC,7.905,4.087,0.021
static,19,mMTC,74.328,0.83,1.21
static,20,URLLC,7.971,4.03,0.205
static,21,mMTC,85.825,0.91,1.566
static,22,mMTC,87.343,0.157,1.443
static,23,mMTC,87.579,0.85,1.613
static,24,eMBB,97.554,4.298,3.521
static,25,eMBB,125.58,9.555,5.523
static,26,mMTC,73.65,0.945,1.285
static,27,mMTC,86.857,0.85,1.5
static,28,mMTC,86.444,0.767,1.492
static,29,eMBB,97.914,4.045,3.596
static,30,mMTC,86.402,0.355,1.43
static,31,mMTC,88.789,0.38,1.599
static,32,eMBB,144.176,6.763,6.912
static,33,eMBB,125.214,9.148,5.49
static,34,eMBB,125.76,4.785,5.625
static,35,mMTC,87.181,0.29,1.557
static,36,mMTC,88.073,0.92,1.541
static,37,mMTC,88.877,0.35,1.436
static,38,eMBB,101.284,4.72,3.545
static,39,mMTC,84.9,0.87,1.494
static,40,mMTC,88.547,0.84,1.594
static,41,mMTC,77.164,0.9,1.206
static,42,mMTC,87.429,0.38,1.431
static,43,mMTC,87.381,0.51,1.491
static,44,mMTC,74.372,0.8,1.253
static,45,eMBB,143.847,3.245,7.01
static,46,eMBB,144.144,6.63,7.031
static,47,mMTC,88.445,0.266,1.428
static,48,mMTC,87.543,0.158,1.443
static,49,mMTC,87.415,0.2,1.572
static,50,eMBB,141.282,4.71,7.006
static,51,eMBB,123.451,5.263,5.479
static,52,mMTC,75.606,0.99,1.251
static,53,URLLC,5.946,7.27,0.11
static,54,mMTC,74.596,0.641,1.278
static,55,eMBB,123.038,8.352,5.563
static,56,eMBB,141.426,3.835,6.864
static,57,mMTC,88.566,0.448,1.478
static,58,eMBB,125.027,4.978,5.562
static,59,mMTC,87.028,0.5,1.486
static,60,mMTC,86.47,0.46,1.565
static,61,URLLC,4.46,9.402,0.121
static,62,URLLC,5.89,1.21,0.105
static,63,eMBB,142.488,3.353,6.886
static,64,eMBB,98.716,5.675,3.61
static,65,mMTC,86.948,0.478,1.481
static,66,mMTC,86.983,0.799,1.557
static,67,eMBB,142.799,8.07,7.003
static,68,mMTC,88.406,0.508,1.44
static,69,mMTC,75.499,0.54,1.314
static,70,mMTC,87.139,0.77,1.544
static,71,eMBB,125.157,7.562,5.553
static,72,eMBB,141.355,5.598,6.933
static,73,URLLC,6.624,2.044,0.175
static,74,eMBB,143.636,4.16,6.911
static,75,mMTC,76.16,0.68,1.188
static,76,mMTC,86.847,0.95,1.536
static,77,eMBB,124.174,8.34,5.465
static,78,eMBB,124.992,8.51,5.55
static,79,eMBB,141.027,5.223,6.908
static,80,eMBB,143.177,4.572,6.849
static,81,mMTC,77.143,0.673,1.122
static,82,mMTC,87.553,0.26,1.464
static,83,mMTC,76.341,0.67,1.267
static,84,eMBB,125.881,7.617,5.606
static,85,mMTC,76.125,0.514,1.191
static,86,mMTC,85.258,0.81,1.522
static,87,mMTC,87.718,0.519,1.492
static,88,URLLC,5.15,5.861,0.118
static,89,eMBB,124.113,8.31,5.52
static,90,eMBB,125.546,2.337,5.589
static,91,mMTC,86.449,0.409,1.467
static,92,mMTC,74.603,0.61,1.141
static,93,mMTC,86.25,0.645,1.467
static,94,mMTC,88.846,0.059,1.57
static,95,eMBB,124.161,8.727,5.609
static,96,mMTC,85.863,0.895,1.543
static,97,mMTC,74.163,0.64,1.253
static,98,mMTC,85.417,0.62,1.528
static,99,mMTC,75.014,0.24,1.19
static,100,eMBB,125.201,2.728,5.612
static,101,URLLC,8.219,8.866,0.103
static,102,mMTC,75.157,0.53,1.28
static,103,mMTC,87.781,0.8,1.497
static,104,eMBB,124.654,7.45,5.494
static,105,mMTC,86.647,0.73,1.603
static,106,URLLC,8.622,9.236,0.142
static,107,eMBB,142.834,5.965,6.933
static,108,mMTC,87.836,0.93,1.467
static,109,mMTC,87.35,0.91,1.476
static,110,eMBB,125.545,2.868,5.589
static,111,URLLC,7.03,3.195,0.019
static,112,eMBB,124.523,5.178,5.525
static,113,mMTC,86.484,0.917,1.441
static,114,eMBB,126.072,7.853,5.507
static,115,URLLC,7.184,9.48,0.09
static,116,mMTC,73.68,0.23,1.245
static,117,mMTC,75.406,0.453,1.253
static,118,mMTC,73.994,0.708,1.178
static,119,eMBB,143.507,7.272,6.85
static,120,eMBB,97.934,4.992,3.58
static,121,mMTC,85.902,0.204,1.495
static,122,mMTC,87.065,0.559,1.581
static,123,mMTC,87.299,0.994,1.554
static,124,mMTC,76.061,0.204,1.121
static,125,eMBB,141.349,5.518,6.918
static,126,eMBB,122.474,8.703,5.646
static,127,mMTC,75.075,0.897,1.179
static,128,mMTC,86.983,0.116,1.515
static,129,mMTC,85.521,0.12,1.546
static,130,mMTC,88.48,0.74,1.456
static,131,mMTC,76.731,0.739,1.28
static,132,eMBB,122.38,7.138,5.467
static,133,URLLC,4.632,9.87,0.125
static,134,mMTC,86.135,0.54,1.618
static,135,mMTC,88.532,0.55,1.493
static,136,eMBB,142.581,5.103,6.972
static,137,mMTC,74.115,0.509,1.184
static,138,mMTC,85.956,0.389,1.592
static,139,eMBB,98.001,3.97,3.601
static,140,mMTC,86.312,0.405,1.442
static,141,mMTC,86.501,0.458,1.605
static,142,mMTC,73.716,0.918,1.134
static,143,mMTC,85.044,0.68,1.581
static,144,mMTC,77.267,0.65,1.207
static,145,mMTC,75.48,0.97,1.137
static,146,eMBB,123.19,2.252,5.572
static,147,eMBB,122.74,8.43,5.466
static,148,eMBB,125.765,7.968,5.544
static,149,eMBB,142.18,6.94,6.93
static,150,eMBB,99.618,8.8,3.603
static,151,URLLC,6.822,6.252,0.245
static,152,mMTC,86.323,0.523,1.559
static,153,URLLC,6.416,6.457,0.196
static,154,mMTC,74.967,0.146,1.205
static,155,eMBB,142.876,7.705,6.884
static,156,mMTC,87.088,0.19,1.513
static,157,eMBB,126.23,9.957,5.513
static,158,eMBB,98.361,3.06,3.663
static,159,mMTC,74.054,0.935,1.186
static,160,eMBB,126.104,6.308,5.619
static,161,eMBB,123.547,5.11,5.582
static,162,mMTC,76.24,0.86,1.258
static,163,mMTC,76.718,0.6,1.162
static,164,eMBB,123.793,9.38,5.565
static,165,eMBB,125.312,2.43,5.633
static,166,eMBB,125.618,5.008,5.638
static,167,mMTC,87.339,0.12,1.594
static,168,mMTC,74.161,0.705,1.317
static,169,mMTC,73.787,0.174,1.256
static,170,mMTC,88.036,0.32,1.51
static,171,eMBB,141.407,8.213,6.972
static,172,mMTC,86.264,0.46,1.454
static,173,mMTC,85.27,0.519,1.497
static,174,mMTC,77.351,0.243,1.124
static,175,mMTC,86.194,0.29,1.456
static,176,mMTC,85.555,0.444,1.526
static,177,eMBB,124.911,3.145,5.482
static,178,URLLC,4.105,2.219,0.073
static,179,eMBB,142.663,9.482,6.843
static,180,mMTC,77.178,0.26,1.227
