mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
dynamic,1,mMTC,130.56,0.822,2.221
dynamic,2,mMTC,129.416,0.786,2.089
dynamic,3,mMTC,111.072,0.865,1.74
dynamic,4,mMTC,126.913,0.388,2.232
dynamic,5,mMTC,129.786,0.644,2.098
dynamic,6,eMBB,80.889,21.158,2.842
dynamic,7,mMTC,128.995,0.33,2.173
dynamic,8,mMTC,130.311,0.877,2.078
dynamic,9,mMTC,127.951,0.534,2.23
dynamic,10,mMTC,130.357,0.181,2.075
dynamic,11,mMTC,128.736,0.523,2.124
dynamic,12,mMTC,111.226,0.783,1.817
dynamic,13,mMTC,110.109,0.725,1.672
dynamic,14,mMTC,128.19,0.528,2.08
dynamic,15,mMTC,128.767,0.483,2.177
dynamic,16,mMTC,112.605,0.751,1.725
dynamic,17,mMTC,130.495,0.383,2.138
dynamic,18,eMBB,70.716,14.789,2.316
dynamic,19,URLLC,15.809,12.723,0.363
dynamic,20,mMTC,129.393,0.121,2.068
dynamic,21,URLLC,15.533,5.406,0.396
dynamic,22,mMTC,130.345,0.847,2.211
dynamic,23,mMTC,129.439,0.509,2.119
dynamic,24,eMBB,68.718,14.976,2.349
dynamic,25,mMTC,127.815,0.637,2.073
dynamic,26,mMTC,111.009,0.924,1.64
dynamic,27,eMBB,68.604,14.986,2.286
dynamic,28,eMBB,70.542,18.005,2.273
dynamic,29,eMBB,82.138,10.94,2.987
dynamic,30,eMBB,70.346,6.439,2.222
dynamic,31,URLLC,19.272,2.172,0.463
dynamic,32,mMTC,129.669,9.454,2.12
dynamic,33,eMBB,72.12,9.165,2.371
dynamic,34,mMTC,127.808,0.54,2.181
dynamic,35,mMTC,126.821,0.491,2.251
dynamic,36,URLLC,13.387,1.719,0.361
dynamic,37,URLLC,14.545,2.52,0.282
dynamic,38,URLLC,12.584,2.359,0.286
dynamic,39,eMBB,70.374,12.204,2.384
dynamic,40,URLLC,13.31,2.384,0.286
dynamic,41,URLLC,13.175,2.447,0.319
dynamic,42,eMBB,71.148,5.697,2.233
dynamic,43,URLLC,14.557,2.607,0.312
dynamic,44,mMTC,130.067,0.45,2.177
dynamic,45,mMTC,129.07,16.129,2.118
dynamic,46,URLLC,13.287,13.783,0.247
dynamic,47,mMTC,110.218,0.124,1.645
dynamic,48,eMBB,79.389,16.357,2.807
dynamic,49,eMBB,70.009,21.954,2.365
dynamic,50,URLLC,18.554,6.53,0.454
dynamic,51,mMTC,127.02,0.785,2.21
dynamic,52,mMTC,128.815,0.805,2.225
dynamic,53,mMTC,130.591,0.651,2.217
dynamic,54,eMBB,72.408,7.041,2.343
dynamic,55,mMTC,127.846,0.869,2.225
dynamic,56,mMTC,129.103,0.383,2.208
dynamic,57,mMTC,128.175,0.783,2.189
dynamic,58,mMTC,112.691,0.376,1.67
dynamic,59,URLLC,16.789,2.482,0.457
dynamic,60,eMBB,69.473,17.912,2.398
dynamic,61,mMTC,128.723,0.423,2.18
dynamic,62,URLLC,13.45,2.002,0.358
dynamic,63,URLLC,13.368,1.498,0.385
dynamic,64,mMTC,128.417,0.411,2.253
dynamic,65,mMTC,129.21,0.799,2.08
dynamic,66,mMTC,127.77,0.248,2.084
dynamic,67,mMTC,111.774,0.394,1.774
dynamic,68,mMTC,128.713,0.617,2.111
dynamic,69,mMTC,129.247,0.398,2.102
dynamic,70,URLLC,14.723,3.46,0.39
dynamic,71,URLLC,13.552,2.773,0.404
dynamic,72,mMTC,112.944,0.061,1.709
dynamic,73,eMBB,69.436,11.405,2.392
dynamic,74,mMTC,126.782,7.506,2.191
dynamic,75,mMTC,111.257,0.326,1.716
dynamic,76,URLLC,13.509,3.545,0.261
dynamic,77,eMBB,68.907,11.69,2.352
dynamic,78,mMTC,110.642,0.241,1.76
dynamic,79,eMBB,70.873,8.073,2.236
dynamic,80,mMTC,129.403,0.574,2.155
dynamic,81,URLLC,18.981,5.929,0.53
dynamic,82,eMBB,71.892,16.713,2.293
dynamic,83,eMBB,83.005,26.537,2.911
dynamic,84,mMTC,128.722,0.359,2.179
dynamic,85,URLLC,13.797,2.895,0.277
dynamic,86,mMTC,128.308,0.693,2.08
dynamic,87,URLLC,14.99,0.753,0.229
dynamic,88,URLLC,13.523,3.214,0.376
dynamic,89,URLLC,17.313,3.069,0.457
dynamic,90,URLLC,15.362,6.441,0.304
dynamic,91,URLLC,12.222,6.538,0.29
dynamic,92,URLLC,12.99,5.8,0.346
dynamic,93,URLLC,13.732,16.673,0.257
dynamic,94,mMTC,129.358,0.315,2.068
dynamic,95,mMTC,130.347,0.648,2.22
dynamic,96,mMTC,126.958,0.428,2.145
dynamic,97,eMBB,81.134,13.344,2.974
dynamic,98,mMTC,128.817,0.759,2.121
dynamic,99,URLLC,12.688,2.085,0.3
dynamic,100,eMBB,69.164,14.106,2.402
dynamic,101,URLLC,15.598,4.673,0.226
dynamic,102,eMBB,71.913,22.521,2.317
dynamic,103,mMTC,128.783,0.738,2.198
dynamic,104,eMBB,71.762,18.553,2.408
dynamic,105,URLLC,14.736,4.039,0.393
dynamic,106,URLLC,14.847,6.37,0.261
dynamic,107,eMBB,70.776,18.283,2.278
dynamic,108,mMTC,113.416,0.279,1.678
dynamic,109,URLLC,19.26,2.944,0.415
dynamic,110,mMTC,130.15,0.868,2.141
dynamic,111,mMTC,110.834,0.391,1.743
dynamic,112,mMTC,111.125,0.279,1.681
dynamic,113,mMTC,128.741,0.063,2.244
dynamic,114,URLLC,18.99,2.589,0.432
dynamic,115,mMTC,128.339,0.557,2.105
dynamic,116,URLLC,14.236,6.31,0.336
dynamic,117,URLLC,15.253,4.739,0.294
dynamic,118,mMTC,129.535,0.144,2.17
dynamic,119,mMTC,129.973,0.33,2.096
dynamic,120,URLLC,19.79,3.383,0.463
dynamic,121,mMTC,129.945,0.605,2.115
dynamic,122,mMTC,112.275,0.831,1.811
dynamic,123,mMTC,111.224,0.851,1.668
dynamic,124,mMTC,110.201,0.841,1.78
dynamic,125,URLLC,14.914,21.933,0.385
dynamic,126,mMTC,129.915,0.847,2.084
dynamic,127,mMTC,126.81,24.016,2.096
dynamic,128,mMTC,110.301,0.299,1.725
dynamic,129,eMBB,69.737,24.633,2.327
dynamic,130,mMTC,130.293,0.771,2.228
dynamic,131,mMTC,129.243,0.657,2.241
dynamic,132,mMTC,127.168,0.313,2.238
dynamic,133,URLLC,12.713,3.173,0.222
dynamic,134,URLLC,15.082,1.382,0.401
dynamic,135,mMTC,127.016,0.323,2.255
dynamic,136,URLLC,14.615,1.833,0.384
dynamic,137,eMBB,72.265,21.005,2.361
dynamic,138,eMBB,71.327,22.583,2.388
dynamic,139,mMTC,127.337,17.598,2.175
dynamic,140,URLLC,13.66,6.285,0.293
dynamic,141,eMBB,71.349,16.383,2.242
dynamic,142,mMTC,112.099,0.378,1.731
dynamic,143,mMTC,127.831,0.829,2.075
dynamic,144,mMTC,129.514,0.262,2.239
dynamic,145,URLLC,15.697,0.816,0.33
dynamic,146,URLLC,12.494,2.879,0.417
dynamic,147,eMBB,79.466,6.378,2.926
dynamic,148,mMTC,128.586,0.49,2.194
dynamic,149,mMTC,127.458,0.298,2.226
