mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
static,1,URLLC,8.794,6.026,0.213
static,2,URLLC,9.101,2.689,0.284
static,3,URLLC,12.095,6.991,0.216
static,4,mMTC,95.373,0.44,1.617
static,5,mMTC,93.428,0.343,1.463
static,6,mMTC,82.099,0.242,1.22
static,7,URLLC,12.327,3.314,0.155
static,8,eMBB,116.605,10.269,5.052
static,9,eMBB,94.068,2.92,3.25
static,10,mMTC,82.256,0.71,1.259
static,11,eMBB,117.767,3.869,5.15
static,12,eMBB,115.223,10.696,5.021
static,13,mMTC,81.017,0.66,1.207
static,14,mMTC,93.486,0.658,1.557
static,15,mMTC,95.638,0.2,1.539
static,16,eMBB,134.266,6.994,6.328
static,17,URLLC,11.883,5.646,0.34
static,18,eMBB,116.902,6.007,5.168
static,19,eMBB,133.68,5.733,6.292
static,20,mMTC,81.214,0.886,1.153
static,21,eMBB,135.16,5.264,6.326
static,22,eMBB,94.432,10.046,3.249
static,23,eMBB,115.301,3.757,5.095
static,24,mMTC,83.397,0.76,1.3
static,25,mMTC,94.592,0.124,1.501
static,26,mMTC,82.64,0.088,1.163
static,27,mMTC,82.042,0.524,1.294
static,28,mMTC,93.621,0.679,1.559
static,29,mMTC,81.376,0.349,1.157
static,30,mMTC,83.585,0.42,1.185
static,31,mMTC,80.833,0.27,1.235
static,32,eMBB,117.116,10.76,5.17
static,33,mMTC,95.032,0.227,1.469
static,34,mMTC,96.383,0.85,1.557
static,35,mMTC,82.144,0.391,1.151
static,36,eMBB,131.634,2.939,6.327
static,37,mMTC,94.417,0.97,1.437
static,38,URLLC,11.024,4.126,0.227
static,39,eMBB,114.49,4.736,5.097
static,40,eMBB,133.388,11.445,6.359
static,41,eMBB,134.524,4.218,6.428
static,42,mMTC,80.881,0.941,1.222
static,43,eMBB,116.636,8.177,5.083
static,44,eMBB,116.765,4.878,5.09
static,45,eMBB,132.409,9.647,6.35
static,46,mMTC,96.338,0.283,1.488
static,47,URLLC,14.467,1.466,0.267
static,48,mMTC,84.223,0.79,1.296
static,49,URLLC,12.434,3.423,0.311
static,50,mMTC,80.846,0.18,1.125
static,51,URLLC,12.182,0.99,0.172
static,52,mMTC,94.721,0.179,1.543
static,53,mMTC,83.029,0.7,1.279
static,54,mMTC,94.432,0.267,1.507
static,55,mMTC,94.194,0.416,1.435
static,56,eMBB,115.327,7.617,5.138
