mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
dynamic,1,eMBB,136.897,8.717,5.661
dynamic,2,mMTC,245.934,0.299,5.214
dynamic,3,eMBB,119.094,3.499,4.474
dynamic,4,mMTC,282.224,9.026,6.651
dynamic,5,mMTC,281.01,0.21,6.556
dynamic,6,eMBB,140.716,5.553,5.678
dynamic,7,mMTC,280.775,0.334,6.532
dynamic,8,mMTC,244.474,0.164,5.288
dynamic,9,eMBB,138.995,4.935,5.67
dynamic,10,mMTC,243.551,0.433,5.311
dynamic,11,mMTC,280.723,0.276,6.523
dynamic,12,eMBB,119.512,9.935,4.525
dynamic,13,URLLC,21.905,9.398,0.604
dynamic,14,eMBB,121.303,3.464,4.509
dynamic,15,eMBB,121.294,10.565,4.516
dynamic,16,URLLC,24.087,2.345,0.665
dynamic,17,mMTC,245.022,0.295,5.198
dynamic,18,eMBB,137.398,7.19,5.766
dynamic,19,eMBB,119.097,5.904,4.526
dynamic,20,mMTC,279.994,0.262,6.517
dynamic,21,eMBB,120.906,4.524,4.548
dynamic,22,mMTC,278.941,7.809,6.526
dynamic,23,mMTC,281.088,0.455,6.546
dynamic,24,mMTC,246.021,10.391,5.309
dynamic,25,eMBB,119.527,3.768,4.568
dynamic,26,mMTC,281.158,0.396,6.594
dynamic,27,eMBB,122.281,2.138,4.472
dynamic,28,URLLC,33.669,5.355,1.062
dynamic,29,mMTC,279.611,0.182,6.581
dynamic,30,mMTC,281.759,0.319,6.68
dynamic,31,mMTC,244.398,0.202,5.341
dynamic,32,eMBB,140.569,8.891,5.594
dynamic,33,mMTC,245.286,0.221,5.275
dynamic,34,mMTC,242.916,0.351,5.301
dynamic,35,URLLC,24.828,1.769,0.489
dynamic,36,mMTC,279.339,0.383,6.677
dynamic,37,mMTC,244.636,0.096,5.229
dynamic,38,eMBB,121.652,2.659,4.624
dynamic,39,eMBB,120.359,4.037,4.625
dynamic,40,eMBB,138.32,5.285,5.725
dynamic,41,URLLC,29.267,4.73,0.857
dynamic,42,mMTC,245.666,0.47,5.345
dynamic,43,eMBB,119.909,3.857,4.579
dynamic,44,mMTC,279.212,0.306,6.656
dynamic,45,URLLC,22.399,0.887,0.595
dynamic,46,mMTC,279.248,0.112,6.586
dynamic,47,URLLC,36.516,5.805,1.145
dynamic,48,URLLC,23.512,3.281,0.567
dynamic,49,mMTC,280.469,0.371,6.675
dynamic,50,mMTC,244.693,0.121,5.374
dynamic,51,URLLC,30.04,7.987,0.918
dynamic,52,mMTC,278.868,0.386,6.531
dynamic,53,URLLC,22.283,0.89,0.56
dynamic,54,eMBB,120.297,9.455,4.595
dynamic,55,eMBB,119.249,9.624,4.504
dynamic,56,mMTC,282.443,0.205,6.592
dynamic,57,URLLC,30.213,5.59,0.781
dynamic,58,mMTC,282.355,0.232,6.622
dynamic,59,eMBB,138.704,4.415,5.612
dynamic,60,eMBB,122.336,4.875,4.57
dynamic,61,URLLC,28.623,3.71,0.92
dynamic,62,eMBB,121.012,9.085,4.6
dynamic,63,mMTC,243.192,5.64,5.208
dynamic,64,eMBB,120.729,3.312,4.533
dynamic,65,URLLC,22.264,9.133,0.588
dynamic,66,eMBB,119.685,2.055,4.589
dynamic,67,URLLC,31.877,1.343,0.816
dynamic,68,URLLC,28.645,8.735,0.932
dynamic,69,URLLC,31.419,2.897,0.911
dynamic,70,eMBB,118.769,8.13,4.467
dynamic,71,mMTC,279.051,0.175,6.563
dynamic,72,mMTC,279.132,0.232,6.552
dynamic,73,mMTC,244.533,0.233,5.279
dynamic,74,mMTC,244.986,15.136,5.221
dynamic,75,URLLC,29.277,6.509,0.964
dynamic,76,mMTC,279.092,0.305,6.676
dynamic,77,mMTC,244.698,10.433,5.23
dynamic,78,eMBB,122.415,8.227,4.51
dynamic,79,mMTC,280.994,0.163,6.632
dynamic,80,URLLC,30.029,7.571,0.946
dynamic,81,eMBB,138.662,5.428,5.596
dynamic,82,mMTC,281.388,0.401,6.548
dynamic,83,URLLC,21.322,1.995,0.634
dynamic,84,mMTC,280.927,0.402,6.667
dynamic,85,eMBB,119.876,8.048,4.583
dynamic,86,URLLC,29.171,4.415,0.876
dynamic,87,URLLC,29.076,8.367,0.9
dynamic,88,URLLC,23.345,0.67,0.609
dynamic,89,mMTC,245.24,0.081,5.277
dynamic,90,mMTC,279.717,0.352,6.579
dynamic,91,eMBB,119.497,3.407,4.656
dynamic,92,eMBB,137.301,9.803,5.612
dynamic,93,mMTC,245.956,10.001,5.274
dynamic,94,eMBB,119.065,9.695,4.571
dynamic,95,eMBB,118.789,9.05,4.621
dynamic,96,eMBB,121.401,5.47,4.609
dynamic,97,mMTC,282.073,0.138,6.557
dynamic,98,mMTC,243.63,3.989,5.257
dynamic,99,URLLC,35.57,9.384,1.098
dynamic,100,URLLC,22.725,1.833,0.649
dynamic,101,mMTC,282.639,0.318,6.682
dynamic,102,URLLC,31.184,0.632,0.969
dynamic,103,eMBB,119.807,6.742,4.546
dynamic,104,eMBB,121.168,8.037,4.519
dynamic,105,URLLC,35.32,4.822,1.13
dynamic,106,eMBB,139.046,6.48,5.77
dynamic,107,eMBB,139.673,9.828,5.771
dynamic,108,eMBB,119.227,5.407,4.499
dynamic,109,eMBB,138.523,9.787,5.7
dynamic,110,mMTC,280.202,0.209,6.535
dynamic,111,URLLC,31.201,3.539,0.974
dynamic,112,mMTC,242.302,11.751,5.38
dynamic,113,mMTC,282.62,0.348,6.613
dynamic,114,mMTC,242.3,7.503,5.318
dynamic,115,URLLC,22.27,1.665,0.501
dynamic,116,eMBB,139.496,3.925,5.759
dynamic,117,URLLC,33.976,3.623,1.119
dynamic,118,URLLC,29.685,2.191,0.808
dynamic,119,mMTC,279.016,0.406,6.617
dynamic,120,mMTC,280.545,0.135,6.539
dynamic,121,URLLC,29.019,5.775,0.839
dynamic,122,mMTC,281.4,0.051,6.567
dynamic,123,mMTC,281.546,13.829,6.51
dynamic,124,mMTC,243.502,0.271,5.225
dynamic,125,mMTC,280.169,0.179,6.66
dynamic,126,mMTC,244.333,9.807,5.251
dynamic,127,mMTC,242.914,0.391,5.232
dynamic,128,mMTC,242.636,0.054,5.318
dynamic,129,eMBB,139.352,2.64,5.723
dynamic,130,mMTC,280.227,0.3,6.656
dynamic,131,URLLC,21.362,2.191,0.554
dynamic,132,eMBB,119.848,4.945,4.65
dynamic,133,eMBB,121.659,4.268,4.528
dynamic,134,mMTC,282.54,0.267,6.532
dynamic,135,URLLC,31.018,2.265,0.943
dynamic,136,eMBB,120.152,9.562,4.634
dynamic,137,mMTC,243.647,0.404,5.319
dynamic,138,mMTC,282.544,0.295,6.527
dynamic,139,mMTC,279.886,0.442,6.661
dynamic,140,URLLC,32.003,3.868,0.899
dynamic,141,eMBB,120.752,2.165,4.588
dynamic,142,URLLC,30.063,4.973,0.894
dynamic,143,mMTC,278.91,0.024,6.533
dynamic,144,mMTC,281.128,0.028,6.648
dynamic,145,mMTC,282.25,0.174,6.62
dynamic,146,URLLC,30.076,8.793,0.923
dynamic,147,mMTC,245.265,0.029,5.188
dynamic,148,eMBB,121.632,9.848,4.523
dynamic,149,mMTC,282.598,0.434,6.629
dynamic,150,eMBB,119.554,3.558,4.641
dynamic,151,mMTC,281.447,0.353,6.571
dynamic,152,eMBB,121.016,5.603,4.659
dynamic,153,eMBB,120.928,6.174,4.494
dynamic,154,mMTC,279.261,0.349,6.619
dynamic,155,mMTC,280.14,0.086,6.679
dynamic,156,eMBB,122.378,6.04,4.489
dynamic,157,mMTC,280.371,0.046,6.526
dynamic,158,eMBB,119.399,4.688,4.609
dynamic,159,mMTC,280.346,0.292,6.6
dynamic,160,mMTC,244.045,4.731,5.287
dynamic,161,URLLC,22.187,3.158,0.527
dynamic,162,mMTC,280.117,0.145,6.533
dynamic,163,mMTC,282.223,0.352,6.589
dynamic,164,eMBB,139.878,3.337,5.635
dynamic,165,eMBB,119.762,8.44,4.497
dynamic,166,mMTC,244.781,12.524,5.323
dynamic,167,mMTC,279.08,0.127,6.642
dynamic,168,eMBB,120.602,6.298,4.598
dynamic,169,mMTC,242.765,0.444,5.198
dynamic,170,mMTC,243.345,0.1,5.194
dynamic,171,mMTC,243.674,7.93,5.372
dynamic,172,URLLC,34.652,7.258,1.017
dynamic,173,mMTC,244.749,9.875,5.302
dynamic,174,mMTC,279.517,0.249,6.56
dynamic,175,mMTC,281.666,4.477,6.538
dynamic,176,URLLC,30.754,8.944,0.782
dynamic,177,eMBB,121.308,9.475,4.476
dynamic,178,mMTC,279.108,0.406,6.577
dynamic,179,URLLC,23.372,0.941,0.605
dynamic,180,mMTC,280.885,0.071,6.578
