mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
static,1,mMTC,80.568,0.68,1.171
static,2,mMTC,90.186,0.52,1.599
static,3,eMBB,256.402,5.668,12.557
static,4,eMBB,291.892,4.595,15.703
static,5,eMBB,254.89,9.553,12.432
static,6,eMBB,255.648,6.605,12.546
static,7,eMBB,256.038,8.688,12.42
static,8,mMTC,78.039,0.978,1.152
static,9,eMBB,256.361,6.303,12.418
static,10,eMBB,257.25,6.8,12.474
static,11,eMBB,255.682,9.383,12.444
static,12,eMBB,254.229,3.283,12.403
static,13,eMBB,255.844,5.255,12.447
static,14,eMBB,255.584,6.707,12.482
static,15,eMBB,256.228,8.592,12.452
static,16,mMTC,81.211,0.188,1.268
static,17,eMBB,295.398,6.348,15.635
static,18,eMBB,255.017,8.338,12.424
static,19,eMBB,255.118,9.877,12.485
static,20,eMBB,257.133,5.827,12.467
static,21,eMBB,255.141,4.168,12.593
static,22,mMTC,90.912,0.367,1.555
static,23,mMTC,91.473,0.17,1.57
static,24,eMBB,254.28,2.145,12.411
static,25,mMTC,92.381,0.75,1.44
static,26,eMBB,253.81,6.115,12.44
static,27,mMTC,89.428,0.752,1.522
static,28,eMBB,254.808,5.232,12.529
static,29,eMBB,255.729,9.01,12.506
static,30,mMTC,92.116,0.793,1.541
static,31,eMBB,205.965,4.375,8.165
static,32,eMBB,256.287,9.44,12.492
static,33,URLLC,8.504,5.71,0.262
static,34,mMTC,91.497,0.12,1.444
static,35,eMBB,254.98,8.373,12.504
static,36,eMBB,254.358,2.518,12.48
static,37,URLLC,7.164,7.343,0.097
static,38,eMBB,295.3,6.103,15.605
static,39,mMTC,92.659,0.922,1.424
static,40,mMTC,78.305,0.281,1.293
static,41,mMTC,79.54,0.196,1.253
static,42,eMBB,295.213,5.503,15.701
static,43,eMBB,295.563,4.08,15.528
static,44,eMBB,294.359,2.703,15.577
static,45,eMBB,293.344,9.6,15.702
static,46,mMTC,91.842,0.391,1.521
static,47,eMBB,295.58,6.237,15.533
static,48,eMBB,256.199,7.412,12.539
static,49,eMBB,292.428,9.485,15.616
static,50,mMTC,92.018,0.426,1.524
static,51,eMBB,255.431,6.617,12.395
static,52,mMTC,81.127,0.648,1.312
static,53,mMTC,92.969,0.73,1.57
static,54,mMTC,89.357,0.45,1.498
static,55,eMBB,256.659,4.147,12.454
static,56,mMTC,77.536,0.304,1.261
static,57,eMBB,253.821,8.348,12.549
static,58,mMTC,79.807,0.99,1.241
static,59,URLLC,8.242,1.13,0.105
static,60,eMBB,255.069,6.553,12.595
static,61,URLLC,7.177,9.94,0.201
static,62,eMBB,256.829,8.625,12.561
static,63,eMBB,204.354,3.993,8.096
static,64,eMBB,292.672,5.893,15.542
static,65,mMTC,79.939,0.294,1.292
static,66,mMTC,80.094,0.85,1.292
static,67,URLLC,5.531,7.17,0.193
static,68,eMBB,205.355,4.982,8.124
static,69,eMBB,292.672,2.505,15.6
static,70,eMBB,256.977,2.72,12.572
static,71,URLLC,8.577,5.29,0.223
static,72,eMBB,256.933,3.217,12.489
static,73,mMTC,79.794,0.9,1.19
static,74,mMTC,80.217,0.22,1.18
static,75,eMBB,255.553,3.62,12.429
static,76,eMBB,256.074,8.275,12.559
static,77,eMBB,256.372,7.815,12.492
static,78,mMTC,91.987,0.61,1.489
static,79,eMBB,295.684,4.657,15.712
static,80,mMTC,91.412,0.498,1.546
static,81,eMBB,253.639,6.275,12.501
static,82,eMBB,254.634,8.787,12.515
static,83,mMTC,81.079,0.228,1.223
static,84,mMTC,91.132,0.41,1.465
static,85,eMBB,254.117,9.373,12.53
static,86,eMBB,253.687,7.572,12.42
static,87,eMBB,253.916,9.685,12.467
static,88,mMTC,80.152,0.69,1.259
static,89,eMBB,292.867,8.045,15.627
static,90,mMTC,90.024,0.879,1.573
static,91,URLLC,6.829,8.969,0.057
static,92,eMBB,253.809,3.598,12.594
static,93,eMBB,255.86,6.367,12.4
static,94,eMBB,292.334,6.197,15.568
static,95,eMBB,254.308,5.43,12.512
static,96,eMBB,254.582,6.34,12.557
static,97,eMBB,256.591,3.47,12.465
static,98,eMBB,253.924,3.502,12.565
static,99,URLLC,8.497,1.949,0.072
static,100,eMBB,255.111,8.637,12.505
static,101,URLLC,7.612,3.0,0.087
static,102,eMBB,253.621,2.56,12.531
static,103,eMBB,253.789,3.65,12.474
static,104,mMTC,91.758,0.63,1.486
static,105,eMBB,256.922,3.297,12.517
static,106,mMTC,90.65,0.174,1.482
static,107,eMBB,256.886,6.525,12.435
static,108,URLLC,4.733,4.65,0.215
static,109,eMBB,256.435,9.213,12.399
static,110,eMBB,255.618,3.635,12.544
static,111,eMBB,203.223,6.942,8.038
static,112,mMTC,78.776,0.534,1.177
static,113,mMTC,91.501,0.76,1.562
static,114,eMBB,293.797,3.033,15.627
static,115,mMTC,80.129,0.7,1.205
static,116,mMTC,93.075,0.37,1.592
static,117,eMBB,254.297,6.32,12.478
static,118,mMTC,78.309,0.127,1.284
static,119,eMBB,255.991,9.072,12.49
static,120,eMBB,254.582,4.558,12.445
static,121,URLLC,5.006,7.939,0.156
static,122,eMBB,254.611,5.045,12.501
static,123,eMBB,253.97,4.168,12.458
static,124,mMTC,78.839,0.089,1.31
static,125,eMBB,254.396,3.51,12.541
static,126,eMBB,255.506,6.04,12.584
static,127,eMBB,253.713,9.89,12.438
static,128,mMTC,92.941,0.398,1.614
static,129,mMTC,78.236,0.277,1.226
static,130,eMBB,257.201,5.122,12.468
static,131,eMBB,256.4,8.137,12.454
static,132,eMBB,255.882,7.01,12.483
static,133,URLLC,6.567,2.017,0.203
static,134,mMTC,80.137,0.92,1.278
static,135,eMBB,257.008,5.825,12.574
static,136,eMBB,254.102,4.91,12.556
static,137,URLLC,7.725,3.628,0.088
static,138,mMTC,89.938,0.885,1.592
static,139,eMBB,254.289,9.975,12.559
static,140,eMBB,256.826,3.34,12.429
static,141,eMBB,257.383,8.807,12.585
static,142,mMTC,79.176,0.507,1.259
static,143,eMBB,203.112,3.203,8.199
static,144,eMBB,255.844,8.27,12.56
static,145,eMBB,256.446,6.76,12.504
